original_sim_idx,node_count,edge_count,degree_mean,degree_std,edge_len_mean,edge_len_std,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_edge_len,vertical_edge_len,diagonal_edge_len,angle_mean,angle_std,right_angle_fraction
0,200,580,5.8,0.812403840463596,2.6568674014046274,3.9345612041517315,0.8431189633135138,0.39472780659633055,0.8523466733967265,0.15118968363173216,0.3793103448275862,0.4103448275862069,0.2103448275862069,0.8795321616259488,0.8289568138723614,0.8050836185451413,2.9096454125913707,2.945996100662135,1.6370002466147062,87.05110151311274,48.37840545176438,0.21157894736842106
1,112,327,5.839285714285714,0.7140624651118646,2.3753728533009872,3.009682483428136,0.854563570350682,0.3234460169311264,0.8601935017473844,0.12162958311634417,0.40672782874617736,0.39143730886850153,0.2018348623853211,0.8904176152738413,0.8507207005750388,0.7897650757522294,2.4878423397702383,2.629765530116856,1.6553621815912651,88.6365958494878,47.75514875041968,0.21663563004345127
2,204,586,5.745098039215686,0.8127208539632433,2.576528964138275,4.094792925099117,0.8665889059113968,0.2248929594576938,0.873657227551041,0.10359770681724688,0.42662116040955633,0.39590443686006827,0.17747440273037543,0.8997305059432983,0.8865839096492735,0.7423173590348318,2.8598403013944624,2.7227987356740853,1.569197990000248,93.55242717046401,47.10576155147299,0.21137640449438203
3,212,609,5.745283018867925,0.7404909227619022,2.8111232461894087,4.279876674570272,0.8447209415568898,0.3630793301198909,0.8522590012830972,0.15311098504549106,0.4039408866995074,0.41379310344827586,0.18226600985221675,0.8535497138897578,0.8488120113809904,0.8158666389482515,3.056798873878107,3.0262008635770705,1.7783686156208451,87.61327059278082,48.49420901882042,0.2126865671641791
4,208,597,5.740384615384615,0.8261960131052474,2.4990297191007254,4.0097560577799,0.8634449682343546,0.22654144991973607,0.870553280942606,0.10335717370418158,0.3969849246231156,0.40033500837520936,0.20268006700167504,0.8990373310912008,0.8789106525137833,0.7631830794752137,2.873478611436071,2.6164707509044822,1.533634726666222,93.85117456154883,47.516128079851526,0.21544295070665287
5,200,575,5.75,0.7599342076785331,2.665252505178037,4.167790105459815,0.8738315748650095,0.29188861784043246,0.8814784496316598,0.13507805923870456,0.40347826086956523,0.43130434782608695,0.16521739130434782,0.8856680513969784,0.896927063143061,0.7846342733031825,2.626221495327251,3.109432666892967,1.6010263386525605,92.38717544918715,47.880759309072154,0.20867694514162782
6,152,435,5.723684210526316,0.753914071093515,2.412444027264913,3.5817679684521577,0.8671900542303064,0.12395982029597309,0.8754458711092781,0.09130212608659546,0.37471264367816093,0.3724137931034483,0.25287356321839083,0.8662433126952751,0.8725808288580106,0.8606538122350519,2.843737210964133,2.7113993649865376,1.3330662667751312,94.98918748494026,45.97501040748882,0.13870352716873213
7,188,539,5.73404255319149,0.7878807004802351,2.668990255231539,3.908929924551324,0.8526453897218758,0.3748616000815794,0.8604199749901664,0.13912441732348996,0.3784786641929499,0.38589981447124305,0.23562152133580705,0.887102063964395,0.8333375716152099,0.8289199142944156,3.105641509680187,2.9141830703100333,1.5660220548862547,86.51184509237545,48.3742390453066,0.21264367816091953
8,284,824,5.802816901408451,0.7713116377517221,2.7157717751863513,4.519330100361896,0.8379958122968674,0.3594871044093896,0.8458104071977512,0.13874041872160686,0.3932038834951456,0.4016990291262136,0.20509708737864077,0.8497105162636733,0.8511818826558727,0.7897108810893178,3.1236817020876906,2.8858154853665217,1.600699086513745,88.73390623003799,48.42968119638466,0.19594260267194458
9,108,309,5.722222222222222,0.8370288429621868,2.401567570117685,3.1199895471751473,0.8732563301583324,0.27975472004141105,0.8835667445296437,0.12436667566810237,0.42718446601941745,0.4174757281553398,0.1553398058252427,0.884468340512478,0.9072672054749127,0.7510190742711226,2.6267901119409185,2.434125695117684,1.6947056191662948,91.86018141428238,47.12717323964375,0.229124916499666
10,132,380,5.757575757575758,0.8627055057870764,2.651656465232372,3.4889895578365944,0.8359885251051501,0.37731951895018867,0.8442166512512198,0.13570346426468224,0.4,0.3894736842105263,0.21052631578947367,0.8505709063457815,0.853506802304371,0.7758731879293919,2.8660877319542983,2.7738743144515396,2.0181340374052525,85.4108474842224,47.930187160984865,0.20193861066235863
11,108,309,5.722222222222222,0.8146043499230656,2.523595774733133,3.194844898751006,0.8593242443302302,0.3129719130474269,0.8638241995500509,0.13856347629990443,0.39805825242718446,0.42394822006472493,0.1779935275080906,0.8882452150185903,0.8567986304068383,0.8006619903174313,2.7078202626084895,2.736601180247678,1.6042626814408736,87.91974697577949,47.83976179610648,0.24882943143812708
12,180,522,5.8,0.8259674462242578,2.474039796668451,3.8543385868444684,0.8614825549253559,0.12182773034774542,0.8701076038788866,0.08735543563594073,0.36398467432950193,0.3735632183908046,0.2624521072796935,0.8602806266985441,0.8728311022122701,0.8469964209264212,2.978181313213549,2.779901127020518,1.3395153619077085,95.05118430426303,45.87473839585093,0.13478768991040124
