relationship,pearson_r,r2
initial z0 -> final p-ratio,-0.9887035190879979,0.977534648656991
initial z0 -> stiffness_std,0.907209465145616,0.8230290136497945
stiffness_std -> final p-ratio,-0.9321767203214706,0.8689534379092932
initial z0 -> stiffness_mean,-0.7822963680948012,0.6119876075343167
stiffness_mean -> final p-ratio,0.7246652255867858,0.5251396891747472
initial z0 -> node_stiffness_mean,-0.7739931690720527,0.5990654257701992
node_stiffness_mean -> final p-ratio,0.7168360389694918,0.5138539067654707
initial z0 -> vertical_stiffness,-0.4948768293410031,0.24490307621860427
vertical_stiffness -> final p-ratio,0.4605033581983266,0.2120633429119363
