target,descriptor,pearson_r,abs_pearson_r,corr_r2,n
final_p_ratio,stiffness_std,-0.9321767203214706,0.9321767203214706,0.8689534379092932,99
final_p_ratio,angle_mean,0.9279455790340656,0.9279455790340656,0.8610829976488673,99
final_p_ratio,angle_std,-0.917867031580559,0.917867031580559,0.8424798876625069,99
final_p_ratio,node_stiffness_std,-0.8357491482825166,0.8357491482825166,0.6984766388549518,99
final_p_ratio,edge_len_mean,-0.7781550105327503,0.7781550105327503,0.6055252204172247,99
final_p_ratio,stiffness_mean,0.7246652255867858,0.7246652255867858,0.5251396891747472,99
final_p_ratio,node_stiffness_mean,0.7168360389694918,0.7168360389694918,0.5138539067654707,99
final_p_ratio,diagonal_edge_len,-0.6054600990173991,0.6054600990173991,0.3665819315021587,99
final_p_ratio,vertical_edge_len,-0.5784202152484245,0.5784202152484245,0.3345699454080337,99
final_p_ratio,horizontal_edge_len,-0.48116944148756685,0.48116944148756685,0.23152403142145703,99
final_p_ratio,vertical_stiffness,0.4605033581983266,0.4605033581983266,0.2120633429119363,99
final_p_ratio,horizontal_stiffness,0.35010053858563417,0.35010053858563417,0.12257038711795112,99
initial_z0,angle_mean,-0.9427316268909646,0.9427316268909646,0.8887429203404849,99
initial_z0,stiffness_std,0.907209465145616,0.907209465145616,0.8230290136497945,99
initial_z0,angle_std,0.9051826932216036,0.9051826932216036,0.8193557081079158,99
initial_z0,node_stiffness_std,0.811475090646993,0.811475090646993,0.6584918227405454,99
initial_z0,stiffness_mean,-0.7822963680948012,0.7822963680948012,0.6119876075343167,99
initial_z0,node_stiffness_mean,-0.7739931690720526,0.7739931690720526,0.5990654257701991,99
initial_z0,edge_len_mean,0.7655352659323237,0.7655352659323237,0.5860442433860735,99
initial_z0,diagonal_edge_len,0.5928747481244777,0.5928747481244777,0.3515004669636629,99
initial_z0,vertical_edge_len,0.5744135097059847,0.5744135097059847,0.32995088013274737,99
initial_z0,horizontal_edge_len,0.49537607964759645,0.49537607964759645,0.2453974602870218,99
initial_z0,vertical_stiffness,-0.49487682934100313,0.49487682934100313,0.24490307621860433,99
initial_z0,horizontal_stiffness,-0.41487943978371583,0.41487943978371583,0.1721249495552499,99
initial_z1,angle_mean,-0.9472523235781064,0.9472523235781064,0.8972869645241216,99
initial_z1,stiffness_std,0.899613286940997,0.899613286940997,0.8093040660407845,99
initial_z1,angle_std,0.899568860322321,0.899568860322321,0.8092241344615995,99
initial_z1,node_stiffness_std,0.8036014957180819,0.8036014957180819,0.6457753639203384,99
initial_z1,stiffness_mean,-0.7875331485029181,0.7875331485029181,0.6202084599909192,99
initial_z1,node_stiffness_mean,-0.7797319303307426,0.7797319303307426,0.6079818831773061,99
initial_z1,edge_len_mean,0.7564746318786645,0.7564746318786645,0.572253868675961,99
initial_z1,diagonal_edge_len,0.5954610985185511,0.5954610985185511,0.3545739198489196,99
initial_z1,vertical_edge_len,0.5628829965155734,0.5628829965155734,0.316837267766351,99
initial_z1,horizontal_edge_len,0.4920073665703444,0.4920073665703444,0.24207124875948524,99
initial_z1,vertical_stiffness,-0.4906631282738267,0.4906631282738267,0.2407503054474577,99
initial_z1,horizontal_stiffness,-0.427154868973877,0.427154868973877,0.18246128208809004,99
