frame,trajectory_progress,z0,z1,case,case_short,train_original_sim_idx,original_sim_idx,final_p_ratio
55,0.5555555555555556,0.7905345559120178,0.4425989091396332,selected trajectory sim 56,selected,56,0,-0.4807224091848549
56,0.5656565656565656,0.7629438638687134,0.40882056951522827,selected trajectory sim 56,selected,56,0,-0.4807224091848549
57,0.5757575757575758,0.7360894680023193,0.37592169642448425,selected trajectory sim 56,selected,56,0,-0.4807224091848549
58,0.5858585858585859,0.7098321318626404,0.34377390146255493,selected trajectory sim 56,selected,56,0,-0.4807224091848549
59,0.5959595959595959,0.6821162700653076,0.30984020233154297,selected trajectory sim 56,selected,56,0,-0.4807224091848549
60,0.6060606060606061,0.654640793800354,0.276203453540802,selected trajectory sim 56,selected,56,0,-0.4807224091848549
61,0.6161616161616161,0.6275191307067871,0.2429812252521515,selected trajectory sim 56,selected,56,0,-0.4807224091848549
62,0.6262626262626263,0.6006351709365845,0.210063174366951,selected trajectory sim 56,selected,56,0,-0.4807224091848549
63,0.6363636363636364,0.5727375745773315,0.17590652406215668,selected trajectory sim 56,selected,56,0,-0.4807224091848549
64,0.6464646464646465,0.5459325909614563,0.14308124780654907,selected trajectory sim 56,selected,56,0,-0.4807224091848549
65,0.6565656565656566,0.5180736184120178,0.10896079242229462,selected trajectory sim 56,selected,56,0,-0.4807224091848549
66,0.6666666666666666,0.4915392994880676,0.07646380364894867,selected trajectory sim 56,selected,56,0,-0.4807224091848549
67,0.6767676767676768,0.4646957814693451,0.04359942674636841,selected trajectory sim 56,selected,56,0,-0.4807224091848549
68,0.6868686868686869,0.4368123710155487,0.009442980401217937,selected trajectory sim 56,selected,56,0,-0.4807224091848549
69,0.696969696969697,0.410737544298172,-0.02248363569378853,selected trajectory sim 56,selected,56,0,-0.4807224091848549
70,0.7070707070707071,0.38279610872268677,-0.05670931562781334,selected trajectory sim 56,selected,56,0,-0.4807224091848549
71,0.7171717171717171,0.35589733719825745,-0.08964371681213379,selected trajectory sim 56,selected,56,0,-0.4807224091848549
72,0.7272727272727273,0.32845553755760193,-0.12324812263250351,selected trajectory sim 56,selected,56,0,-0.4807224091848549
73,0.7373737373737373,0.30027568340301514,-0.1577567458152771,selected trajectory sim 56,selected,56,0,-0.4807224091848549
74,0.7474747474747475,0.2738623321056366,-0.190116286277771,selected trajectory sim 56,selected,56,0,-0.4807224091848549
75,0.7575757575757576,0.2460329234600067,-0.22418954968452454,selected trajectory sim 56,selected,56,0,-0.4807224091848549
76,0.7676767676767676,0.219612717628479,-0.2565523684024811,selected trajectory sim 56,selected,56,0,-0.4807224091848549
77,0.7777777777777778,0.19140255451202393,-0.2911137044429779,selected trajectory sim 56,selected,56,0,-0.4807224091848549
78,0.7878787878787878,0.16510024666786194,-0.3233169913291931,selected trajectory sim 56,selected,56,0,-0.4807224091848549
79,0.797979797979798,0.13691993057727814,-0.35783931612968445,selected trajectory sim 56,selected,56,0,-0.4807224091848549
80,0.8080808080808081,0.11045565456151962,-0.39024123549461365,selected trajectory sim 56,selected,56,0,-0.4807224091848549
81,0.8181818181818182,0.08303165435791016,-0.4238330125808716,selected trajectory sim 56,selected,56,0,-0.4807224091848549
82,0.8282828282828283,0.055807940661907196,-0.4571850299835205,selected trajectory sim 56,selected,56,0,-0.4807224091848549
83,0.8383838383838383,0.028154276311397552,-0.491047739982605,selected trajectory sim 56,selected,56,0,-0.4807224091848549
84,0.8484848484848485,1.4602119335904717e-07,-0.5255314111709595,selected trajectory sim 56,selected,56,0,-0.4807224091848549
85,0.8585858585858586,-0.025906778872013092,-0.5572671890258789,selected trajectory sim 56,selected,56,0,-0.4807224091848549
86,0.8686868686868687,-0.05503923445940018,-0.5929699540138245,selected trajectory sim 56,selected,56,0,-0.4807224091848549
87,0.8787878787878788,-0.08083947002887726,-0.6245629191398621,selected trajectory sim 56,selected,56,0,-0.4807224091848549
88,0.8888888888888888,-0.10833127051591873,-0.6582315564155579,selected trajectory sim 56,selected,56,0,-0.4807224091848549
89,0.898989898989899,-0.13541407883167267,-0.6913996338844299,selected trajectory sim 56,selected,56,0,-0.4807224091848549
90,0.9090909090909091,-0.1634548306465149,-0.7257534861564636,selected trajectory sim 56,selected,56,0,-0.4807224091848549
91,0.9191919191919192,-0.1907043159008026,-0.7591409087181091,selected trajectory sim 56,selected,56,0,-0.4807224091848549
92,0.9292929292929293,-0.2184862345457077,-0.7931686043739319,selected trajectory sim 56,selected,56,0,-0.4807224091848549
93,0.9393939393939394,-0.2452182173728943,-0.8259298205375671,selected trajectory sim 56,selected,56,0,-0.4807224091848549
94,0.9494949494949495,-0.27267909049987793,-0.8595641255378723,selected trajectory sim 56,selected,56,0,-0.4807224091848549
95,0.9595959595959596,-0.30059874057769775,-0.8937624096870422,selected trajectory sim 56,selected,56,0,-0.4807224091848549
96,0.9696969696969697,-0.3278357982635498,-0.9271275997161865,selected trajectory sim 56,selected,56,0,-0.4807224091848549
97,0.9797979797979798,-0.3556027114391327,-0.9611327648162842,selected trajectory sim 56,selected,56,0,-0.4807224091848549
98,0.98989898989899,-0.38317054510116577,-0.9949131608009338,selected trajectory sim 56,selected,56,0,-0.4807224091848549
99,1.0,-0.410149484872818,-1.027965784072876,selected trajectory sim 56,selected,56,0,-0.4807224091848549
0,0.0,2.0691208839416504,2.1413662433624268,selected trajectory sim 56,selected,56,1,-0.20260149053372217
1,0.010101010101010102,1.99332594871521,2.048309564590454,selected trajectory sim 56,selected,56,1,-0.20260149053372217
2,0.020202020202020204,1.9236187934875488,1.9627666473388672,selected trajectory sim 56,selected,56,1,-0.20260149053372217
3,0.030303030303030304,1.8585786819458008,1.8829452991485596,selected trajectory sim 56,selected,56,1,-0.20260149053372217
4,0.04040404040404041,1.7964149713516235,1.806650161743164,selected trajectory sim 56,selected,56,1,-0.20260149053372217
5,0.050505050505050504,1.7340117692947388,1.7301020622253418,selected trajectory sim 56,selected,56,1,-0.20260149053372217
6,0.06060606060606061,1.672698974609375,1.654870867729187,selected trajectory sim 56,selected,56,1,-0.20260149053372217
7,0.0707070707070707,1.6130675077438354,1.5817053318023682,selected trajectory sim 56,selected,56,1,-0.20260149053372217
8,0.08080808080808081,1.5530550479888916,1.508085012435913,selected trajectory sim 56,selected,56,1,-0.20260149053372217
9,0.09090909090909091,1.4927676916122437,1.434112548828125,selected trajectory sim 56,selected,56,1,-0.20260149053372217
10,0.10101010101010101,1.4332494735717773,1.3610975742340088,selected trajectory sim 56,selected,56,1,-0.20260149053372217
11,0.1111111111111111,1.3750609159469604,1.289707899093628,selected trajectory sim 56,selected,56,1,-0.20260149053372217
12,0.12121212121212122,1.316049575805664,1.2173124551773071,selected trajectory sim 56,selected,56,1,-0.20260149053372217
13,0.13131313131313133,1.2568663358688354,1.1447041034698486,selected trajectory sim 56,selected,56,1,-0.20260149053372217
14,0.1414141414141414,1.198797583580017,1.0734578371047974,selected trajectory sim 56,selected,56,1,-0.20260149053372217
15,0.15151515151515152,1.1398190259933472,1.0010929107666016,selected trajectory sim 56,selected,56,1,-0.20260149053372217
16,0.16161616161616163,1.0815564393997192,0.9296129941940308,selected trajectory sim 56,selected,56,1,-0.20260149053372217
17,0.1717171717171717,1.0229873657226562,0.8577662706375122,selected trajectory sim 56,selected,56,1,-0.20260149053372217
18,0.18181818181818182,0.9644661545753479,0.7859577536582947,selected trajectory sim 56,selected,56,1,-0.20260149053372217
19,0.1919191919191919,0.9060129523277283,0.7142432332038879,selected trajectory sim 56,selected,56,1,-0.20260149053372217
20,0.20202020202020202,0.8483458161354065,0.643499493598938,selected trajectory sim 56,selected,56,1,-0.20260149053372217
21,0.21212121212121213,0.7895994186401367,0.5714185237884521,selected trajectory sim 56,selected,56,1,-0.20260149053372217
22,0.2222222222222222,0.7310509085655212,0.4995872974395752,selected trajectory sim 56,selected,56,1,-0.20260149053372217
23,0.23232323232323232,0.6740142703056335,0.4295991063117981,selected trajectory sim 56,selected,56,1,-0.20260149053372217
24,0.24242424242424243,0.6152040362358093,0.35745227336883545,selected trajectory sim 56,selected,56,1,-0.20260149053372217
25,0.25252525252525254,0.5570171475410461,0.286064088344574,selected trajectory sim 56,selected,56,1,-0.20260149053372217
26,0.26262626262626265,0.4984897971153259,0.21425190567970276,selected trajectory sim 56,selected,56,1,-0.20260149053372217
27,0.2727272727272727,0.4405065178871155,0.14311009645462036,selected trajectory sim 56,selected,56,1,-0.20260149053372217
28,0.2828282828282828,0.3821849822998047,0.07154294848442078,selected trajectory sim 56,selected,56,1,-0.20260149053372217
29,0.29292929292929293,0.32379868626594543,-8.745957165956497e-05,selected trajectory sim 56,selected,56,1,-0.20260149053372217
30,0.30303030303030304,0.2657845616340637,-0.07127934694290161,selected trajectory sim 56,selected,56,1,-0.20260149053372217
31,0.31313131313131315,0.2080824226140976,-0.14207905530929565,selected trajectory sim 56,selected,56,1,-0.20260149053372217
32,0.32323232323232326,0.14914000034332275,-0.21439623832702637,selected trajectory sim 56,selected,56,1,-0.20260149053372217
33,0.3333333333333333,0.09019768238067627,-0.28671157360076904,selected trajectory sim 56,selected,56,1,-0.20260149053372217
34,0.3434343434343434,0.03295980393886566,-0.3569442629814148,selected trajectory sim 56,selected,56,1,-0.20260149053372217
35,0.35353535353535354,-0.02518097124993801,-0.4282821714878082,selected trajectory sim 56,selected,56,1,-0.20260149053372217
36,0.36363636363636365,-0.08380107581615448,-0.5002136826515198,selected trajectory sim 56,selected,56,1,-0.20260149053372217
37,0.37373737373737376,-0.14160838723182678,-0.5711435079574585,selected trajectory sim 56,selected,56,1,-0.20260149053372217
38,0.3838383838383838,-0.19950830936431885,-0.6421775221824646,selected trajectory sim 56,selected,56,1,-0.20260149053372217
39,0.3939393939393939,-0.25777679681777954,-0.7136777639389038,selected trajectory sim 56,selected,56,1,-0.20260149053372217
40,0.40404040404040403,-0.31651365756988525,-0.7857469916343689,selected trajectory sim 56,selected,56,1,-0.20260149053372217
41,0.41414141414141414,-0.3736593425273895,-0.8558714389801025,selected trajectory sim 56,selected,56,1,-0.20260149053372217
42,0.42424242424242425,-0.43114906549453735,-0.9264273047447205,selected trajectory sim 56,selected,56,1,-0.20260149053372217
43,0.43434343434343436,-0.4907752275466919,-0.9995799660682678,selected trajectory sim 56,selected,56,1,-0.20260149053372217
44,0.4444444444444444,-0.5480692982673645,-1.0698895454406738,selected trajectory sim 56,selected,56,1,-0.20260149053372217
45,0.45454545454545453,-0.6060979962348938,-1.1410858631134033,selected trajectory sim 56,selected,56,1,-0.20260149053372217
46,0.46464646464646464,-0.6642202734947205,-1.2124179601669312,selected trajectory sim 56,selected,56,1,-0.20260149053372217
47,0.47474747474747475,-0.7234125137329102,-1.2850435972213745,selected trajectory sim 56,selected,56,1,-0.20260149053372217
48,0.48484848484848486,-0.7803584933280945,-1.354925274848938,selected trajectory sim 56,selected,56,1,-0.20260149053372217
49,0.494949494949495,-0.8402265310287476,-1.4283801317214966,selected trajectory sim 56,selected,56,1,-0.20260149053372217
50,0.5050505050505051,-0.8976624011993408,-1.498866081237793,selected trajectory sim 56,selected,56,1,-0.20260149053372217
51,0.5151515151515151,-0.9558092951774597,-1.570223331451416,selected trajectory sim 56,selected,56,1,-0.20260149053372217
52,0.5252525252525253,-1.0140538215637207,-1.6416983604431152,selected trajectory sim 56,selected,56,1,-0.20260149053372217
53,0.5353535353535354,-1.071960687637329,-1.7127453088760376,selected trajectory sim 56,selected,56,1,-0.20260149053372217
54,0.5454545454545454,-1.1294217109680176,-1.7832717895507812,selected trajectory sim 56,selected,56,1,-0.20260149053372217
55,0.5555555555555556,-1.1885415315628052,-1.855817437171936,selected trajectory sim 56,selected,56,1,-0.20260149053372217
56,0.5656565656565656,-1.2464300394058228,-1.926851511001587,selected trajectory sim 56,selected,56,1,-0.20260149053372217
57,0.5757575757575758,-1.3043639659881592,-1.997953176498413,selected trajectory sim 56,selected,56,1,-0.20260149053372217
58,0.5858585858585859,-1.3628044128417969,-2.0696635246276855,selected trajectory sim 56,selected,56,1,-0.20260149053372217
59,0.5959595959595959,-1.4199498891830444,-2.139803409576416,selected trajectory sim 56,selected,56,1,-0.20260149053372217
60,0.6060606060606061,-1.478961706161499,-2.2122080326080322,selected trajectory sim 56,selected,56,1,-0.20260149053372217
61,0.6161616161616161,-1.5370742082595825,-2.2835195064544678,selected trajectory sim 56,selected,56,1,-0.20260149053372217
62,0.6262626262626263,-1.5955784320831299,-2.355311632156372,selected trajectory sim 56,selected,56,1,-0.20260149053372217
63,0.6363636363636364,-1.6531819105148315,-2.4260082244873047,selected trajectory sim 56,selected,56,1,-0.20260149053372217
64,0.6464646464646465,-1.7117266654968262,-2.4978580474853516,selected trajectory sim 56,selected,56,1,-0.20260149053372217
65,0.6565656565656566,-1.769309639930725,-2.5685205459594727,selected trajectory sim 56,selected,56,1,-0.20260149053372217
66,0.6666666666666666,-1.8281431198120117,-2.6407268047332764,selected trajectory sim 56,selected,56,1,-0.20260149053372217
67,0.6767676767676768,-1.8851513862609863,-2.7106857299804688,selected trajectory sim 56,selected,56,1,-0.20260149053372217
68,0.6868686868686869,-1.9441238641738892,-2.783052921295166,selected trajectory sim 56,selected,56,1,-0.20260149053372217
69,0.696969696969697,-2.003316879272461,-2.8556923866271973,selected trajectory sim 56,selected,56,1,-0.20260149053372217
70,0.7070707070707071,-2.0606517791748047,-2.9260668754577637,selected trajectory sim 56,selected,56,1,-0.20260149053372217
71,0.7171717171717171,-2.1190648078918457,-2.9977493286132812,selected trajectory sim 56,selected,56,1,-0.20260149053372217
72,0.7272727272727273,-2.176875114440918,-3.0686986446380615,selected trajectory sim 56,selected,56,1,-0.20260149053372217
73,0.7373737373737373,-2.235024929046631,-3.140068292617798,selected trajectory sim 56,selected,56,1,-0.20260149053372217
74,0.7474747474747475,-2.292457342147827,-3.2105467319488525,selected trajectory sim 56,selected,56,1,-0.20260149053372217
75,0.7575757575757576,-2.351879596710205,-3.2834701538085938,selected trajectory sim 56,selected,56,1,-0.20260149053372217
76,0.7676767676767676,-2.4098355770111084,-3.3546082973480225,selected trajectory sim 56,selected,56,1,-0.20260149053372217
77,0.7777777777777778,-2.4673001766204834,-3.4251272678375244,selected trajectory sim 56,selected,56,1,-0.20260149053372217
78,0.7878787878787878,-2.5253922939300537,-3.496427297592163,selected trajectory sim 56,selected,56,1,-0.20260149053372217
79,0.797979797979798,-2.5842092037200928,-3.568617105484009,selected trajectory sim 56,selected,56,1,-0.20260149053372217
80,0.8080808080808081,-2.641711950302124,-3.6391940116882324,selected trajectory sim 56,selected,56,1,-0.20260149053372217
81,0.8181818181818182,-2.6997923851013184,-3.7104594707489014,selected trajectory sim 56,selected,56,1,-0.20260149053372217
82,0.8282828282828283,-2.75777006149292,-3.781620979309082,selected trajectory sim 56,selected,56,1,-0.20260149053372217
83,0.8383838383838383,-2.8169403076171875,-3.854257345199585,selected trajectory sim 56,selected,56,1,-0.20260149053372217
84,0.8484848484848485,-2.8746466636657715,-3.92507004737854,selected trajectory sim 56,selected,56,1,-0.20260149053372217
85,0.8585858585858586,-2.933450222015381,-3.9972236156463623,selected trajectory sim 56,selected,56,1,-0.20260149053372217
86,0.8686868686868687,-2.991213798522949,-4.068135738372803,selected trajectory sim 56,selected,56,1,-0.20260149053372217
87,0.8787878787878788,-3.049241542816162,-4.139358043670654,selected trajectory sim 56,selected,56,1,-0.20260149053372217
88,0.8888888888888888,-3.1079747676849365,-4.211448669433594,selected trajectory sim 56,selected,56,1,-0.20260149053372217
89,0.898989898989899,-3.165055990219116,-4.281508922576904,selected trajectory sim 56,selected,56,1,-0.20260149053372217
90,0.9090909090909091,-3.2240335941314697,-4.353899955749512,selected trajectory sim 56,selected,56,1,-0.20260149053372217
91,0.9191919191919192,-3.2817108631134033,-4.424682140350342,selected trajectory sim 56,selected,56,1,-0.20260149053372217
92,0.9292929292929293,-3.339345693588257,-4.495423793792725,selected trajectory sim 56,selected,56,1,-0.20260149053372217
93,0.9393939393939394,-3.398808479309082,-4.5684123039245605,selected trajectory sim 56,selected,56,1,-0.20260149053372217
94,0.9494949494949495,-3.456341028213501,-4.63902473449707,selected trajectory sim 56,selected,56,1,-0.20260149053372217
95,0.9595959595959596,-3.5145468711853027,-4.710467338562012,selected trajectory sim 56,selected,56,1,-0.20260149053372217
96,0.9696969696969697,-3.573133707046509,-4.782380104064941,selected trajectory sim 56,selected,56,1,-0.20260149053372217
97,0.9797979797979798,-3.631577253341675,-4.8541107177734375,selected trajectory sim 56,selected,56,1,-0.20260149053372217
98,0.98989898989899,-3.6887576580047607,-4.92429256439209,selected trajectory sim 56,selected,56,1,-0.20260149053372217
99,1.0,-3.7467072010040283,-4.995419025421143,selected trajectory sim 56,selected,56,1,-0.20260149053372217
0,0.0,1.6786643266677856,1.881829857826233,selected trajectory sim 56,selected,56,2,0.12600592325434534
1,0.010101010101010102,1.612587809562683,1.8007396459579468,selected trajectory sim 56,selected,56,2,0.12600592325434534
2,0.020202020202020204,1.5506409406661987,1.7247111797332764,selected trajectory sim 56,selected,56,2,0.12600592325434534
3,0.030303030303030304,1.488968849182129,1.6490223407745361,selected trajectory sim 56,selected,56,2,0.12600592325434534
4,0.04040404040404041,1.4285221099853516,1.574842095375061,selected trajectory sim 56,selected,56,2,0.12600592325434534
5,0.050505050505050504,1.3675986528396606,1.5000721216201782,selected trajectory sim 56,selected,56,2,0.12600592325434534
6,0.06060606060606061,1.3057671785354614,1.4241927862167358,selected trajectory sim 56,selected,56,2,0.12600592325434534
7,0.0707070707070707,1.245011329650879,1.3496248722076416,selected trajectory sim 56,selected,56,2,0.12600592325434534
8,0.08080808080808081,1.1835333108901978,1.274166226387024,selected trajectory sim 56,selected,56,2,0.12600592325434534
9,0.09090909090909091,1.1218501329421997,1.1984614133834839,selected trajectory sim 56,selected,56,2,0.12600592325434534
10,0.10101010101010101,1.0603163242340088,1.1229349374771118,selected trajectory sim 56,selected,56,2,0.12600592325434534
11,0.1111111111111111,0.9982906579971313,1.0468108654022217,selected trajectory sim 56,selected,56,2,0.12600592325434534
12,0.12121212121212122,0.9376127123832703,0.9723332524299622,selected trajectory sim 56,selected,56,2,0.12600592325434534
13,0.13131313131313133,0.875829815864563,0.8964999914169312,selected trajectory sim 56,selected,56,2,0.12600592325434534
14,0.1414141414141414,0.8149107098579407,0.8217241168022156,selected trajectory sim 56,selected,56,2,0.12600592325434534
15,0.15151515151515152,0.7531507611274719,0.7459229826927185,selected trajectory sim 56,selected,56,2,0.12600592325434534
16,0.16161616161616163,0.691122829914093,0.669791042804718,selected trajectory sim 56,selected,56,2,0.12600592325434534
17,0.1717171717171717,0.6304268836975098,0.5952877402305603,selected trajectory sim 56,selected,56,2,0.12600592325434534
18,0.18181818181818182,0.5683306455612183,0.5190749168395996,selected trajectory sim 56,selected,56,2,0.12600592325434534
19,0.1919191919191919,0.5075363516807556,0.4444584250450134,selected trajectory sim 56,selected,56,2,0.12600592325434534
20,0.20202020202020202,0.4456597566604614,0.36850112676620483,selected trajectory sim 56,selected,56,2,0.12600592325434534
21,0.21212121212121213,0.38418883085250854,0.2930483818054199,selected trajectory sim 56,selected,56,2,0.12600592325434534
22,0.2222222222222222,0.32273274660110474,0.2176157832145691,selected trajectory sim 56,selected,56,2,0.12600592325434534
23,0.23232323232323232,0.2602636218070984,0.140938863158226,selected trajectory sim 56,selected,56,2,0.12600592325434534
24,0.24242424242424243,0.1993398368358612,0.0661616399884224,selected trajectory sim 56,selected,56,2,0.12600592325434534
25,0.25252525252525254,0.1373799741268158,-0.00989785511046648,selected trajectory sim 56,selected,56,2,0.12600592325434534
26,0.26262626262626265,0.07571253925561905,-0.0855974480509758,selected trajectory sim 56,selected,56,2,0.12600592325434534
27,0.2727272727272727,0.01444601733237505,-0.16080185770988464,selected trajectory sim 56,selected,56,2,0.12600592325434534
28,0.2828282828282828,-0.04789765179157257,-0.23732209205627441,selected trajectory sim 56,selected,56,2,0.12600592325434534
29,0.29292929292929293,-0.1094817966222763,-0.3129144608974457,selected trajectory sim 56,selected,56,2,0.12600592325434534
30,0.30303030303030304,-0.1711481213569641,-0.388611376285553,selected trajectory sim 56,selected,56,2,0.12600592325434534
31,0.31313131313131315,-0.23273888230323792,-0.46421384811401367,selected trajectory sim 56,selected,56,2,0.12600592325434534
32,0.32323232323232326,-0.2942708432674408,-0.539751410484314,selected trajectory sim 56,selected,56,2,0.12600592325434534
33,0.3333333333333333,-0.3562778830528259,-0.61585932970047,selected trajectory sim 56,selected,56,2,0.12600592325434534
34,0.3434343434343434,-0.4180649518966675,-0.6917002201080322,selected trajectory sim 56,selected,56,2,0.12600592325434534
35,0.35353535353535354,-0.48014700412750244,-0.7679089903831482,selected trajectory sim 56,selected,56,2,0.12600592325434534
36,0.36363636363636365,-0.5417013168334961,-0.8434702754020691,selected trajectory sim 56,selected,56,2,0.12600592325434534
37,0.37373737373737376,-0.603667140007019,-0.9195391535758972,selected trajectory sim 56,selected,56,2,0.12600592325434534
38,0.3838383838383838,-0.6659783720970154,-0.9960272908210754,selected trajectory sim 56,selected,56,2,0.12600592325434534
39,0.3939393939393939,-0.7273719310760498,-1.071394920349121,selected trajectory sim 56,selected,56,2,0.12600592325434534
40,0.40404040404040403,-0.7897790670394897,-1.1480052471160889,selected trajectory sim 56,selected,56,2,0.12600592325434534
41,0.41414141414141414,-0.8514829277992249,-1.2237482070922852,selected trajectory sim 56,selected,56,2,0.12600592325434534
