case_short,original_sim_idx,final_p_ratio,mean_latent_path_coordinate,final_latent_path_coordinate,range_latent_path_coordinate
selected,0,-0.0803696162881754,0.2706377169119061,2.1081511733874554,3.5610901002343858
selected,1,0.33742504039823745,-1.0404966878140522,-0.024638168164848862,2.020429874243019
selected,2,0.2238599590476573,-0.6504981302532467,0.521657767531666,2.3424658944335492
selected,3,-0.1515654324056017,0.21364569848326945,1.9989179430205881,3.3404136228774606
selected,4,-0.2523187814106471,0.529098531702129,2.5613631592319615,3.8632951010633914
selected,5,-0.17404791264035285,0.6578538091008985,3.1916613225860915,4.651370375623559
selected,6,-0.22730985066006476,0.5744463628118912,2.8388746467927755,4.256529386863128
selected,7,-0.3247762104239115,0.701342411604447,3.0418853367164544,4.335720279173765
selected,8,-0.32518965600620253,0.54102419520053,2.823644626564696,4.34007179928404
selected,9,-0.05914505731234828,0.5134367185860277,2.5684196764320477,3.915920774632105
selected,10,-0.20617802151122547,0.30247637013908446,2.2648248883118116,3.704847939381934
selected,11,0.2511593493496609,-0.6821268352259727,0.44868366622999656,2.253906190450547
selected,12,-0.40037890147830096,0.7105004667346387,3.1450506475061326,4.544545650350758
selected,13,-0.13510764728463107,0.38854356892748443,2.3643478579297055,3.782371048794359
selected,14,-0.24075396534886645,0.7329619098953287,3.209873277443159,4.600936697509841
selected,15,-0.1963377719651293,0.547631878011462,2.6885575700060973,4.0864314840897995
selected,16,-0.1466582167541242,0.549938312189346,2.640042546535829,3.9902272672044763
selected,17,0.19502236139423487,-0.7502611701628605,0.5142224330822317,2.508484639213159
selected,18,-0.33399938936466717,0.6987739555529403,3.261480070967927,4.681581625136616
selected,19,-0.30467685297745023,0.5413815349902688,2.847125227814099,4.253902615029591
selected,20,-0.21987798577425652,0.725705461794999,3.156623026318231,4.431119048472835
selected,21,-0.1623723264424866,0.5256975199435446,2.7992027914797384,4.149622106624174
selected,22,-0.45901086920611844,0.9019324191614597,3.507311100360251,4.895938516173455
selected,23,-0.33039033700227455,0.5857510290128926,2.798306583556792,4.276995219273686
selected,24,-0.14664002278276062,0.18825709433911328,2.0914796515396317,3.6495365024926514
selected,25,-0.3112050286983445,0.5969986699065609,2.6086005574063083,3.889454230879257
