latent,condition,pearson_r_to_final_p_ratio,r2_to_final_p_ratio,n
z0,normal,-0.988703527709345,0.9775346657049035,99
z0,masked,-0.9905521570198544,0.9811935757766863,99
z1,normal,-0.9824472779819294,0.9652026540141025,99
z1,masked,-0.9843885560290946,0.9690208292410459,99
