target,descriptor,pearson_r,abs_pearson_r,corr_r2,n
initial_z0,node_count,-0.11358900414914445,0.11358900414914445,0.012902461863594356,99
initial_z0,edge_count,-0.11302894341925859,0.11302894341925859,0.012775542050473961,99
initial_z0,degree_mean,-0.008512838066980175,0.008512838066980175,7.246841195462675e-05,99
initial_z0,degree_std,-0.04255754658046534,0.04255754658046534,0.001811144770948477,99
initial_z0,edge_len_mean,0.7655352659323237,0.7655352659323237,0.5860442433860735,99
initial_z0,edge_len_std,0.016895933502877866,0.016895933502877866,0.00028547256893367073,99
initial_z0,stiffness_mean,-0.7822963680948012,0.7822963680948012,0.6119876075343167,99
initial_z0,stiffness_std,0.907209465145616,0.907209465145616,0.8230290136497945,99
initial_z0,node_stiffness_mean,-0.7739931690720526,0.7739931690720526,0.5990654257701991,99
initial_z0,node_stiffness_std,0.811475090646993,0.811475090646993,0.6584918227405454,99
initial_z0,horizontal_edge_fraction,0.025933036927766617,0.025933036927766617,0.000672522404296907,99
initial_z0,vertical_edge_fraction,0.16498254840577736,0.16498254840577736,0.02721924127846467,99
initial_z0,diagonal_edge_fraction,-0.11308995013330138,0.11308995013330138,0.012789336821152592,99
initial_z0,horizontal_stiffness,-0.41487943978371583,0.41487943978371583,0.1721249495552499,99
initial_z0,vertical_stiffness,-0.49487682934100313,0.49487682934100313,0.24490307621860433,99
initial_z0,diagonal_stiffness,-0.10689489406268532,0.10689489406268532,0.011426518376672717,99
initial_z0,horizontal_edge_len,0.49537607964759645,0.49537607964759645,0.2453974602870218,99
initial_z0,vertical_edge_len,0.5744135097059847,0.5744135097059847,0.32995088013274737,99
initial_z0,diagonal_edge_len,0.5928747481244777,0.5928747481244777,0.3515004669636629,99
initial_z0,angle_mean,-0.9427316268909646,0.9427316268909646,0.8887429203404849,99
initial_z0,angle_std,0.9051826932216036,0.9051826932216036,0.8193557081079158,99
initial_z0,right_angle_fraction,0.37007274395285156,0.37007274395285156,0.13695383581679282,99
initial_z1,node_count,-0.13941530134388058,0.13941530134388058,0.01943662624880503,99
initial_z1,edge_count,-0.13887094773670866,0.13887094773670866,0.01928514012529167,99
initial_z1,degree_mean,-0.008761904626768593,0.008761904626768593,7.677097268858888e-05,99
initial_z1,degree_std,-0.04134898697585154,0.04134898697585154,0.0017097387239291405,99
initial_z1,edge_len_mean,0.7564746318786645,0.7564746318786645,0.572253868675961,99
initial_z1,edge_len_std,-0.0072637713107913575,0.0072637713107913575,5.2762373655475593e-05,99
initial_z1,stiffness_mean,-0.7875331485029181,0.7875331485029181,0.6202084599909192,99
initial_z1,stiffness_std,0.899613286940997,0.899613286940997,0.8093040660407845,99
initial_z1,node_stiffness_mean,-0.7797319303307426,0.7797319303307426,0.6079818831773061,99
initial_z1,node_stiffness_std,0.8036014957180819,0.8036014957180819,0.6457753639203384,99
initial_z1,horizontal_edge_fraction,0.028312615881308303,0.028312615881308303,0.0008016042180425112,99
initial_z1,vertical_edge_fraction,0.15629718813956928,0.15629718813956928,0.024428811020335915,99
initial_z1,diagonal_edge_fraction,-0.10939787534584303,0.10939787534584303,0.011967895130184609,99
initial_z1,horizontal_stiffness,-0.427154868973877,0.427154868973877,0.18246128208809004,99
initial_z1,vertical_stiffness,-0.4906631282738267,0.4906631282738267,0.2407503054474577,99
initial_z1,diagonal_stiffness,-0.10527224731416,0.10527224731416,0.011082246054573667,99
initial_z1,horizontal_edge_len,0.4920073665703444,0.4920073665703444,0.24207124875948524,99
initial_z1,vertical_edge_len,0.5628829965155734,0.5628829965155734,0.316837267766351,99
initial_z1,diagonal_edge_len,0.5954610985185511,0.5954610985185511,0.3545739198489196,99
initial_z1,angle_mean,-0.9472523235781064,0.9472523235781064,0.8972869645241216,99
initial_z1,angle_std,0.899568860322321,0.899568860322321,0.8092241344615995,99
initial_z1,right_angle_fraction,0.36094685270289767,0.36094685270289767,0.13028263047612731,99
final_p_ratio,node_count,0.07101726847853686,0.07101726847853686,0.005043452422152585,99
final_p_ratio,edge_count,0.07115384247884649,0.07115384247884649,0.005062869299504499,99
final_p_ratio,degree_mean,0.04208870547140482,0.04208870547140482,0.0017714591282586621,99
final_p_ratio,degree_std,0.06590290162389745,0.06590290162389745,0.004343192442449105,99
final_p_ratio,edge_len_mean,-0.7781550105327503,0.7781550105327503,0.6055252204172247,99
final_p_ratio,edge_len_std,-0.05927324395955959,0.05927324395955959,0.003513317449489467,99
final_p_ratio,stiffness_mean,0.7246652255867858,0.7246652255867858,0.5251396891747472,99
final_p_ratio,stiffness_std,-0.9321767203214706,0.9321767203214706,0.8689534379092932,99
final_p_ratio,node_stiffness_mean,0.7168360389694918,0.7168360389694918,0.5138539067654707,99
final_p_ratio,node_stiffness_std,-0.8357491482825166,0.8357491482825166,0.6984766388549518,99
final_p_ratio,horizontal_edge_fraction,-0.0800865397552671,0.0800865397552671,0.006413853849971977,99
final_p_ratio,vertical_edge_fraction,-0.2043357437324635,0.2043357437324635,0.04175309616669899,99
final_p_ratio,diagonal_edge_fraction,0.16903242572357133,0.16903242572357133,0.028571960945994658,99
final_p_ratio,horizontal_stiffness,0.35010053858563417,0.35010053858563417,0.12257038711795112,99
final_p_ratio,vertical_stiffness,0.4605033581983266,0.4605033581983266,0.2120633429119363,99
final_p_ratio,diagonal_stiffness,0.1340082672526803,0.1340082672526803,0.01795821569206579,99
final_p_ratio,horizontal_edge_len,-0.48116944148756685,0.48116944148756685,0.23152403142145703,99
final_p_ratio,vertical_edge_len,-0.5784202152484245,0.5784202152484245,0.3345699454080337,99
final_p_ratio,diagonal_edge_len,-0.6054600990173991,0.6054600990173991,0.3665819315021587,99
final_p_ratio,angle_mean,0.9279455790340656,0.9279455790340656,0.8610829976488673,99
final_p_ratio,angle_std,-0.917867031580559,0.917867031580559,0.8424798876625069,99
final_p_ratio,right_angle_fraction,-0.41505930788923545,0.41505930788923545,0.17227422906549114,99
