dataset,latent_dim,sim_idx,edge_count,zero_stiffness_edge_count,zero_stiffness_edge_fraction,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_stiffness,vertical_stiffness,diagonal_stiffness
Reid CV1,1,0,291,0,0.0,0.4984668247990592,0.1739724142469135,0.5027087132430502,0.06293233099569047,0.419778968733136,0.6662395521302089,0.3779341939343027
Reid CV1,1,1,368,0,0.0,0.6439785041190155,0.388898896885486,0.6520820817158887,0.15584542476701665,0.6777307749970106,0.797185624514909,0.3605392153523604
Reid CV1,1,2,460,0,0.0,0.49904350876484227,0.2154192835472766,0.5044088757647911,0.08056951628467168,0.4836909214389466,0.6638211606220267,0.2779242142529811
Reid CV1,1,3,422,0,0.0,0.5059345270290759,0.14757809260554877,0.5104281590501161,0.057235347221026064,0.4279926283450066,0.6498972171810782,0.4097913273862589
Reid CV1,1,4,402,0,0.0,0.6139054288994984,0.3932606271027274,0.6221440080371443,0.15158225453129398,0.6930819488565128,0.800162977996466,0.2654958837602118
Reid CV1,1,5,629,0,0.0,0.5476103538798319,0.21461966360087026,0.5543386060815482,0.08308743851234848,0.4984474082259422,0.7156503287558796,0.365301239829606
Reid CV1,1,6,424,0,0.0,0.640144655142134,0.3970647594748606,0.6490575633059776,0.16287760541741084,0.6776600995728157,0.8005298905732045,0.36167599295416997
Reid CV1,1,7,600,0,0.0,0.4702612091600895,0.14856451290651973,0.4747014309941439,0.06157226538255253,0.4480342906769191,0.5956530480037833,0.3433716073201571
Reid CV1,1,8,451,0,0.0,0.5777337370923578,0.33354396610142867,0.5828095995164421,0.11543141891292744,0.5856277306428116,0.7642905328560758,0.2928028202842216
Reid CV1,1,9,311,0,0.0,0.5550417813601218,0.2237528877148782,0.5610244256825345,0.07966445834581595,0.49563490517311176,0.7346527716692757,0.3609377751882012
Reid CV1,1,10,285,0,0.0,0.43137236310724625,0.059696831913206065,0.4357785145420403,0.04182604600403371,0.43248240636513297,0.4377205831663949,0.4195514975199059
Reid CV1,1,11,424,0,0.0,0.5729279577740872,0.3345514324965244,0.5784519172706876,0.11473851382479103,0.6388268531055042,0.7615399679083279,0.25054747751758744
Reid CV1,1,12,521,0,0.0,0.6568313331472608,0.3789025634973783,0.664079649453729,0.1445845949529898,0.6692222267803218,0.8385978446779822,0.3716972327408139
Reid CV1,1,13,372,0,0.0,0.6307465250613868,0.3626891266342827,0.6384636781427356,0.14291274346698646,0.664675787128919,0.7969029118119377,0.32051935839547735
Reid CV1,1,14,480,0,0.0,0.4868294473427037,0.14863038956239277,0.49109648963280206,0.05836272043247439,0.44172575458281305,0.6108058301891599,0.38157999165581935
Reid CV1,1,15,519,0,0.0,0.5659288058653187,0.32888930859077875,0.573420512914256,0.11332508555518427,0.6141867466748525,0.7627949402964813,0.2245969549026888
Reid CV1,1,16,534,0,0.0,0.46750041909432144,0.092203557818838,0.4724434655333333,0.04498227115941571,0.4298860405385494,0.5404920328349967,0.42261564627393977
Reid CV1,1,17,521,0,0.0,0.5634777281082981,0.30610361644646783,0.5711566741127155,0.11816696135798539,0.5931234523051917,0.7522269110463521,0.24589479377380374
Reid CV1,1,18,372,0,0.0,0.6377146094499196,0.3438293454088585,0.6482321290596571,0.15641407409594402,0.6673576338014201,0.8135177624576232,0.3520006689442588
Reid CV1,1,19,366,0,0.0,0.5080059484217336,0.15797782141134606,0.51211495861145,0.05610931693068906,0.4324902425209681,0.6625284654172984,0.40495188835293355
Reid CV1,1,20,369,0,0.0,0.6573991180035704,0.3853776853753157,0.6650346808347681,0.16264682947426445,0.7034360065818943,0.8220114277738496,0.3594896160363106
Reid CV1,1,21,313,0,0.0,0.6232783614517228,0.39310878855225095,0.6292229286567486,0.14888936986072546,0.6632268612983269,0.8312330647638321,0.28126862666267255
Reid CV1,1,22,345,0,0.0,0.5922993121595305,0.4084282278906608,0.5996975500373568,0.1360582984443934,0.6132950294921802,0.7744765894214337,0.2983679773242329
Reid CV1,1,23,400,0,0.0,0.6308025446000829,0.3914694865764969,0.6365020617074125,0.15791006283667453,0.6931317818621423,0.80372268681248,0.32032808087341097
Reid CV1,1,24,285,0,0.0,0.646844059464753,0.3851650277457816,0.6562613546894276,0.13834750859281475,0.6739886870967864,0.8103027855035073,0.3169957197029869
Reid CV1,1,25,431,0,0.0,0.4623723167001233,0.17249006373190467,0.46832055600606953,0.06528995552642661,0.4304451608767539,0.5924663209581967,0.31526008972497743
Reid CV1,1,26,423,0,0.0,0.5681737333153051,0.30426587350044115,0.5746925307155504,0.11520214784729446,0.5766395056252457,0.7624373598805358,0.2849305948443912
Reid CV1,1,27,289,0,0.0,0.5773194739756184,0.3096373409011531,0.5834755051256644,0.10396932652043807,0.6011846381154927,0.7671807209534622,0.25870389783651465
Reid CV1,1,28,344,0,0.0,0.6164149622608694,0.4074566997822289,0.6238113877707968,0.17183873616653916,0.6047307522614546,0.8027007563272491,0.37943855369161134
Reid CV1,1,29,404,0,0.0,0.6123778805134376,0.36631022913037825,0.6175255390499452,0.13616093949619046,0.6455671450104055,0.793998375311749,0.3323580157178055
Reid CV1,1,30,401,0,0.0,0.5507063421413786,0.25633939852571264,0.5577914296042453,0.10244154204029633,0.5555943187168786,0.7264863063891729,0.30243948607816606
Reid CV1,1,31,285,0,0.0,0.6124287859928843,0.37480472163993467,0.6162015537387536,0.10966582247100742,0.6493485011907189,0.7951741394688292,0.3256240358385138
Reid CV1,1,32,513,0,0.0,0.6332109144684127,0.3854094552082523,0.6404239888341294,0.13987004538356837,0.7254116046953494,0.8133976339307484,0.2770710728347669
Reid CV1,1,33,286,0,0.0,0.47832161542418955,0.10392523491962888,0.48159078458661125,0.04370182124435371,0.43789249951285975,0.5664869098380061,0.4183677283868398
Reid CV1,1,34,289,0,0.0,0.6273865206722627,0.39883843369714667,0.6330291337635305,0.1648231200813174,0.6209494221103867,0.8043039726661891,0.39023924851710334
Reid CV1,1,35,342,0,0.0,0.5745579226715871,0.25003278248868754,0.5796634732133576,0.11112409868134093,0.5167142301229121,0.7700938130499887,0.39166067657845743
Reid CV1,1,36,288,0,0.0,0.6521704925490484,0.3816615228652925,0.6605761102487182,0.145836454555941,0.6394980308033522,0.8158907941544596,0.43500809217794983
Reid CV1,1,37,458,0,0.0,0.4976987735933612,0.1537250595705083,0.5022383285854899,0.06724815134925935,0.445881215134108,0.6279118552028788,0.37660568872732775
