dataset,latent_dim,requested_step,step,p_ratio_r2,p_ratio_pearson,horizontal_strain_r2,horizontal_strain_pearson,pos_mse
Reid CV1,1,80,80,-0.3147333172248876,0.453781921828462,-35.52895198386689,-0.12732144668349854,0.003417475387078724
Reid CV2,2,80,80,-2.109685436018551,0.6545656382357204,-32.25646679445826,-0.03712515652936236,0.0031416727257753485
