dataset,split,sim_idx,frame,frame_frac,p_ratio,final_p_ratio,z0,pc1,case,latent_dim,pc1_formula,z1
dePablo CV1,test,26,41,0.3178294573643411,0.40691345659651296,0.40844515428566636,-2.8435816764831543,-1.888521736971371,least auxetic,1,1.000*z0,
dePablo CV1,test,26,42,0.32558139534883723,0.4071095900985513,0.40844515428566636,-2.786364793777466,-1.8313048542656825,least auxetic,1,1.000*z0,
dePablo CV1,test,26,43,0.3333333333333333,0.40701926339201566,0.40844515428566636,-2.728318691253662,-1.7732587517418787,least auxetic,1,1.000*z0,
dePablo CV1,test,26,44,0.34108527131782945,0.407154523461581,0.40844515428566636,-2.6709561347961426,-1.7158961952843592,least auxetic,1,1.000*z0,
dePablo CV1,test,26,45,0.3488372093023256,0.4070485110470701,0.40844515428566636,-2.613034248352051,-1.6579743088402674,least auxetic,1,1.000*z0,
dePablo CV1,test,26,46,0.35658914728682173,0.40718464393957193,0.40844515428566636,-2.5559637546539307,-1.6009038151421473,least auxetic,1,1.000*z0,
dePablo CV1,test,26,47,0.3643410852713178,0.4071561616115161,0.40844515428566636,-2.4977593421936035,-1.5426994026818202,least auxetic,1,1.000*z0,
dePablo CV1,test,26,48,0.37209302325581395,0.40728398536448074,0.40844515428566636,-2.440633535385132,-1.4855735958733485,least auxetic,1,1.000*z0,
dePablo CV1,test,26,49,0.3798449612403101,0.40725219462702367,0.40844515428566636,-2.3828158378601074,-1.427755898348324,least auxetic,1,1.000*z0,
dePablo CV1,test,26,50,0.3875968992248062,0.40731093072774244,0.40844515428566636,-2.32548451423645,-1.3704245747246668,least auxetic,1,1.000*z0,
dePablo CV1,test,26,51,0.3953488372093023,0.40731792605779316,0.40844515428566636,-2.267763137817383,-1.3127031983055995,least auxetic,1,1.000*z0,
dePablo CV1,test,26,52,0.40310077519379844,0.40740394308816347,0.40844515428566636,-2.2103309631347656,-1.2552710236229823,least auxetic,1,1.000*z0,
dePablo CV1,test,26,53,0.4108527131782946,0.4074043863495009,0.40844515428566636,-2.1527323722839355,-1.1976724327721522,least auxetic,1,1.000*z0,
dePablo CV1,test,26,54,0.4186046511627907,0.4074155616712534,0.40844515428566636,-2.095221996307373,-1.1401620567955897,least auxetic,1,1.000*z0,
dePablo CV1,test,26,55,0.4263565891472868,0.40746600110054243,0.40844515428566636,-2.038144588470459,-1.0830846489586756,least auxetic,1,1.000*z0,
dePablo CV1,test,26,56,0.43410852713178294,0.4073884637283948,0.40844515428566636,-1.9800142049789429,-1.0249542654671595,least auxetic,1,1.000*z0,
dePablo CV1,test,26,57,0.4418604651162791,0.4075113542624707,0.40844515428566636,-1.9230586290359497,-0.9679986895241663,least auxetic,1,1.000*z0,
dePablo CV1,test,26,58,0.4496124031007752,0.4074640078274239,0.40844515428566636,-1.8651143312454224,-0.910054391733639,least auxetic,1,1.000*z0,
dePablo CV1,test,26,59,0.4573643410852713,0.4075760351777208,0.40844515428566636,-1.808037281036377,-0.8529773415245936,least auxetic,1,1.000*z0,
dePablo CV1,test,26,60,0.46511627906976744,0.40751984001873653,0.40844515428566636,-1.7502453327178955,-0.7951853932061121,least auxetic,1,1.000*z0,
dePablo CV1,test,26,61,0.4728682170542636,0.4076325326292099,0.40844515428566636,-1.6933714151382446,-0.7383114756264613,least auxetic,1,1.000*z0,
dePablo CV1,test,26,62,0.4806201550387597,0.40755463730592534,0.40844515428566636,-1.6350888013839722,-0.6800288618721888,least auxetic,1,1.000*z0,
dePablo CV1,test,26,63,0.4883720930232558,0.4076562084437924,0.40844515428566636,-1.5785318613052368,-0.6234719217934535,least auxetic,1,1.000*z0,
dePablo CV1,test,26,64,0.49612403100775193,0.4076348127190575,0.40844515428566636,-1.5206152200698853,-0.5655552805581019,least auxetic,1,1.000*z0,
dePablo CV1,test,26,65,0.5038759689922481,0.4077388129828442,0.40844515428566636,-1.4634604454040527,-0.5084005058922694,least auxetic,1,1.000*z0,
dePablo CV1,test,26,66,0.5116279069767442,0.4076491544162811,0.40844515428566636,-1.4056817293167114,-0.45062178980492806,least auxetic,1,1.000*z0,
dePablo CV1,test,26,67,0.5193798449612403,0.40775610307049387,0.40844515428566636,-1.3487391471862793,-0.39367920767449593,least auxetic,1,1.000*z0,
dePablo CV1,test,26,68,0.5271317829457365,0.40775657178286684,0.40844515428566636,-1.2909342050552368,-0.33587426554345345,least auxetic,1,1.000*z0,
dePablo CV1,test,26,69,0.5348837209302325,0.4077506384445454,0.40844515428566636,-1.2337559461593628,-0.27869600664757943,least auxetic,1,1.000*z0,
dePablo CV1,test,26,70,0.5426356589147286,0.4078272687959474,0.40844515428566636,-1.176573634147644,-0.22151369463586068,least auxetic,1,1.000*z0,
dePablo CV1,test,26,71,0.5503875968992248,0.4078236109207741,0.40844515428566636,-1.119131326675415,-0.16407138716363168,least auxetic,1,1.000*z0,
dePablo CV1,test,26,72,0.5581395348837209,0.4078470235816122,0.40844515428566636,-1.06194269657135,-0.10688275705956674,least auxetic,1,1.000*z0,
dePablo CV1,test,26,73,0.5658914728682171,0.4078017860580839,0.40844515428566636,-1.0043052434921265,-0.0492453039803431,least auxetic,1,1.000*z0,
dePablo CV1,test,26,74,0.5736434108527132,0.4078908920901148,0.40844515428566636,-0.9475434422492981,0.007516497262485267,least auxetic,1,1.000*z0,
dePablo CV1,test,26,75,0.5813953488372093,0.40781156526815765,0.40844515428566636,-0.8894950747489929,0.06556486476279044,least auxetic,1,1.000*z0,
dePablo CV1,test,26,76,0.5891472868217055,0.40791111553699844,0.40844515428566636,-0.8329315185546875,0.12212842095709586,least auxetic,1,1.000*z0,
dePablo CV1,test,26,77,0.5968992248062015,0.40785464552998496,0.40844515428566636,-0.774975597858429,0.1800843416533544,least auxetic,1,1.000*z0,
dePablo CV1,test,26,78,0.6046511627906976,0.4079703364868143,0.40844515428566636,-0.7180413603782654,0.23701857913351798,least auxetic,1,1.000*z0,
dePablo CV1,test,26,79,0.6124031007751938,0.40790365073391044,0.40844515428566636,-0.6605647206306458,0.2944952188811376,least auxetic,1,1.000*z0,
dePablo CV1,test,26,80,0.6201550387596899,0.4079725373860511,0.40844515428566636,-0.6035544872283936,0.3515054522833898,least auxetic,1,1.000*z0,
dePablo CV1,test,26,81,0.627906976744186,0.4080066210137092,0.40844515428566636,-0.5463524460792542,0.4087074934325292,least auxetic,1,1.000*z0,
dePablo CV1,test,26,82,0.6356589147286822,0.40796265896639705,0.40844515428566636,-0.48899951577186584,0.4660604237399175,least auxetic,1,1.000*z0,
dePablo CV1,test,26,83,0.6434108527131783,0.407991663138698,0.40844515428566636,-0.43196573853492737,0.523094200976856,least auxetic,1,1.000*z0,
dePablo CV1,test,26,84,0.6511627906976745,0.40796637876662073,0.40844515428566636,-0.37450501322746277,0.5805549262843206,least auxetic,1,1.000*z0,
dePablo CV1,test,26,85,0.6589147286821705,0.4080215230208552,0.40844515428566636,-0.3177395462989807,0.6373203932128026,least auxetic,1,1.000*z0,
dePablo CV1,test,26,86,0.6666666666666666,0.40794428065852417,0.40844515428566636,-0.25995105504989624,0.6951088844618871,least auxetic,1,1.000*z0,
dePablo CV1,test,26,87,0.6744186046511628,0.4080633334576141,0.40844515428566636,-0.2031102329492569,0.7519497065625265,least auxetic,1,1.000*z0,
dePablo CV1,test,26,88,0.6821705426356589,0.4080210848369796,0.40844515428566636,-0.14588208496570587,0.8091778545460775,least auxetic,1,1.000*z0,
dePablo CV1,test,26,89,0.689922480620155,0.40808664961698976,0.40844515428566636,-0.08897527307271957,0.8660846664390638,least auxetic,1,1.000*z0,
dePablo CV1,test,26,90,0.6976744186046512,0.4080604080063436,0.40844515428566636,-0.03161999583244324,0.9234399436793401,least auxetic,1,1.000*z0,
dePablo CV1,test,26,91,0.7054263565891473,0.40808602917149395,0.40844515428566636,0.025277933105826378,0.9803378726176097,least auxetic,1,1.000*z0,
dePablo CV1,test,26,92,0.7131782945736435,0.4080895099635073,0.40844515428566636,0.08243238180875778,1.0374923213205411,least auxetic,1,1.000*z0,
dePablo CV1,test,26,93,0.7209302325581395,0.4080759459820832,0.40844515428566636,0.1398782879114151,1.0949382274231985,least auxetic,1,1.000*z0,
dePablo CV1,test,26,94,0.7286821705426356,0.40813615082879917,0.40844515428566636,0.19657345116138458,1.151633390673168,least auxetic,1,1.000*z0,
dePablo CV1,test,26,95,0.7364341085271318,0.40812238207976687,0.40844515428566636,0.25416162610054016,1.2092215656123235,least auxetic,1,1.000*z0,
dePablo CV1,test,26,96,0.7441860465116279,0.40819878015127026,0.40844515428566636,0.3105154037475586,1.265575343259342,least auxetic,1,1.000*z0,
dePablo CV1,test,26,97,0.751937984496124,0.4081187887030338,0.40844515428566636,0.36806926131248474,1.323129200824268,least auxetic,1,1.000*z0,
dePablo CV1,test,26,98,0.7596899224806202,0.40816855717879685,0.40844515428566636,0.4247455894947052,1.3798055290064886,least auxetic,1,1.000*z0,
dePablo CV1,test,26,99,0.7674418604651163,0.4081406398479569,0.40844515428566636,0.482092022895813,1.4371519624075964,least auxetic,1,1.000*z0,
dePablo CV1,test,26,100,0.7751937984496124,0.4081621618699007,0.40844515428566636,0.5391339063644409,1.4941938458762243,least auxetic,1,1.000*z0,
dePablo CV1,test,26,101,0.7829457364341085,0.40822149537213,0.40844515428566636,0.5957766175270081,1.5508365570387914,least auxetic,1,1.000*z0,
dePablo CV1,test,26,102,0.7906976744186046,0.4082133542545748,0.40844515428566636,0.6531642079353333,1.6082241474471166,least auxetic,1,1.000*z0,
dePablo CV1,test,26,103,0.7984496124031008,0.4082459722929451,0.40844515428566636,0.7095888257026672,1.6646487652144506,least auxetic,1,1.000*z0,
dePablo CV1,test,26,104,0.8062015503875969,0.40822385010112144,0.40844515428566636,0.7673079967498779,1.7223679362616613,least auxetic,1,1.000*z0,
dePablo CV1,test,26,105,0.813953488372093,0.40827214023090314,0.40844515428566636,0.8235499262809753,1.7786098657927587,least auxetic,1,1.000*z0,
dePablo CV1,test,26,106,0.8217054263565892,0.4082063628897742,0.40844515428566636,0.8808833360671997,1.835943275578983,least auxetic,1,1.000*z0,
dePablo CV1,test,26,107,0.8294573643410853,0.40824978776731213,0.40844515428566636,0.9377566576004028,1.8928165971121862,least auxetic,1,1.000*z0,
dePablo CV1,test,26,108,0.8372093023255814,0.40825777639819966,0.40844515428566636,0.9947463274002075,1.9498062669119909,least auxetic,1,1.000*z0,
dePablo CV1,test,26,109,0.8449612403100775,0.4082376752353834,0.40844515428566636,1.0519546270370483,2.0070145665488317,least auxetic,1,1.000*z0,
dePablo CV1,test,26,110,0.8527131782945736,0.4082905680410547,0.40844515428566636,1.1084706783294678,2.063530617841251,least auxetic,1,1.000*z0,
dePablo CV1,test,26,111,0.8604651162790697,0.40827451152322913,0.40844515428566636,1.1657971143722534,2.120857053884037,least auxetic,1,1.000*z0,
dePablo CV1,test,26,112,0.8682170542635659,0.4083145047602495,0.40844515428566636,1.222355842590332,2.1774157821021154,least auxetic,1,1.000*z0,
dePablo CV1,test,26,113,0.875968992248062,0.40826502438067347,0.40844515428566636,1.2795449495315552,2.2346048890433385,least auxetic,1,1.000*z0,
dePablo CV1,test,26,114,0.8837209302325582,0.4082940434291786,0.40844515428566636,1.336240291595459,2.2913002311072423,least auxetic,1,1.000*z0,
dePablo CV1,test,26,115,0.8914728682170543,0.4083383878991344,0.40844515428566636,1.3927735090255737,2.347833448537357,least auxetic,1,1.000*z0,
dePablo CV1,test,26,116,0.8992248062015504,0.4083245153200356,0.40844515428566636,1.4503852128982544,2.4054451524100378,least auxetic,1,1.000*z0,
dePablo CV1,test,26,117,0.9069767441860465,0.4083707688610356,0.40844515428566636,1.5065850019454956,2.461644941457279,least auxetic,1,1.000*z0,
dePablo CV1,test,26,118,0.9147286821705426,0.4083164541880138,0.40844515428566636,1.5637177228927612,2.5187776624045446,least auxetic,1,1.000*z0,
dePablo CV1,test,26,119,0.9224806201550387,0.4083545764775913,0.40844515428566636,1.6203490495681763,2.5754089890799596,least auxetic,1,1.000*z0,
dePablo CV1,test,26,120,0.9302325581395349,0.4083428715628577,0.40844515428566636,1.6777781248092651,2.6328380643210485,least auxetic,1,1.000*z0,
dePablo CV1,test,26,121,0.937984496124031,0.4083301678099792,0.40844515428566636,1.7341378927230835,2.689197832234867,least auxetic,1,1.000*z0,
dePablo CV1,test,26,122,0.9457364341085271,0.40837185800463627,0.40844515428566636,1.7904490232467651,2.7455089627585485,least auxetic,1,1.000*z0,
dePablo CV1,test,26,123,0.9534883720930233,0.40835769712690423,0.40844515428566636,1.8479279279708862,2.8029878674826696,least auxetic,1,1.000*z0,
dePablo CV1,test,26,124,0.9612403100775194,0.4084244771224728,0.40844515428566636,1.9039969444274902,2.8590568839392736,least auxetic,1,1.000*z0,
dePablo CV1,test,26,125,0.9689922480620154,0.4083537020613874,0.40844515428566636,1.9612716436386108,2.916331583150394,least auxetic,1,1.000*z0,
dePablo CV1,test,26,126,0.9767441860465116,0.4083989613956782,0.40844515428566636,2.0176870822906494,2.9727470218024328,least auxetic,1,1.000*z0,
dePablo CV1,test,26,127,0.9844961240310077,0.4084086641431023,0.40844515428566636,2.07437801361084,3.029437953122623,least auxetic,1,1.000*z0,
dePablo CV1,test,26,128,0.9922480620155039,0.4083725174585873,0.40844515428566636,2.1317355632781982,3.0867955027899816,least auxetic,1,1.000*z0,
dePablo CV1,test,26,129,1.0,0.40844515428566636,0.40844515428566636,2.1876702308654785,3.142730170377262,least auxetic,1,1.000*z0,
dePablo CV1,test,31,0,0.0,,-0.5734598575106268,-2.6618564128875732,-1.7067964733757899,most auxetic,1,1.000*z0,
dePablo CV1,test,31,1,0.00909090909090909,0.021750951604132682,-0.5734598575106268,-2.6167168617248535,-1.6616569222130702,most auxetic,1,1.000*z0,
dePablo CV1,test,31,2,0.01818181818181818,-0.10762942779291552,-0.5734598575106268,-2.5791211128234863,-1.624061173311703,most auxetic,1,1.000*z0,
dePablo CV1,test,31,3,0.02727272727272727,-0.19130751045644662,-0.5734598575106268,-2.5460660457611084,-1.591006106249325,most auxetic,1,1.000*z0,
dePablo CV1,test,31,4,0.03636363636363636,-0.24627375905920962,-0.5734598575106268,-2.516231060028076,-1.5611711205162928,most auxetic,1,1.000*z0,
dePablo CV1,test,31,5,0.045454545454545456,-0.28460103171989903,-0.5734598575106268,-2.486891508102417,-1.5318315685906336,most auxetic,1,1.000*z0,
dePablo CV1,test,31,6,0.05454545454545454,-0.3108566193311956,-0.5734598575106268,-2.457592010498047,-1.5025320709862635,most auxetic,1,1.000*z0,
dePablo CV1,test,31,7,0.06363636363636363,-0.3310794873810834,-0.5734598575106268,-2.4277021884918213,-1.472642248980038,most auxetic,1,1.000*z0,
dePablo CV1,test,31,8,0.07272727272727272,-0.3485359972442301,-0.5734598575106268,-2.3998210430145264,-1.444761103502743,most auxetic,1,1.000*z0,
dePablo CV1,test,31,9,0.08181818181818182,-0.36444989273674533,-0.5734598575106268,-2.371889591217041,-1.4168296517052577,most auxetic,1,1.000*z0,
dePablo CV1,test,31,10,0.09090909090909091,-0.3775104833370117,-0.5734598575106268,-2.345597267150879,-1.3905373276390955,most auxetic,1,1.000*z0,
dePablo CV1,test,31,11,0.1,-0.38968337598474584,-0.5734598575106268,-2.3179585933685303,-1.362898653856747,most auxetic,1,1.000*z0,
dePablo CV1,test,31,12,0.10909090909090909,-0.4008097165991903,-0.5734598575106268,-2.29217791557312,-1.3371179760613368,most auxetic,1,1.000*z0,
dePablo CV1,test,31,13,0.11818181818181818,-0.41090013168514505,-0.5734598575106268,-2.2646007537841797,-1.3095408142723963,most auxetic,1,1.000*z0,
dePablo CV1,test,31,14,0.12727272727272726,-0.4198193222612332,-0.5734598575106268,-2.2384915351867676,-1.2834315956749842,most auxetic,1,1.000*z0,
dePablo CV1,test,31,15,0.13636363636363635,-0.42786124613345117,-0.5734598575106268,-2.2122862339019775,-1.2572262943901942,most auxetic,1,1.000*z0,
dePablo CV1,test,31,16,0.14545454545454545,-0.4352734051367026,-0.5734598575106268,-2.186568021774292,-1.2315080822625086,most auxetic,1,1.000*z0,
dePablo CV1,test,31,17,0.15454545454545454,-0.4420652456459579,-0.5734598575106268,-2.161892890930176,-1.2068329514183924,most auxetic,1,1.000*z0,
dePablo CV1,test,31,18,0.16363636363636364,-0.4484736922840927,-0.5734598575106268,-2.1351165771484375,-1.1800566376366541,most auxetic,1,1.000*z0,
dePablo CV1,test,31,19,0.17272727272727273,-0.4545190267158929,-0.5734598575106268,-2.1097002029418945,-1.1546402634301112,most auxetic,1,1.000*z0,
dePablo CV1,test,31,20,0.18181818181818182,-0.459887879373671,-0.5734598575106268,-2.0847902297973633,-1.12973029028558,most auxetic,1,1.000*z0,
dePablo CV1,test,31,21,0.19090909090909092,-0.46468577438864056,-0.5734598575106268,-2.0592970848083496,-1.1042371452965662,most auxetic,1,1.000*z0,
dePablo CV1,test,31,22,0.2,-0.4692064448125282,-0.5734598575106268,-2.034237861633301,-1.0791779221215174,most auxetic,1,1.000*z0,
dePablo CV1,test,31,23,0.20909090909090908,-0.47348839442164137,-0.5734598575106268,-2.009204149246216,-1.0541442097344325,most auxetic,1,1.000*z0,
dePablo CV1,test,31,24,0.21818181818181817,-0.47761194029850745,-0.5734598575106268,-1.9832876920700073,-1.028227752558224,most auxetic,1,1.000*z0,
dePablo CV1,test,31,25,0.22727272727272727,-0.4814111621335217,-0.5734598575106268,-1.9588398933410645,-1.003779953829281,most auxetic,1,1.000*z0,
dePablo CV1,test,31,26,0.23636363636363636,-0.48487678560057734,-0.5734598575106268,-1.9340968132019043,-0.9790368736901209,most auxetic,1,1.000*z0,
dePablo CV1,test,31,27,0.24545454545454545,-0.4883212424644937,-0.5734598575106268,-1.9094208478927612,-0.9543609083809779,most auxetic,1,1.000*z0,
dePablo CV1,test,31,28,0.2545454545454545,-0.4916553368406534,-0.5734598575106268,-1.8851314783096313,-0.930071538797848,most auxetic,1,1.000*z0,
dePablo CV1,test,31,29,0.2636363636363636,-0.4946357237968423,-0.5734598575106268,-1.8591837882995605,-0.9041238487877772,most auxetic,1,1.000*z0,
dePablo CV1,test,31,30,0.2727272727272727,-0.49734350583693354,-0.5734598575106268,-1.8351844549179077,-0.8801245154061244,most auxetic,1,1.000*z0,
dePablo CV1,test,31,31,0.2818181818181818,-0.49977763942008363,-0.5734598575106268,-1.8115627765655518,-0.8565028370537684,most auxetic,1,1.000*z0,
dePablo CV1,test,31,32,0.2909090909090909,-0.5022572196567647,-0.5734598575106268,-1.7860527038574219,-0.8309927643456385,most auxetic,1,1.000*z0,
dePablo CV1,test,31,33,0.3,-0.5048363654588283,-0.5734598575106268,-1.7619904279708862,-0.8069304884591029,most auxetic,1,1.000*z0,
dePablo CV1,test,31,34,0.3090909090909091,-0.5071246778089387,-0.5734598575106268,-1.7367841005325317,-0.7817241610207484,most auxetic,1,1.000*z0,
dePablo CV1,test,31,35,0.3181818181818182,-0.5092824413056828,-0.5734598575106268,-1.713318943977356,-0.7582590044655726,most auxetic,1,1.000*z0,
dePablo CV1,test,31,36,0.32727272727272727,-0.5113199748955256,-0.5734598575106268,-1.6884263753890991,-0.7333664358773158,most auxetic,1,1.000*z0,
dePablo CV1,test,31,37,0.33636363636363636,-0.513290149653786,-0.5734598575106268,-1.6643134355545044,-0.709253496042721,most auxetic,1,1.000*z0,
dePablo CV1,test,31,38,0.34545454545454546,-0.5154849934754241,-0.5734598575106268,-1.6400426626205444,-0.6849827231087611,most auxetic,1,1.000*z0,
dePablo CV1,test,31,39,0.35454545454545455,-0.5172394310493382,-0.5734598575106268,-1.6156456470489502,-0.6605857075371668,most auxetic,1,1.000*z0,
dePablo CV1,test,31,40,0.36363636363636365,-0.5189826353984495,-0.5734598575106268,-1.591437816619873,-0.6363778771080897,most auxetic,1,1.000*z0,
dePablo CV1,test,31,41,0.37272727272727274,-0.5206802520048897,-0.5734598575106268,-1.5679970979690552,-0.6129371584572718,most auxetic,1,1.000*z0,
dePablo CV1,test,31,42,0.38181818181818183,-0.5223947133791367,-0.5734598575106268,-1.5439791679382324,-0.5889192284264491,most auxetic,1,1.000*z0,
dePablo CV1,test,31,43,0.39090909090909093,-0.5240613635199508,-0.5734598575106268,-1.5189894437789917,-0.5639295042672083,most auxetic,1,1.000*z0,
dePablo CV1,test,31,44,0.4,-0.5254069745617438,-0.5734598575106268,-1.4959264993667603,-0.5408665598549769,most auxetic,1,1.000*z0,
dePablo CV1,test,31,45,0.4090909090909091,-0.5269435439476421,-0.5734598575106268,-1.4717035293579102,-0.5166435898461268,most auxetic,1,1.000*z0,
dePablo CV1,test,31,46,0.41818181818181815,-0.5283355271030274,-0.5734598575106268,-1.4482063055038452,-0.49314636599206185,most auxetic,1,1.000*z0,
dePablo CV1,test,31,47,0.42727272727272725,-0.5296397789020049,-0.5734598575106268,-1.4246770143508911,-0.46961707483910775,most auxetic,1,1.000*z0,
dePablo CV1,test,31,48,0.43636363636363634,-0.5309737557183641,-0.5734598575106268,-1.4003374576568604,-0.445277518145077,most auxetic,1,1.000*z0,
dePablo CV1,test,31,49,0.44545454545454544,-0.532276903034523,-0.5734598575106268,-1.3760873079299927,-0.4210273684182093,most auxetic,1,1.000*z0,
dePablo CV1,test,31,50,0.45454545454545453,-0.533466863293201,-0.5734598575106268,-1.3526536226272583,-0.39759368311547494,most auxetic,1,1.000*z0,
