dataset,latent_dim,step,pos_mse,p_ratio_mae,p_ratio_rmse,horizontal_strain_mae,horizontal_strain_rmse,vertical_strain_mae,movement_fraction_mse
Reid CV1,1,17,7.248427611367373e-05,0.20825606574860261,0.2382947094951145,0.002496888508559368,0.002573920688553913,0.0009595194544819602,0.29858278271876004
Reid CV1,1,18,8.602764088453711e-05,0.20874514873697406,0.23880238714772042,0.00277007524264405,0.002846981650057471,0.0010146038300692685,0.2720282076238459
Reid CV1,1,19,0.0001008909555332763,0.2091886714316912,0.2392501189327967,0.003042966735482252,0.003120275825954961,0.0010691803582683229,0.24942508598813892
Reid CV1,1,20,0.0001170702483644014,0.20957595189901645,0.23964063517195344,0.003315068973898841,0.003393111351553567,0.0011234048189702407,0.23002079868521605
Reid CV1,1,21,0.0001345663214164939,0.20993560841005607,0.23998325460342804,0.0035866915994377203,0.003665739288847548,0.0011781334189279473,0.21323047825328492
Reid CV1,1,22,0.00015337578854575726,0.2102557700835499,0.240287238279073,0.0038578899044960278,0.003938208117549785,0.0012329029357258108,0.1985973651078404
Reid CV1,1,23,0.0001734999074068949,0.21055533074994012,0.2405569038152819,0.00412884785748148,0.004210644659645584,0.0012879743590263949,0.18576125134798618
Reid CV1,1,24,0.00019493699073791504,0.2108248453229485,0.24079737835695195,0.0043994776644522456,0.004482965017903374,0.0013431203333926604,0.17443587194055382
Reid CV1,1,25,0.00021767447860702983,0.211073021553891,0.24101020337774381,0.004667619241132549,0.004753781324378839,0.0013983943383696518,0.164396504613654
Reid CV1,1,26,0.0002417201812660544,0.21130600437882097,0.24120612371273042,0.004935400763426105,0.005024412651621376,0.001453821606922578,0.15544737197680825
Reid CV1,1,27,0.0002670696449601578,0.2115177642649065,0.2413795694004019,0.005202668301157709,0.005294643210045675,0.0015093772478463362,0.14743534291885785
Reid CV1,1,28,0.00029372512675654975,0.21172314344569962,0.2415420352300197,0.00546976459587173,0.0055647997598190216,0.001565111536147605,0.14023170879359192
Reid CV1,1,29,0.00032167998381452497,0.2119220093015152,0.24169702189279366,0.00573650582679995,0.005834692247502444,0.0016210311257189875,0.13373159580879537
Reid CV1,1,30,0.00035092987075844195,0.2121072639286279,0.24183870613893393,0.006002889174080715,0.0061043000766774535,0.0016770292180667994,0.12784629297448125
Reid CV1,1,31,0.0003814721932207276,0.21228386399541577,0.2419667589525946,0.006268622456127361,0.006373354808256831,0.0017327623546373521,0.12249950839889517
Reid CV1,1,32,0.0004133047049938103,0.21244838210173528,0.2420875651859045,0.006533322986128895,0.006641464695667819,0.0017881895377436874,0.11762766894833165
Reid CV1,1,33,0.0004464333973401018,0.21261078958966045,0.24220481722836626,0.006797815074061254,0.006909418450641815,0.00184399670464467,0.1131738047672773
Reid CV1,1,34,0.0004808528556439803,0.2127707249177666,0.24231769989006546,0.007061989772694874,0.0071771199232673125,0.0018997998452428215,0.10909234239867126
Reid CV1,1,35,0.0005165581546251231,0.2129203930128917,0.24242034108900437,0.007325954054024335,0.007444669709711693,0.0019557359831244153,0.10534346967480095
Reid CV1,1,36,0.0005535451094133418,0.21306779653151878,0.2425165475392469,0.007589793757511865,0.007712160806649448,0.0020113824179917614,0.10189202804193662
Reid CV1,1,37,0.000591811935987268,0.2132090303963247,0.24261470134528487,0.007853431469367714,0.007979492908355267,0.0020669775893194186,0.09870794833810152
Reid CV1,1,38,0.000631360501335906,0.21334572140154123,0.24270497144248476,0.008116759562105188,0.00824653311786858,0.0021227998064957117,0.09576375818053531
Reid CV1,1,39,0.000672184892169047,0.21348201609800682,0.2427954880632732,0.008379838439890003,0.008513392554863948,0.0021785809933620305,0.09303678964015202
Reid CV1,1,40,0.0007142887138865833,0.21361321937240127,0.242883599769662,0.008642590327972743,0.008779968348386184,0.0022342595476037724,0.09050598956639108
Reid CV1,1,41,0.0007576638148096737,0.21374790265906646,0.24297335967549466,0.008905097866747699,0.009046332725849418,0.0022900888453285767,0.08815412708613171
Reid CV1,1,42,0.000802314366776941,0.21388111257900982,0.24306373107032248,0.009167309722692807,0.009312429587333861,0.0023461081834589867,0.08596462786016441
Reid CV1,1,43,0.0008482294645396742,0.21400720910539509,0.24314842848246135,0.009429167504301658,0.009578220840157322,0.0024021928337944792,0.08392381342661305
Reid CV1,1,44,0.0008954100281264244,0.21413248255489659,0.24323195553402205,0.009690692990819913,0.009843674802454992,0.002458446509651693,0.0820188919796349
Reid CV1,1,45,0.0009438494705150265,0.21425613934608814,0.24331314433252652,0.009951885879004342,0.010108832748455074,0.0025147031814746887,0.0802387967295921
Reid CV1,1,46,0.000993560781570346,0.21438151191471877,0.24340076723306173,0.010212291813748617,0.010373049082309165,0.00257118445656274,0.07857282864761675
Reid CV1,1,47,0.0010445264989941089,0.21450608600221321,0.24348562224701056,0.010471451154740768,0.010635713078930636,0.002627865573620757,0.07701266789342884
Reid CV1,1,48,0.001096744138969859,0.21462390798296452,0.24356777974904706,0.010730335466169437,0.01089811511265336,0.0026845148548287423,0.0755500090144831
Reid CV1,1,49,0.0011502164615832492,0.21474407527407616,0.24365346376967426,0.010988965770014151,0.011160319252388603,0.002741389958442204,0.07417739390519042
Reid CV1,1,50,0.0012049527791912543,0.21486914371190477,0.2437416435439446,0.01124725375839222,0.011422235871256401,0.0027985120031678084,0.0728875234246451
Reid CV1,1,51,0.0012609286697706514,0.21498700183866576,0.2438270122624623,0.0115053835668781,0.011684015582384624,0.0028556597402752807,0.0716754296465768
Reid CV1,1,52,0.0013181563873372194,0.21510747409762232,0.24391470806208826,0.011763207789484718,0.011945510945413228,0.002912954260192567,0.07053509882877154
Reid CV1,1,53,0.0013766263380521602,0.21522862231566073,0.24400361010745153,0.012020752218660894,0.012206764663732423,0.0029703724465275512,0.06946181931511565
Reid CV1,1,54,0.0014363385888108455,0.21534435212279018,0.2440874931112224,0.012278092820992424,0.012467873118076038,0.003027887587398025,0.06845096126422168
Reid CV1,1,55,0.0014972984825552843,0.21547116327760518,0.2441865364531296,0.012535127663781283,0.01272868522934347,0.003085765815249211,0.06749821317803567
Reid CV1,1,56,0.001559492292702754,0.21559016006760817,0.24427522125758946,0.01279168451875106,0.012989054876406773,0.0031435457206963197,0.06659998430588414
Reid CV1,1,57,0.0016229174450846083,0.21571053645034516,0.24436852824556485,0.013047944865830967,0.013249188067872723,0.0032016002308686135,0.06575308942789862
Reid CV1,1,58,0.001687591740819834,0.2158314693163126,0.24445879526309375,0.013303936876304722,0.0135090746232059,0.003259848283773717,0.0649534183933871
Reid CV1,1,59,0.0017534820588806005,0.2159444353247572,0.24454775900820744,0.013558837395953705,0.013767977965440353,0.003317686793137973,0.06419942157193763
Reid CV1,1,60,0.0018206085478052942,0.21606370008942696,0.24464346188270192,0.013811117832157315,0.014023483007499784,0.003375768495543512,0.06348748555470748
Reid CV1,1,61,0.0018889560145256457,0.2161897446492716,0.24474401426754988,0.014062853218013734,0.014278348117697176,0.0034340641863922234,0.06281549024132696
Reid CV1,1,62,0.0019585315742766236,0.21631003159180087,0.24484302740470895,0.01431429437449804,0.014532991349233887,0.003492511464662594,0.06218086477655871
Reid CV1,1,63,0.0020293194206375906,0.21642897013671325,0.2449423556973134,0.01456551033696969,0.014787449537809538,0.0035509743372780195,0.06158203748214351
Reid CV1,1,64,0.0021013328649187044,0.2165547086460012,0.24504616873225535,0.01481646529284441,0.015041716274768314,0.0036096863730027996,0.061016481909385835
Reid CV1,1,65,0.002174552881033785,0.21666808554235026,0.24514023546091784,0.015066590497503293,0.015295110585792124,0.003668146106871002,0.06048276819119196
Reid CV1,1,66,0.0022489995984082568,0.21679447419987524,0.24524653587829817,0.015316376239378407,0.015548216480687783,0.003726825860111214,0.05997876335136894
Reid CV1,1,67,0.0023246636395273146,0.21691708828350573,0.24535401341522942,0.015565850295068297,0.01580104663357136,0.0037855721526085053,0.059503220739648845
Reid CV1,1,68,0.002401528676707687,0.21703860008642137,0.24545457530257306,0.01581506447369906,0.016053679749290062,0.0038443263047304456,0.05905474559971807
Reid CV1,1,69,0.0024796010936791106,0.2171605840737507,0.24556311329274758,0.016064062688439497,0.0163061414319723,0.003902436270978703,0.05863196091763135
Reid CV1,1,70,0.002558894179163695,0.21728534663841187,0.24567531234314463,0.016312688997408464,0.016558274896006496,0.003959907719896292,0.058233348377321886
Reid CV1,1,71,0.0026393755714395153,0.2174169925051502,0.2457932305521162,0.016561177762204428,0.016810298228460568,0.0040176581102652495,0.057858204332488304
Reid CV1,1,72,0.002721060003126179,0.21753494072931295,0.2458986585555008,0.01680941233964384,0.017062118904562558,0.004075359748169235,0.05750506909936434
Reid CV1,1,73,0.0028039465481137383,0.21765713806938766,0.24600778205916993,0.01705735672826162,0.017313685501926693,0.004133218060151542,0.057172978593307784
Reid CV1,1,74,0.0028880168979209084,0.21778238430166755,0.2461229140636473,0.0173046319133589,0.01756460814917327,0.004190983676145153,0.05686141123414262
Reid CV1,1,75,0.0029733016680397874,0.21791477867466158,0.24624180643644103,0.017551524626741578,0.017815193935818905,0.004249190122236736,0.056568612685181506
Reid CV1,1,76,0.003059759958466487,0.2180382188473335,0.24635637469394694,0.017797357423561755,0.018064529001730466,0.004307323811672879,0.05629461385478563
Reid CV1,1,77,0.0031474135058528895,0.21816095671372757,0.2464731925013944,0.018042413153644087,0.018313015708927304,0.004365680266155037,0.05603815901250666
Reid CV1,1,78,0.0032362482847590277,0.218289375275528,0.24659162387725278,0.01828728137735318,0.018561357032128332,0.004424024482811183,0.055798579372554655
Reid CV1,1,79,0.0033262603891902227,0.218415116381652,0.24671056510086695,0.018531716260269976,0.0188093053623018,0.004482640780261656,0.05557537454539571
Reid CV1,1,80,0.003417475387078724,0.21854757700915364,0.24683601988610898,0.01877531319119226,0.019056406327853666,0.0045414825414545,0.055367447683436204
Reid CV2,2,0,3.235857743607424e-05,,,0.0019529825381797564,0.0019573190894176004,0.0005912219556863916,
Reid CV2,2,1,2.5772278441668753e-05,0.2065808462003514,0.2262038674389048,0.0017054241940454456,0.0017107032777182278,0.0005743617380044514,55.75901228588293
Reid CV2,2,2,2.0081768824055153e-05,0.257504385909415,0.2891805044914115,0.0014455904351524103,0.0014527715605324861,0.0005858664647801816,13.794259983367384
Reid CV2,2,3,1.543327306902015e-05,0.277302322275712,0.3143923170437443,0.0011847811568771402,0.0011954711971260315,0.0006005584506605089,6.240406282606305
Reid CV2,2,4,1.1861636742094615e-05,0.2882294118354368,0.32845946845640833,0.0009234046810354706,0.000940745128317407,0.0006165014049085942,3.606086026803353
Reid CV2,2,5,9.389511412893571e-06,0.29513551741271216,0.3374299063756703,0.0006616941773162777,0.0006924023789797149,0.0006331440898812944,2.380778367892985
Reid CV2,2,6,8.035704332311314e-06,0.2998945878818135,0.34366401665082547,0.0004113411716068066,0.00046152348325892277,0.00065031894369902,1.7089237829844317
Reid CV2,2,7,7.815930221520613e-06,0.3033717835838422,0.3482429266948553,0.0002469882050432055,0.00029412182113542864,0.000667759203383684,1.2990637905722235
Reid CV2,2,8,8.743267817951178e-06,0.3060034779581298,0.35172495805048715,0.00024271764821148954,0.0003169927563058035,0.0006935951737571306,1.0295910438314788
Reid CV2,2,9,1.0828560377050773e-05,0.3081005262282548,0.35451923450699957,0.00040970349248604167,0.0005034898199022305,0.0007247301021474974,0.8422946339131624
Reid CV2,2,10,1.4079950777959854e-05,0.3097715973645903,0.3567593784956119,0.000651433300366905,0.0007385683262040848,0.0007621496409199615,0.7064200733522148
Reid CV2,2,11,1.8504638628248575e-05,0.31114532242757476,0.3585981540528233,0.000910468357383237,0.0009881555512975925,0.0008034878424017062,0.6044314385154202
Reid CV2,2,12,2.4108535745287567e-05,0.3122925758697988,0.3601513349946804,0.0011712691529886376,0.001242882499892693,0.0008494081527413321,0.5257488479315132
Reid CV2,2,13,3.0895683151479106e-05,0.31327680057026297,0.36148197721685393,0.0014321126866094,0.0015007231463785291,0.000897351703311554,0.46365183793057
Reid CV2,2,14,3.886883397212638e-05,0.3141162326249406,0.3626188437595182,0.0016915427198638986,0.0017584669022584058,0.0009471641200584073,0.4136997587059954
Reid CV2,2,15,4.803121024831771e-05,0.3148540232178621,0.3636256150012182,0.0019508922047617983,0.0020172313549813034,0.0009980933023354512,0.3728624240681821
Reid CV2,2,16,5.838134632934121e-05,0.3154945060612303,0.3645036098037806,0.002209601988596104,0.002276015595890779,0.0010499406330006676,0.33900635487410474
Reid CV2,2,17,6.992531125976725e-05,0.3160687293364855,0.3652963825049331,0.002468121752059329,0.0025352219771131623,0.0011039347976734208,0.3105790865615182
Reid CV2,2,18,8.2656719287251e-05,0.31657089913836456,0.3659981107851143,0.0027265635488048084,0.0027947409374685403,0.0011583704374859012,0.2864767215402917
Reid CV2,2,19,9.657795388519125e-05,0.31702397003761656,0.3666400162874648,0.002984843438101078,0.0030544267243914317,0.001213118833121493,0.26583841962786314
Reid CV2,2,20,0.00011168558308211808,0.31744125664828515,0.3672237736397415,0.0032423935373790615,0.003313560382350184,0.001267623990268572,0.24802509552494642
Reid CV2,2,21,0.00012797940252678912,0.3178173463781285,0.36775925555501504,0.003499534970397273,0.0035724309325637867,0.0013225231546059864,0.23253508133403375
Reid CV2,2,22,0.00014545634333973874,0.31816676103534886,0.3682570383010462,0.00375634561344395,0.003831152005607076,0.0013782618376411329,0.2189741956451699
Reid CV2,2,23,0.0001641165481080169,0.3184777796326947,0.3687145515374672,0.004012937595824663,0.004089796992418106,0.0014341637672679844,0.20702962670808298
Reid CV2,2,24,0.00018395811574335502,0.31877334223319725,0.36914123325441656,0.004269218193352874,0.004348301777915853,0.0014903009070145932,0.19645149144943705
Reid CV2,2,25,0.00020496786926932104,0.3190324316194859,0.36953142554778806,0.004523019214599834,0.004605183620978316,0.0015466065697589523,0.18704422010144842
Reid CV2,2,26,0.0002271542312584317,0.31928772718143844,0.3699121629854939,0.004776442073960553,0.004861845507296788,0.0016037652780813943,0.17863278787847373
Reid CV2,2,27,0.00025051141287193204,0.31951258541542055,0.37026063787274727,0.005029361882676903,0.005118112230542168,0.0016611397716050805,0.17108148192697598
Reid CV2,2,28,0.00027504171700470513,0.3197304656806554,0.3705957471007639,0.005282112588826714,0.005374302790742327,0.0017186725097236089,0.16427405648563004
Reid CV2,2,29,0.0003007399682789596,0.3199435953336857,0.37092046799542755,0.0055344932274366265,0.005630206870119103,0.0017764244143991066,0.15811667289864115
Reid CV2,2,30,0.0003276012725815344,0.3201354744163467,0.37122465740015603,0.005786508587685342,0.005885807036706036,0.0018343172064455163,0.15252940304440124
Reid CV2,2,31,0.00035562315662982245,0.32031410094471985,0.37151205113003627,0.006037871370567077,0.006140858214861992,0.0018924995698094784,0.14744236422344761
Reid CV2,2,32,0.00038480722352361946,0.3204889873488568,0.37179054945648765,0.006288224589391687,0.0063949926468098856,0.00195021904783239,0.14279778711997088
Reid CV2,2,33,0.00041515830276123904,0.320655787279644,0.37206218600442736,0.006538372058965125,0.006648973440162117,0.002008350646554989,0.13854217444812184
Reid CV2,2,34,0.00044667184089637125,0.3208166775969659,0.3723235251123678,0.006788210427418149,0.006902717157776043,0.0020664764345486733,0.13463402822782358
Reid CV2,2,35,0.0004793462676253281,0.32096073129920544,0.3725693931465166,0.00703786623665156,0.007156331167669346,0.002124747600248391,0.1310365090473409
Reid CV2,2,36,0.0005131767226084232,0.3210917793520533,0.3727975576535233,0.007287253594816254,0.0074097514747065866,0.0021827496963178,0.1277174007062214
Reid CV2,2,37,0.0005481668451276204,0.3212311351545024,0.3730338361979687,0.007536455247328174,0.007663028807473949,0.0022407250141487593,0.12464868655681782
Reid CV2,2,38,0.0005843171405904829,0.3213582419461566,0.3732560014334861,0.007785401064461781,0.007916067074047807,0.0022989489562955084,0.12180444759718448
Reid CV2,2,39,0.000621626265225376,0.3214828936078426,0.37347489331200084,0.008034124562764245,0.00816895247815105,0.002357157456374275,0.11916384123478332
Reid CV2,2,40,0.000660097663057968,0.32159215910540623,0.37368101687708477,0.008282592250372721,0.008421627161134619,0.002415315981501121,0.11670699972884463
Reid CV2,2,41,0.0006997252861385359,0.321704038580429,0.37388575061803947,0.008530854479056663,0.008674133856762717,0.0024735745045794248,0.1144182849922582
Reid CV2,2,42,0.0007405176883869207,0.32181498148894655,0.3740893784718969,0.008778872677203477,0.008926420489253422,0.0025320584072931317,0.11228185813046464
Reid CV2,2,43,0.0007824649897042607,0.32192052118328834,0.37428613187582394,0.00902660252377368,0.00917847481398341,0.0025906062540179157,0.11028533995228496
Reid CV2,2,44,0.0008255685140976487,0.3220179888226014,0.3744750518594968,0.00927406074856794,0.00943027098860798,0.0026493615138414544,0.10841645446289006
Reid CV2,2,45,0.0008698253016640891,0.3221093336495097,0.3746552105332083,0.009521232601603447,0.009681820108540679,0.0027080736521189115,0.1066653754048693
Reid CV2,2,46,0.0009152517274348761,0.3222017570629351,0.37483857477040256,0.009767667833066174,0.0099324999183607,0.002767023841493859,0.10502194661381527
Reid CV2,2,47,0.00096182961454754,0.32228613567597303,0.37501431874907426,0.010012942981059859,0.010181745254654711,0.0028262162448349963,0.10347846902271914
Reid CV2,2,48,0.0010095610254645738,0.3223711031857024,0.37518707654140376,0.010257974222419686,0.010430757891680489,0.002885374842763921,0.1020272424905437
Reid CV2,2,49,0.0010584495165003047,0.3224550882239418,0.3753571726672344,0.010502816125165602,0.01067964836322537,0.0029449094702582467,0.10066140506463346
Reid CV2,2,50,0.001108503582498142,0.322529072360287,0.37552252268121095,0.010747370961672754,0.010928302374884602,0.003004751685197427,0.09937385526210639
Reid CV2,2,51,0.0011597049236645115,0.32260779489878444,0.37568640112296864,0.010992005143499751,0.011177034054933786,0.0030646222985953263,0.09816057403018218
Reid CV2,2,52,0.0012120659699413315,0.3226816528776783,0.37584903331893665,0.011236541138311474,0.011425665969082184,0.0031246375110007027,0.0970156552859991
Reid CV2,2,53,0.0012655767382803694,0.32274551387245454,0.37600228722424617,0.011480836827381305,0.011674104777492245,0.003184781862542816,0.09593490258966506
Reid CV2,2,54,0.001320241314511913,0.322812566903766,0.37615552358159,0.011725003349668051,0.011922472795265402,0.0032450213982800243,0.09491404875330092
Reid CV2,2,55,0.0013760662700202484,0.3228833940299463,0.37631658274428686,0.011968883884747619,0.012170566674498335,0.0033055967174552927,0.09394892231683091
Reid CV2,2,56,0.0014330361615310409,0.3229435211146923,0.37646171830248915,0.012212332423892568,0.012418288885079638,0.003366058761207838,0.0930364048035974
Reid CV2,2,57,0.0014911533182194985,0.32300876040103965,0.37661136262957373,0.01245550682535562,0.012665799588906249,0.0034267211590293728,0.09217369817997331
Reid CV2,2,58,0.001550435291867314,0.3230649368166196,0.3767553385140158,0.012698525481223919,0.012913156355667926,0.003487534868122598,0.0913565212957301
Reid CV2,2,59,0.00161085002308489,0.32312291165991086,0.3768960006215669,0.012940630825713683,0.013159638550691124,0.0035479698618649863,0.09058430848656468
Reid CV2,2,60,0.001672418877558866,0.323178928930151,0.37703803993012125,0.01318011883967073,0.01340259107455522,0.0036085828298225413,0.08985313841679504
Reid CV2,2,61,0.0017351278324555883,0.32323328080891756,0.37717939916377174,0.013419080231545897,0.013644910457629385,0.0036694735865181695,0.08916124644587455
Reid CV2,2,62,0.0017989833253685996,0.32328700726885884,0.3773174573656979,0.013657758947084488,0.013887025253761806,0.003730507188263063,0.08850611763513536
Reid CV2,2,63,0.001863972922446512,0.3233422615031594,0.3774541297201983,0.013896204987478376,0.014128951843186743,0.003791544832758754,0.08788671833072005
Reid CV2,2,64,0.0019301092278198408,0.3233877764899527,0.37758806877319834,0.01413441412181842,0.014370713619278703,0.003852827810588834,0.08730033489747376
Reid CV2,2,65,0.0019973718540381583,0.3234391736052107,0.37771928296444235,0.014371788882992412,0.014611607163714938,0.003913883725878861,0.08674584484815144
Reid CV2,2,66,0.0020657835585593397,0.32348719803575776,0.37785429058475634,0.014608813793525782,0.014852205027004775,0.003975115817768383,0.08622118515265881
Reid CV2,2,67,0.0021353362244553864,0.32353759095905393,0.3779860605889762,0.014845526852499695,0.015092525052973873,0.004036431523505831,0.08572525959931038
Reid CV2,2,68,0.002206008935194296,0.3235772139113802,0.3781100658711863,0.015081965423515396,0.015332647158233514,0.004097794315220319,0.08525691034380231
Reid CV2,2,69,0.0022778157110034084,0.3236247658327748,0.3782417927074979,0.015318172258472842,0.015572578339584489,0.004158418305996395,0.08481483680016441
Reid CV2,2,70,0.0023507651275218424,0.3236748567925095,0.37837397067878176,0.015553966811508167,0.015812145611584703,0.004218452971518045,0.08439753275636787
Reid CV2,2,71,0.0024248256726857663,0.323718467480088,0.37850249134843433,0.01578960849375403,0.01605159071835618,0.004278769001192806,0.0840045723063801
Reid CV2,2,72,0.002500014617663822,0.3237643201487886,0.378627337969575,0.016024886791142307,0.01629072807532334,0.004339081611913956,0.08363442667701147
Reid CV2,2,73,0.0025763267341917797,0.32380307581507844,0.3787521011794012,0.016259826015840282,0.016529566980239555,0.004399532482079792,0.08328631943540059
Reid CV2,2,74,0.00265374858585645,0.3238535086600024,0.3788798061000689,0.016494083851777856,0.016767729980332973,0.004460025604096546,0.08295991965745005
Reid CV2,2,75,0.0027323025869511403,0.32388860576207873,0.3790040938757705,0.01672790088731225,0.017005497141766333,0.004520835803558321,0.08265316522153245
Reid CV2,2,76,0.0028119576163589954,0.323934645448622,0.3791288221900059,0.016960656852926737,0.017242019955942597,0.004581667109159362,0.08236661431550235
Reid CV2,2,77,0.0028927285648159573,0.3239736161370912,0.37924894888033733,0.017192754893804226,0.017477819698696724,0.0046426091304420285,0.08209883270959732
Reid CV2,2,78,0.0029746044006671254,0.32401759635975186,0.3793737982362111,0.01742460998365459,0.01771342396328466,0.004703694397315383,0.08184922213252517
Reid CV2,2,79,0.0030575779200628845,0.3240565348855704,0.37949725201520224,0.017655979967861453,0.017948582441862933,0.004764912189311623,0.08161753865116025
Reid CV2,2,80,0.0031416727257753485,0.32409899335554115,0.37961899096507823,0.017886446313807595,0.018182787025606984,0.004826434611813007,0.08140231251385258
