dataset,split,sim_idx,frame,axis_p_ratio,axis_x_compression,final_p_ratio,x_compression,trajectory_progress
Reid CV2,test,0,0,0.00827054013188341,-1.647145544520244,-0.5936111989220015,-0.0,0.0
Reid CV2,test,0,10,0.008193742801806977,-1.6314107841693444,-0.5936111989220015,0.0001935687603359527,0.0066711140760507
Reid CV2,test,0,20,0.008090294194039433,-1.6111341803017682,-0.5936111989220015,0.0004004102980718396,0.0133422281521014
Reid CV2,test,0,30,0.007979236540380472,-1.5895317641890694,-0.5936111989220015,0.0006136655269003121,0.0200133422281521
Reid CV2,test,0,40,0.007866798586827633,-1.5675932727545727,-0.5936111989220015,0.0008292368108455516,0.0266844563042028
Reid CV2,test,0,50,0.007754386928907846,-1.5455858980505335,-0.5936111989220015,0.0010077512129225187,0.0333555703802535
Reid CV2,test,0,60,0.007641206835067577,-1.5233638405994154,-0.5936111989220015,0.0011702313872680216,0.0400266844563042
Reid CV2,test,0,70,0.007526976742886688,-1.500916690905485,-0.5936111989220015,0.001331731692141046,0.0466977985323549
Reid CV2,test,0,80,0.007412228014413276,-1.478324455449628,-0.5936111989220015,0.0014907377838113984,0.0533689126084056
Reid CV2,test,0,90,0.007297166577370369,-1.4556138641958896,-0.5936111989220015,0.0016493875593099404,0.06004002668445631
Reid CV2,test,0,100,0.007181238531373399,-1.4326829137321784,-0.5936111989220015,0.0018062557539494308,0.066711140760507
Reid CV2,test,0,110,0.007064379824122901,-1.4095725045019671,-0.5936111989220015,0.001961253288686917,0.0733822548365577
Reid CV2,test,0,120,0.006946789084954317,-1.3862713808287561,-0.5936111989220015,0.002115894507252593,0.0800533689126084
Reid CV2,test,0,130,0.00682850585361331,-1.3627826162021013,-0.5936111989220015,0.002268397828787407,0.0867244829886591
Reid CV2,test,0,140,0.006708799251355592,-1.3390201337334862,-0.5936111989220015,0.002420099438935648,0.0933955970647098
Reid CV2,test,0,150,0.006588418319864203,-1.315096162919488,-0.5936111989220015,0.002570019468224837,0.1000667111407605
Reid CV2,test,0,160,0.006467042091602518,-1.2909625215549363,-0.5936111989220015,0.002719405023256311,0.1067378252168112
Reid CV2,test,0,170,0.0063446836927665015,-1.2666067426092635,-0.5936111989220015,0.002867721629772354,0.1134089392928619
Reid CV2,test,0,180,0.006221428444361264,-1.2420747195415116,-0.5936111989220015,0.0030148802087300135,0.12008005336891261
Reid CV2,test,0,190,0.006096929782893229,-1.217288831117786,-0.5936111989220015,0.003160524443957479,0.12675116744496331
Reid CV2,test,0,200,0.005971353095967721,-1.1922681323441235,-0.5936111989220015,0.0033058123630131343,0.133422281521014
Reid CV2,test,0,210,0.005844939510540113,-1.1670621946473454,-0.5936111989220015,0.0034500313335533586,0.1400933955970647
Reid CV2,test,0,220,0.005717458355408163,-1.1416165628224468,-0.5936111989220015,0.0035938939879217725,0.1467645096731154
Reid CV2,test,0,230,0.005588863467044723,-1.1159705399553812,-0.5936111989220015,0.003736598614731803,0.1534356237491661
Reid CV2,test,0,240,0.005459514282592782,-1.0901395556796916,-0.5936111989220015,0.0038782342930264026,0.1601067378252168
Reid CV2,test,0,250,0.005328826034593114,-1.0640385586520615,-0.5936111989220015,0.004019246418020334,0.1667778519012675
Reid CV2,test,0,260,0.005197072583188643,-1.0377440703873237,-0.5936111989220015,0.00415936775258474,0.1734489659773182
Reid CV2,test,0,270,0.005064563130739841,-1.0112611931384332,-0.5936111989220015,0.004298241980547809,0.1801200800533689
Reid CV2,test,0,280,0.004930093660944689,-0.9844333957636262,-0.5936111989220015,0.004436759892339068,0.1867911941294196
Reid CV2,test,0,290,0.004794915493541533,-0.9574449569726275,-0.5936111989220015,0.00457536688317328,0.1934623082054703
Reid CV2,test,0,300,0.004658378943030786,-0.9302124251772603,-0.5936111989220015,0.004713261241663872,0.200133422281521
Reid CV2,test,0,310,0.004520865654220678,-0.9027518392845304,-0.5936111989220015,0.004849374019295412,0.2068045363575717
Reid CV2,test,0,320,0.004382546903936948,-0.8751225877268666,-0.5936111989220015,0.0049858431130987615,0.2134756504336224
Reid CV2,test,0,330,0.004242432001734526,-0.8471825434508481,-0.5936111989220015,0.00512124325838668,0.2201467645096731
Reid CV2,test,0,340,0.004101133263623827,-0.8190022005684854,-0.5936111989220015,0.005256108929416884,0.2268178785857238
Reid CV2,test,0,350,0.0039588796558515105,-0.7906325867092543,-0.5936111989220015,0.005391330916618898,0.2334889926617745
Reid CV2,test,0,360,0.0038150019208106397,-0.7619664454627655,-0.5936111989220015,0.005524593164875955,0.24016010673782523
Reid CV2,test,0,370,0.0036699714911026617,-0.7330708035067376,-0.5936111989220015,0.005657944492175965,0.24683122081387593
Reid CV2,test,0,380,0.003523898883248696,-0.7039683810784642,-0.5936111989220015,0.005791028582347117,0.25350233488992663
Reid CV2,test,0,390,0.003376701903631951,-0.6746519514091528,-0.5936111989220015,0.005923400040174648,0.2601734489659773
Reid CV2,test,0,400,0.0032279919048429284,-0.64507326531263,-0.5936111989220015,0.006055504260873322,0.266844563042028
Reid CV2,test,0,410,0.003077688920026386,-0.6152088497256547,-0.5936111989220015,0.006186806770185423,0.2735156771180787
Reid CV2,test,0,420,0.0029261790042740157,-0.5850862001747422,-0.5936111989220015,0.00631802020045457,0.2801867911941294
Reid CV2,test,0,430,0.002773118404072589,-0.5546825613590756,-0.5936111989220015,0.006449055472637813,0.2868579052701801
Reid CV2,test,0,440,0.0026186722810087756,-0.5240424375160452,-0.5936111989220015,0.0065794671915203875,0.2935290193462308
Reid CV2,test,0,450,0.002462814834727685,-0.4931398642440773,-0.5936111989220015,0.006708899040930484,0.3002001334222815
Reid CV2,test,0,460,0.002305391611942519,-0.46197517809738275,-0.5936111989220015,0.0068377964160828645,0.3068712474983322
