dataset,sim_idx,points,corr_z0_z1,corr_x_strain_p_ratio,x_strain_range,p_ratio_range
dePablo CV2,0,156,0.9999728887849595,0.5889279926651224,0.010371393571235057,0.07722276200840675
dePablo CV2,1,120,0.9990783216382646,0.6758852375172391,0.007024628365720535,0.35283353357770136
dePablo CV2,2,145,0.999967819186653,0.6927969568872445,0.010275702360088776,0.1983575825417356
dePablo CV2,3,148,0.9911568139467986,0.6116089009843332,0.010135527742584076,0.5001014052085614
dePablo CV2,4,157,0.9997367279795935,0.5994537876665185,0.009075434243536119,0.30034164790264073
dePablo CV2,5,176,0.9942043674747235,0.6849678322083551,0.010248337972531961,0.6436140978889612
dePablo CV2,6,153,0.984217698432534,0.67804798009187,0.009298561037664216,0.5577053430429937
dePablo CV2,7,136,0.9999804693427748,0.6960752416551489,0.00894423138140426,0.06185017526402373
