dataset,latent_dim,pc,explained_var,corr_p_ratio,corr_trajectory_progress,corr_final_p_ratio
Reid CV1,1,pc1,1.0,0.4790488572306374,-0.8564027104704245,0.4040148681096489
Reid CV2,2,pc1,0.9999977477222624,-0.4045252319361813,0.8882039708450916,-0.3257886950955956
Reid CV2,2,pc2,2.2522777375920676e-06,-0.3985793517596195,0.05191551130257997,-0.40572209929351105
