dataset,latent_dim,split,sim_idx,frame,frame_frac,p_ratio,next_p_ratio,delta_p_ratio,final_p_ratio,z0,dz0,z1,dz1,z2,dz2,z3,dz3
dePablo CV1,1,test,0,0,0.0,,0.23024236037934667,,0.15301959837093992,-1.461879849433899,0.009953618049621582,,,,,,
dePablo CV1,1,test,0,1,0.0064516129032258064,0.23024236037934667,0.2081578947368421,-0.022084465642504575,0.15301959837093992,-1.4519261121749878,0.010892868041992188,,,,,,
dePablo CV1,1,test,0,2,0.012903225806451613,0.2081578947368421,0.19276476756378888,-0.015393127173053217,0.15301959837093992,-1.4410333633422852,0.011362195014953613,,,,,,
dePablo CV1,1,test,0,3,0.01935483870967742,0.19276476756378888,0.18442033721082213,-0.008344430352966753,0.15301959837093992,-1.4296711683273315,0.0113372802734375,,,,,,
dePablo CV1,1,test,0,4,0.025806451612903226,0.18442033721082213,0.17945234113712374,-0.004967996073698383,0.15301959837093992,-1.418333888053894,0.011168956756591797,,,,,,
dePablo CV1,1,test,0,5,0.03225806451612903,0.17945234113712374,0.1755134006265228,-0.003938940510600952,0.15301959837093992,-1.4071649312973022,0.011197090148925781,,,,,,
dePablo CV1,1,test,0,6,0.03870967741935484,0.1755134006265228,0.17257066149601014,-0.002942739130512656,0.15301959837093992,-1.3959678411483765,0.011579751968383789,,,,,,
dePablo CV1,1,test,0,7,0.04516129032258064,0.17257066149601014,0.17027803158856547,-0.0022926299074446654,0.15301959837093992,-1.3843880891799927,0.011465787887573242,,,,,,
dePablo CV1,1,test,0,8,0.05161290322580645,0.17027803158856547,0.16901653611836379,-0.0012614954702016845,0.15301959837093992,-1.372922420501709,0.011322259902954102,,,,,,
dePablo CV1,1,test,0,9,0.05806451612903226,0.16901653611836379,0.1679548777940255,-0.0010616583243382993,0.15301959837093992,-1.3616001605987549,0.011195540428161621,,,,,,
dePablo CV1,1,test,0,10,0.06451612903225806,0.1679548777940255,0.1671415004748338,-0.0008133773191916771,0.15301959837093992,-1.3504046201705933,0.011157512664794922,,,,,,
dePablo CV1,1,test,0,11,0.07096774193548387,0.1671415004748338,0.16582476920397143,-0.0013167312708623757,0.15301959837093992,-1.3392471075057983,0.01165461540222168,,,,,,
dePablo CV1,1,test,0,12,0.07741935483870968,0.16582476920397143,0.164897893552018,-0.0009268756519534294,0.15301959837093992,-1.3275924921035767,0.011567831039428711,,,,,,
dePablo CV1,1,test,0,13,0.08387096774193549,0.164897893552018,0.16425265044049575,-0.0006452431115222534,0.15301959837093992,-1.316024661064148,0.01123356819152832,,,,,,
dePablo CV1,1,test,0,14,0.09032258064516129,0.16425265044049575,0.16394870722698446,-0.00030394321351129294,0.15301959837093992,-1.3047913312911987,0.011275053024291992,,,,,,
dePablo CV1,1,test,0,15,0.0967741935483871,0.16394870722698446,0.1633286503087529,-0.0006200569182315541,0.15301959837093992,-1.2935162782669067,0.011345624923706055,,,,,,
dePablo CV1,1,test,0,16,0.1032258064516129,0.1633286503087529,0.16282287822878228,-0.0005057720799706289,0.15301959837093992,-1.2821707725524902,0.011559844017028809,,,,,,
dePablo CV1,1,test,0,17,0.10967741935483871,0.16282287822878228,0.16208288560392647,-0.0007399926248558009,0.15301959837093992,-1.2706109285354614,0.011492013931274414,,,,,,
dePablo CV1,1,test,0,18,0.11612903225806452,0.16208288560392647,0.16172261970280682,-0.0003602659011196496,0.15301959837093992,-1.259118914604187,0.01155710220336914,,,,,,
dePablo CV1,1,test,0,19,0.12258064516129032,0.16172261970280682,0.16157285157781903,-0.00014976812498779246,0.15301959837093992,-1.247562050819397,0.011200189590454102,,,,,,
dePablo CV1,1,test,0,20,0.12903225806451613,0.16157285157781903,0.16120116530962875,-0.0003716862681902855,0.15301959837093992,-1.2363617420196533,0.011189103126525879,,,,,,
dePablo CV1,1,test,0,21,0.13548387096774195,0.16120116530962875,0.16086708499714775,-0.0003340803124809999,0.15301959837093992,-1.225172519683838,0.01158154010772705,,,,,,
dePablo CV1,1,test,0,22,0.14193548387096774,0.16086708499714775,0.16057298772169168,-0.0002940972754560678,0.15301959837093992,-1.2135909795761108,0.011460065841674805,,,,,,
dePablo CV1,1,test,0,23,0.14838709677419354,0.16057298772169168,0.1603399433427762,-0.00023304437891547014,0.15301959837093992,-1.202130913734436,0.011286139488220215,,,,,,
dePablo CV1,1,test,0,24,0.15483870967741936,0.1603399433427762,0.16018828451882844,-0.00015165882394777008,0.15301959837093992,-1.1908447742462158,0.011337757110595703,,,,,,
