dataset,split,sim_idx,frame,frame_frac,node_count,p_ratio,final_p_ratio,mean_abs_y_disp,rms_y_disp,mean_y_disp,vertical_span_change,vertical_strain,horizontal_strain,top_mean_dy,bottom_mean_dy,top_bottom_opening,left_mean_dy,right_mean_dy,left_right_y_asymmetry,mean_abs_x_disp,z0,latent_pc1,y_mode1,y_mode2,y_mode3,y_mode4,z1,latent_pc2
dePablo CV1,test,0,0,0.0,104,,-0.5734598575106268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736038863658905,0.9630858872507024,-0.11506084719120578,-0.0043766082705546955,0.0001439735984679353,0.0006406666548815504,,
dePablo CV1,test,0,1,0.00909090909090909,104,0.021750951604132682,-0.5734598575106268,2.8630360247916542e-05,3.43699284712784e-05,-7.101692744981847e-07,4.00543212890625e-05,3.629565298979287e-06,-9.504008630756289e-05,4.99289217259502e-06,-6.413230494217714e-06,1.1406122212065384e-05,-4.405442268762272e-06,2.9851037197659025e-06,-7.390545761154499e-06,0.0002479944669175893,0.2939648926258087,0.9834468935106206,-0.11500037865494932,-0.004206275500493467,0.00023986553995653813,0.0004631503408589521,,
dePablo CV1,test,0,2,0.01818181818181818,104,-0.10762942779291552,-0.5734598575106268,8.57195773278363e-05,0.00010819463204825297,4.450790584087372e-06,-0.00018024444580078125,-1.6333044186467305e-05,-0.00019272966892458498,-4.7952078602975234e-05,5.685365977114998e-05,-0.00010480573837412521,-6.703373401251156e-06,1.5604953659931198e-05,-2.2308326151687652e-05,0.0004982269019819796,0.31200048327445984,1.0014824841592718,-0.11420069670177438,-0.0038829916320839465,0.00023642924696350075,0.0002429357938939854,,
dePablo CV1,test,0,3,0.02727272727272727,104,-0.19130751045644662,-0.5734598575106268,0.0001839958131313324,0.00022876453294884413,1.2800956938008312e-05,-0.0005102157592773438,-4.62337484350428e-05,-0.0002876842918340117,-0.00013121790834702551,0.00015681982040405273,-0.00028803772875107825,-1.100937879527919e-05,3.661129449028522e-05,-4.762067328556441e-05,0.0007512200972996652,0.3284124433994293,1.0178944442842413,-0.11299827314173583,-0.003493769613081211,0.00019438812535826336,4.9699537792983655e-05,,
dePablo CV1,test,0,4,0.03636363636363636,104,-0.24627375905920962,-0.5734598575106268,0.00030223437352105975,0.00036916518001817167,2.1248053599265404e-05,-0.0008697509765625,-7.881341298343614e-05,-0.00038357905577868223,-0.00023032122408039868,0.0002728173276409507,-0.0005031385226175189,-1.6958667401922867e-05,5.9454774600453675e-05,-7.641344564035535e-05,0.0010068181436508894,0.3437279164791107,1.0332099173639226,-0.11160336905821064,-0.003095404157592266,0.0001655308507011182,-9.019315653489664e-05,,
dePablo CV1,test,0,5,0.045454545454545456,104,-0.28460103171989903,-0.5734598575106268,0.0004313308163546026,0.0005196466809138656,3.0916973628336564e-05,-0.001270294189453125,-0.00011510906915646046,-0.0004794738197233528,-0.00033781977253966033,0.0003996537416242063,-0.0007374734850600362,-2.5665387511253357e-05,8.749933476792648e-05,-0.00011316472227917984,0.0012638892512768507,0.35909733176231384,1.0485793326471258,-0.11009911815424359,-0.002718151957084861,0.00011841084254398868,-0.00018476087848388445,,
dePablo CV1,test,0,6,0.05454545454545454,104,-0.3108566193311956,-0.5734598575106268,0.0005653258413076401,0.0006749856402166188,3.9989128708839417e-05,-0.001659393310546875,-0.00015036770491860807,-0.0005753685836680233,-0.0004507059638854116,0.0005306842504069209,-0.000981390243396163,-3.559686956577934e-05,0.00011557512334547937,-0.0001511719892732799,0.0015224914532154799,0.37484848499298096,1.0643304858777929,-0.10854291280401766,-0.0023525312456178227,8.930547023930011e-05,-0.00023940646740332747,,
dePablo CV1,test,0,7,0.06363636363636363,104,-0.3310794873810834,-0.5734598575106268,0.0007058586925268173,0.000835588900372386,4.9709844461176544e-05,-0.0020704269409179688,-0.00018761395767796785,-0.0006721180398017168,-0.0005686956574209034,0.0006681153317913413,-0.0012368110474199057,-4.652744246413931e-05,0.0001459471241105348,-0.00019247457385063171,0.0017819685162976384,0.3909321427345276,1.0804141436193395,-0.10692178822089558,-0.002025861361374868,5.433809283606758e-05,-0.00026135353622265144,,
dePablo CV1,test,0,8,0.07272727272727272,104,-0.3485359972442301,-0.5734598575106268,0.0008537235553376377,0.0010040774941444397,5.945111843175255e-05,-0.0025005340576171875,-0.0002265885705128312,-0.0007671581115573645,-0.0006943354965187609,0.0008132377406582236,-0.0015075732953846455,-5.777280603069812e-05,0.00017667505017016083,-0.00023444785620085895,0.002042436273768544,0.40654656291007996,1.0960285637948919,-0.10521719834418532,-0.0017149210530276466,2.1373139504195586e-05,-0.0002716551433015914,,
dePablo CV1,test,0,9,0.08181818181818182,104,-0.36444989273674533,-0.5734598575106268,0.001008794759400189,0.001179297105409205,6.89684457029216e-05,-0.0029401779174804688,-0.0002664273779373616,-0.0008630529046058655,-0.0008269110112451017,0.0009648479172028601,-0.0017917589284479618,-7.068250852171332e-05,0.00020861941447947174,-0.00027930192300118506,0.0023039248771965504,0.42268308997154236,1.1121650908563543,-0.1034402295505526,-0.0014206131049861544,-1.5216377825506443e-05,-0.0002619869830878264,,
dePablo CV1,test,0,10,0.09090909090909091,104,-0.3775104833370117,-0.5734598575106268,0.0011690986575558782,0.0013595536584034562,8.009668090380728e-05,-0.0034008026123046875,-0.00030816736398264766,-0.000959802302531898,-0.0009621804347261786,0.0011223738547414541,-0.002084554173052311,-8.274371066363528e-05,0.00024293706519529223,-0.0003256807685829699,0.002567797899246216,0.4380677342414856,1.1275497351262975,-0.10160977249411875,-0.0011445680835641603,-4.8624782933209584e-05,-0.0002516534524295782,,
dePablo CV1,test,0,11,0.1,104,-0.38968337598474584,-0.5734598575106268,0.0013340176083147526,0.0015448554186150432,9.05180349946022e-05,-0.0038499832153320312,-0.00034887035144492984,-0.0010575773194432259,-0.0011029110755771399,0.0012839471455663443,-0.002386858221143484,-9.465461334912106e-05,0.0002756906906142831,-0.00037034531123936176,0.0028321915306150913,0.4544910788536072,1.143973079738419,-0.0997242371137114,-0.0008917721300565883,-7.618315101765922e-05,-0.00024122931141705905,,
dePablo CV1,test,0,12,0.10909090909090909,104,-0.4008097165991903,-0.5734598575106268,0.0015039497520774603,0.001735410070978105,0.0001016475580399856,-0.004329681396484375,-0.00039233872666954994,-0.0011534721124917269,-0.0012477879645302892,0.0014510831097140908,-0.00269887107424438,-0.00010797897266456857,0.00031127408146858215,-0.0004192530468571931,0.0030976166017353535,0.47025272250175476,1.1597347233865667,-0.09778347801343965,-0.0006509998329714161,-0.0001074125085704886,-0.00021828469898230553,,
dePablo CV1,test,0,13,0.11818181818181818,104,-0.41090013168514505,-0.5734598575106268,0.001677361549809575,0.0019287830218672752,0.00011237159196753055,-0.004810333251953125,-0.00043589348206296563,-0.0012502216268330812,-0.0013964733807370067,0.0016212165355682373,-0.003017690032720566,-0.00012149762187618762,0.0003462407912593335,-0.00046773842768743634,0.003363107331097126,0.48714542388916016,1.176627424773972,-0.09581098965027238,-0.0004321990322792607,-0.00014168240266032464,-0.000185504280129871,,
dePablo CV1,test,0,14,0.12727272727272726,104,-0.4198193222612332,-0.5734598575106268,0.0018537672003731132,0.002125323284417391,0.00012379289546515793,-0.0053005218505859375,-0.00048031244659796357,-0.0013461163034662604,-0.0015469735953956842,0.0017945594154298306,-0.003341533010825515,-0.00013527889677789062,0.0003828647022601217,-0.0005181435844860971,0.0036290762946009636,0.5037007927894592,1.1931827936742712,-0.09380370085521558,-0.00023732651927792822,-0.00017087746243488362,-0.00016219458070089706,,
dePablo CV1,test,0,15,0.13636363636363635,104,-0.42786124613345117,-0.5734598575106268,0.00203263433650136,0.002324128756299615,0.00013504148228093982,-0.0058002471923828125,-0.0005255956202745438,-0.0014420110965147614,-0.0017000236548483372,0.001970106502994895,-0.003670130157843232,-0.00014845884288661182,0.00041854180744849145,-0.0005670006503351033,0.0038957560900598764,0.5204973220825195,1.2099793229673315,-0.09177079831035173,-6.465307080632788e-05,-0.00019596310566733955,-0.0001366508924481165,,
dePablo CV1,test,0,16,0.14545454545454545,104,-0.4352734051367026,-0.5734598575106268,0.00221350509673357,0.0025252497289329767,0.00014629430370405316,-0.0062999725341796875,-0.000570878735743463,-0.001538760494440794,-0.0018544624326750636,0.00214705104008317,-0.004001513589173555,-0.00016176070494111627,0.00045434929779730737,-0.0006161099881865084,0.004163446836173534,0.5373708605766296,1.2268528614614416,-0.0897151052758578,0.00010394893812937326,-0.00021166642664213636,-0.00011000364425459318,,
dePablo CV1,test,0,17,0.15454545454545454,104,-0.4420652456459579,-0.5734598575106268,0.002397090895101428,0.002729380503296852,0.00015800374967511743,-0.0067996978759765625,-0.0006161619094200432,-0.0016355954576283693,-0.002011722419410944,0.0023277299478650093,-0.004339452367275953,-0.00017479177040513605,0.0004907992552034557,-0.000665591040160507,0.004431084264069796,0.5540664792060852,1.2435484800908971,-0.08762618413678877,0.00024813511295687597,-0.00022616112462223406,-9.350953935782295e-05,,
dePablo CV1,test,0,18,0.16363636363636364,104,-0.4484736922840927,-0.5734598575106268,0.002583506517112255,0.0029358291067183018,0.00016886267985682935,-0.0073108673095703125,-0.0006624820525757968,-0.0017324303044006228,-0.0021722400560975075,0.002509965328499675,-0.004682205617427826,-0.000188873935258016,0.0005265992949716747,-0.0007154732011258602,0.004699551500380039,0.5719968676567078,1.2614788685415197,-0.08551274456453874,0.00037994636635722834,-0.00024283215535274644,-6.527498270402197e-05,,
dePablo CV1,test,0,19,0.17272727272727273,104,-0.4545190267158929,-0.5734598575106268,0.0027707454282790422,0.003143921960145235,0.00018092073150910437,-0.007829666137695312,-0.0007094935863278806,-0.0018283250974491239,-0.002332147443667054,0.002693988848477602,-0.0050261365249753,-0.0002013613993767649,0.0005632028332911432,-0.0007645642617717385,0.0049680243246257305,0.5896190404891968,1.2791010413740087,-0.08338389516902732,0.0005099719695250629,-0.00024975589871453074,-4.91344065131132e-05,,
dePablo CV1,test,0,20,0.18181818181818182,104,-0.459887879373671,-0.5734598575106268,0.002959214150905609,0.00335283693857491,0.00019225348660256714,-0.008340835571289062,-0.0007558137294836342,-0.0019242198904976249,-0.0024938483256846666,0.0028783553279936314,-0.005372203886508942,-0.000214804254937917,0.0005993112572468817,-0.0008141155121847987,0.005236682947725058,0.607187032699585,1.296669033584397,-0.08124352686457756,0.0006107251967698527,-0.00025296568576708154,-3.2880708705373585e-05,,
dePablo CV1,test,0,21,0.19090909090909092,104,-0.46468577438864056,-0.5734598575106268,0.003149093594402075,0.003562942845746875,0.00020371872233226895,-0.008859634399414062,-0.000802825263235718,-0.0020218240097165108,-0.0026564260479062796,0.0030638633761554956,-0.005720289424061775,-0.0002283022622577846,0.0006357397069223225,-0.0008640419691801071,0.005505979526787996,0.6252619624137878,1.3147439632985998,-0.07909068055535917,0.000700481770293357,-0.0002531837412878374,-1.0616944777821935e-05,,
dePablo CV1,test,0,22,0.2,104,-0.4692064448125282,-0.5734598575106268,0.003340258728712797,0.003774764249101281,0.00021585728973150253,-0.009380340576171875,-0.0008500096155330539,-0.002117718802765012,-0.002820027293637395,0.0032517416402697563,-0.006071768701076508,-0.0002409788576187566,0.0006726934225298464,-0.0009136722655966878,0.005775870755314827,0.6432725191116333,1.3327545199964452,-0.07692192813810869,0.0007924630323542723,-0.00025458356561205417,8.021911833996074e-06,,
dePablo CV1,test,0,23,0.20909090909090908,104,-0.47348839442164137,-0.5734598575106268,0.003532733768224716,0.0039880224503576756,0.0002273759600939229,-0.009900093078613281,-0.0008971075294539332,-0.002214553765952587,-0.002985005732625723,0.00343975774012506,-0.006424763239920139,-0.00025571597507223487,0.0007104678661562502,-0.0009661838412284851,0.006045880727469921,0.6618325710296631,1.351314571914475,-0.07473822985341587,0.0008735650949219704,-0.0002582751731030453,2.0469286752582762e-05,,
