dataset,target,predictors,r2_eval_by_trajectory_split,mse_eval_by_trajectory_split
dePablo CV2,delta_p_ratio,z0 only,0.058812219542648037,6.946337255777408e-05
dePablo CV2,delta_p_ratio,z0 + z1 residual,0.08871211995639372,6.72566419084757e-05
