edge_i,edge_j,stiffness,grad,contribution,abs_contribution,dataset,sim_idx,final_p_ratio,target,target_value,stiffness_percentile,abs_contribution_percentile,stiffness_zscore_within_sim
0,1,0.7320001125335693,-0.022292017936706543,-0.00570754474028945,0.00570754474028945,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.36451612903225805,0.9419354838709677,0.2613760941865099
0,10,0.0010334729449823499,-0.009862208738923073,0.004683871287852526,0.004683871287852526,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.05806451612903226,0.8774193548387097,-1.62165814211337
0,11,0.7149146199226379,-0.00955707672983408,-0.0022836620919406414,0.0022836620919406414,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.33548387096774196,0.41935483870967744,0.21736236525827832
0,20,0.0004779860028065741,-0.005915159359574318,0.0028125799726694822,0.0028125799726694822,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.00967741935483871,0.5967741935483871,-1.6230891252434938
0,97,0.7216390371322632,-0.006657649762928486,-0.0016356133855879307,0.0016356133855879307,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.34838709677419355,0.1870967741935484,0.2346850543375162
0,98,0.6889587640762329,-0.003802295308560133,-0.0008098661201074719,0.0008098661201074719,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.3,0.02258064516129032,0.15049780189222098
1,2,0.0013313479721546173,-0.021651580929756165,0.010276563465595245,0.010276563465595245,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.10967741935483871,0.9935483870967742,-1.6208907898924536
1,3,2.7395000870455988e-05,-0.01081532146781683,0.005147415678948164,0.005147415678948164,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.0032258064516129032,0.9258064516129032,-1.6242498872225795
1,11,0.7110970616340637,-0.00955707672983408,-0.00224717753008008,0.00224717753008008,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.3225806451612903,0.4064516129032258,0.20752799995741916
1,12,0.9262149333953857,-0.011370891705155373,-0.005119746085256338,0.005119746085256338,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.8258064516129032,0.9225806451612903,0.761690523153452
1,98,0.7710743546485901,-0.003802295308560133,-0.0011220938758924603,0.0011220938758924603,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.43870967741935485,0.06129032258064516,0.3620347722644411
2,3,0.0029321229085326195,-0.01081532146781683,0.005115999840199947,0.005115999840199947,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.22580645161290322,0.9193548387096774,-1.6167670531217755
2,98,0.8538045287132263,-0.003802295308560133,-0.0014366584364324808,0.0014366584364324808,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.6612903225806451,0.13548387096774195,0.5751549636680308
2,99,0.8846136331558228,-0.003938956186175346,-0.0016096499748528004,0.0016096499748528004,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.7451612903225806,0.16774193548387098,0.6545219214922626
2,100,1.1486177444458008,-0.005212906748056412,-0.0035064772237092257,0.0035064772237092257,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.9838709677419355,0.7709677419354839,1.3346196895145535
3,4,0.8365957140922546,-0.023775890469551086,-0.008574321866035461,0.008574321866035461,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.6064516129032258,0.9806451612903225,0.5308235464153007
3,13,1.1689866781234741,-0.007612152025103569,-0.005275387782603502,0.005275387782603502,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.9935483870967742,0.932258064516129,1.387091850889207
3,100,1.0419787168502808,-0.005212906748056412,-0.002950577763840556,0.002950577763840556,Reid CV1,43,-0.45901086920611844,initial_z0,-3.3105969429016113,0.9451612903225807,0.6290322580645161,1.0599081924192664
