relationship,pearson_r,r2,n
initial z0 -> final p-ratio,-0.9887035190879981,0.9775346486569915,99
initial z0 -> stiffness_std,0.9072094651456161,0.8230290136497947,99
stiffness_std -> final p-ratio,-0.9321767203214704,0.8689534379092928,99
initial z0 -> stiffness_mean,-0.7822963680948012,0.6119876075343167,99
stiffness_mean -> final p-ratio,0.7246652255867858,0.5251396891747472,99
initial z0 -> node_stiffness_mean,-0.7739931690720528,0.5990654257701994,99
node_stiffness_mean -> final p-ratio,0.7168360389694916,0.5138539067654704,99
initial z0 -> vertical_stiffness,-0.4948768293410034,0.2449030762186046,99
vertical_stiffness -> final p-ratio,0.4605033581983267,0.2120633429119364,99
