dataset,signal,source,fit_split,eval_split,val_corr_final_p_ratio,val_r2_final_p_ratio,corr_final_p_ratio,r2_final_p_ratio,abs_val_corr_final_p_ratio
Reid CV1,initial_z0,single_latent_val_selected,val,test,0.6925890523984285,0.4796795955021529,0.8233777234678448,0.6600721969431756,0.6925890523984285
Reid CV1,initial_z_linear_p_ratio,val_linear_combo,val,test,0.6925890523984285,0.4796795955021529,0.8233777234678448,0.6600721969431756,0.6925890523984285
Reid CV2,initial_z0,single_latent_val_selected,val,test,0.7678729057783977,0.5896287994285594,0.8634245233852476,0.7137233438039803,0.7678729057783977
Reid CV2,initial_z1,single_latent_val_selected,val,test,0.7675550481126973,0.5891407518832852,0.8608125770017394,0.7116336708223275,0.7675550481126973
Reid CV2,initial_z_linear_p_ratio,val_linear_combo,val,test,0.7679498584947815,0.5897469851621552,0.8626748120181554,0.713071921119795,0.7679498584947815
