dataset,axis,primary_target,primary_corr,weight_z0,weight_z1,corr_final_p_ratio,corr_p_ratio,corr_x_compression,corr_horizontal_strain,corr_trajectory_progress,weight_z2
Reid CV2,axis_p_ratio,final_p_ratio,0.4134118007348916,0.7034275322448111,0.7107669849394914,0.4134118007348916,0.479489245670679,-0.6474382644626199,0.6474382644626199,-0.6831220128933647,
Reid CV2,axis_x_compression,x_compression,0.7444079476049195,0.710766984939485,-0.7034275322448176,-0.40257087660841534,-0.4710930136653398,0.7444079476049195,-0.7444079476049195,0.7760214352036439,
Reid CV3,axis_p_ratio,final_p_ratio,0.3825470491658575,0.5470509672859479,0.24504204841417074,0.3825470491658575,0.42891408996295355,-0.4534789968878137,0.4534789968878137,-0.47506786340272505,-0.8004309050133532
Reid CV3,axis_x_compression,x_compression,0.5114967511960917,0.6093546740860798,-0.7721804657107587,-0.36984905133152723,-0.4183926309437939,0.5114967511960917,-0.5114967511960917,0.5210308799595166,0.1800672361762772
