dataset,sim_idx,final_p_ratio,mean_frame_p_ratio,final_frame_p_ratio,initial_z0,mean_z0,final_z0,slope_z0,initial_pc1,mean_pc1,final_pc1,slope_pc1,initial_z1,mean_z1,final_z1,slope_z1,initial_pc2,mean_pc2,final_pc2,slope_pc2,initial_z_linear_p_ratio
Reid CV2,3,0.26937916888526336,0.2696307024204745,0.2694169776675135,3.6345226764678955,8.743329272270202,14.017041206359863,10.382518529891968,-9.609173480973327,-3.121039480642541,3.577246216006123,13.18641969697945,2.9756686687469482,6.975171446800232,11.104948043823242,8.129279375076294,-0.012419825477034603,-0.005749089330476481,0.0020631543024125284,0.014482979779447132,4.64259329681175
Reid CV2,4,-0.33039033700227455,-0.298878124499973,-0.3300850834736436,3.273790121078491,13.317523739337922,24.599945068359375,21.326154947280884,-10.054915301736267,2.6907012060163464,17.004011070423154,27.05892637215942,2.713381767272949,10.560301892757415,19.36812973022461,16.65474796295166,0.002962775913501291,0.003499051875344209,-0.0012952671622078122,-0.0042580430757091035,4.198612279047634
Reid CV2,5,0.1606833051492441,0.1648045997097924,0.16076724411819732,3.391774892807007,8.874044823646546,14.470587730407715,11.078812837600708,-9.914345210165505,-2.949471581397118,4.160454831474039,14.074800041639545,2.7906908988952637,7.086536207199097,11.471723556518555,8.681032657623291,-0.00874865217252622,0.0015393384032739033,0.011883390185291826,0.020632042357818046,4.339515405082607
Reid CV2,6,-0.1963377719651293,-0.1977382333436658,-0.1966439364952906,3.1594860553741455,12.331190893650055,22.84939193725586,19.689905881881714,-10.200443528735109,1.4397721410701545,14.781376844905987,24.981820373641096,2.623307228088379,9.790904829502105,17.998579025268555,15.375271797180176,0.0023486159752732307,0.004392305179538711,-0.002875716988770401,-0.005224332964043631,4.054388763812073
Reid CV2,7,0.22590702007093752,0.2269955684439933,0.22595865528613085,3.787504196166992,9.053748853206635,14.421911239624023,10.634407043457031,-9.417345595771218,-2.7294452842856574,4.088043743341168,13.505389339112387,3.0914411544799805,7.213906676769256,11.416410446166992,8.324969291687012,-0.01536537824972638,-0.008717529445902513,-0.0017392104178487271,0.013626167831877652,4.833187615322145
Reid CV2,8,-0.06480931009694779,-0.0491207260612971,-0.06455109330627742,3.36210560798645,10.792190539836884,19.03666114807129,15.674555540084839,-9.94915423309097,-0.5199555264980892,9.940070813907438,19.88922504699841,2.7721269130706787,8.57760939359665,15.015067100524902,12.242940187454224,-0.0051127266461742605,-0.004289445428024532,-0.006798738863544087,-0.0016860122173698268,4.304528630128336
Reid CV2,9,0.18341754005038485,0.1838043213377752,0.1834069656711991,3.3667657375335693,9.07626284122467,14.899267196655273,11.532501459121704,-9.947541129109215,-2.696277899581814,4.698390198932356,14.64593132804157,2.768781900405884,7.2389633131027225,11.79679012298584,9.028008222579956,-0.010617616533140565,-0.0028320156424083585,0.004144019758315885,0.01476163629145645,4.306840965609248
Reid CV2,10,0.3524800528535854,0.35122908195413305,0.3524881488095906,3.8976824283599854,8.912484481334687,14.096941947937012,10.199259519577026,-9.284554680264375,-2.9158205250947407,3.669119076904929,12.953673757169303,3.166106939315796,7.091992537975312,11.151905059814453,7.985798120498657,-0.024353983991211473,-0.017825197182563396,-0.010121560944392576,0.014232423046818897,4.966024487035413
Reid CV2,11,-0.04889763898242052,-0.03668330610678045,-0.04872480718962952,3.319197177886963,10.325833427906037,17.91324234008789,14.594045162200928,-10.002163333624408,-1.1045304498436137,8.528813383622097,18.530976717246503,2.7409462928771973,8.225012936592101,14.160717010498047,11.41977071762085,-0.003268896423878345,0.004950486185037965,0.01154137902474909,0.014810275448627435,4.251727055163617
Reid CV2,12,-0.15348441061065293,-0.13642849330912024,-0.1532408511021847,3.120900869369507,13.39920198917389,26.14949607849121,23.028595209121704,-10.246587107236545,2.7948189372818626,18.965666287122946,29.212253394359493,2.5977447032928467,10.624873776435852,20.5710506439209,17.97330594062805,0.005958244213260602,0.00410129283207256,-0.0072842907049252715,-0.013242534918185873,4.008166262806208
