sim_idx,frame,p_ratio,next_p_ratio,delta_p_ratio,final_p_ratio,z0_cv1,z0_cv2,z1_cv2,row_id,pred_next_p_ratio_cv1,pred_delta_p_ratio_cv1,p_ratio_error_cv1,abs_p_ratio_error_cv1,pos_mse_next_cv1,pred_next_p_ratio_cv2,pred_delta_p_ratio_cv2,p_ratio_error_cv2,abs_p_ratio_error_cv2,pos_mse_next_cv2,pair_id,side,z0_gap_cv1_pair,true_delta_p_ratio_gap_pair,current_p_ratio_gap_pair
67.0,1.0,0.021750951604132682,-0.10762942779291552,-0.12938037939704822,-0.5734598575106268,-1.1532914638519287,-2.319725751876831,-0.5853084325790405,10173.0,-0.08346125169948687,-0.10521220330361955,0.024168176093428653,0.024168176093428653,5.155337021278683e-06,-0.36980926430517713,-0.39156021590930984,-0.2621798365122616,0.2621798365122616,7.346505299210548e-06,0,A,0.001132369041442871,0.12940867530710265,0.15871863657776053
29.0,26.0,0.1804695881818932,0.18049788409194764,2.8295910054432216e-05,0.17662705918596525,-1.1521590948104858,0.5047662258148193,-1.5853147506713867,4544.0,0.12834118294696922,-0.052128405234923986,-0.05215670114497842,0.05215670114497842,5.9506392062758096e-06,0.2292955388981879,0.0488259507162947,0.048797654806240265,0.048797654806240265,1.0239548373647267e-06,0,B,0.001132369041442871,0.12940867530710265,0.15871863657776053
68.0,1.0,0.13749338974087785,0.01455026455026455,-0.1229431251906133,-0.481852099538911,-0.8613985776901245,-2.3901631832122803,-0.6820747256278992,10282.0,-0.0989672264310462,-0.23646061617192404,-0.11351749098131075,0.11351749098131075,3.6736488254973665e-05,-0.3586264402668284,-0.4961198300077062,-0.3731767048170929,0.3731767048170929,1.4749633010069374e-05,1,A,0.00031250715255737305,0.12292861007113016,0.216921061243494
37.0,79.0,0.35441445098437185,0.3543999358648887,-1.4515119483138328e-05,0.35413357644997473,-0.8610860705375671,1.7200137376785278,-0.4114019274711609,5736.0,0.24636320976067574,-0.10805124122369611,-0.10803672610421297,0.10803672610421297,2.7979398510069586e-05,0.3422194940149954,-0.012194956969376447,-0.012180441849893309,0.012180441849893309,7.305340204766253e-06,1,B,0.00031250715255737305,0.12292861007113016,0.216921061243494
7.0,7.0,0.17911377618565533,0.17845209682918514,-0.000661679356470185,0.16176244715164548,-1.5829132795333862,0.22310268878936768,-1.9732584953308105,1054.0,0.08777877840758595,-0.09133499777806937,-0.09067331842159919,0.09067331842159919,1.2734799383906648e-06,0.26925895168775343,0.09014517550209811,0.09080685485856829,0.09080685485856829,5.679917194356676e-07,2,A,0.0014069080352783203,0.12206704131068111,0.10162686519089092
63.0,1.0,0.0774869109947644,-0.0452418096723869,-0.12272872066715129,-0.5381298285827363,-1.581506371498108,-2.212040424346924,-0.507394015789032,9659.0,-0.23468984591070724,-0.31217675690547164,-0.18944803623832035,0.18944803623832035,1.4582032008547685e-06,-0.40144969404102215,-0.47893660503578656,-0.35620788436863526,0.35620788436863526,1.5272129530785605e-05,2,B,0.0014069080352783203,0.12206704131068111,0.10162686519089092
21.0,1.0,0.060767590618336885,-0.04572192513368984,-0.10648951575202673,-0.4346220503932809,-1.5112015008926392,-2.000098705291748,-0.7099669575691223,3215.0,-0.15084772619236253,-0.21161531681069942,-0.1051258010586727,0.1051258010586727,1.4345725958264666e-06,-0.3685243042941219,-0.4292918949124588,-0.3228023791604321,0.3228023791604321,7.335673217312433e-06,3,A,0.0003178119659423828,0.10812838802789762,0.2882802186771752
34.0,4.0,0.34904780929551205,0.35068668157138294,0.0016388722758708951,0.3629131029241631,-1.5108836889266968,0.7439659237861633,-2.25321888923645,5230.0,0.1706879723993917,-0.17835983689612034,-0.17999870917199123,0.17999870917199123,1.3106413462082855e-05,0.3356832794804008,-0.01336452981511127,-0.015003402090982165,0.015003402090982165,5.427010819403222e-06,3,B,0.0003178119659423828,0.10812838802789762,0.2882802186771752
68.0,2.0,0.01455026455026455,-0.09060402684563758,-0.10515429139590213,-0.481852099538911,-0.848091721534729,-2.3844828605651855,-0.666520893573761,10283.0,-0.09800351173831047,-0.11255377628857502,-0.007399484892672892,0.007399484892672892,3.6020035622641444e-05,-0.3601702211398913,-0.3747204856901558,-0.2695661942942537,0.2695661942942537,1.418140163877979e-05,4,A,0.000516057014465332,0.105175016516696,0.3294912288088804
26.0,117.0,0.3440414933591449,0.3440622184799388,2.072512079387412e-05,0.3437884787174968,-0.8475756645202637,1.9645880460739136,0.18599484860897064,4100.0,0.20371290157715535,-0.14032859178198956,-0.14034931690278343,0.14034931690278343,0.00011307475506328046,0.2920522472595458,-0.051989246099599096,-0.05200997122039297,0.05200997122039297,1.0342898349335883e-05,4,B,0.000516057014465332,0.105175016516696,0.3294912288088804
13.0,13.0,0.13581287112822982,0.1356134272195522,-0.00019944390867762674,0.12600592325434534,-1.4810317754745483,0.16277645528316498,-1.7428197860717773,2007.0,0.024035820239534118,-0.1117770508886957,-0.11157760698001808,0.11157760698001808,2.4112514438456856e-06,0.18464657147893532,0.0488337003507055,0.04903314425938313,0.04903314425938313,7.42185818580765e-07,5,A,0.0011408329010009766,0.10330516491529566,0.0815240546244296
66.0,1.0,0.05428881650380022,-0.04921579232017307,-0.10350460882397329,-0.4425836976874488,-1.4798909425735474,-2.0529966354370117,-0.9060220718383789,10060.0,-0.15889164598842018,-0.2131804624922204,-0.10967585366824711,0.10967585366824711,1.4573245152860181e-06,-0.3419358648792299,-0.39622468138303013,-0.2927200725590568,0.2927200725590568,2.0966447209502803e-06,5,B,0.0011408329010009766,0.10330516491529566,0.0815240546244296
