signal,x_compression,y_compression,frame_p_ratio,dataset
z0,-0.8253805751379862,-0.49999846279992155,0.4790488572306374,Reid CV1
z1,,,,Reid CV1
pc1,-0.8253805751379862,-0.4999984627999216,0.4790488572306374,Reid CV1
pc2,,,,Reid CV1
z0,0.8556632120179801,0.44501928828234827,-0.4040527098057537,Reid CV2
z1,0.8558452431392708,0.44579297570341825,-0.40529828935263656,Reid CV2
pc1,0.8557331640725668,0.4453130112845477,-0.4045252319361813,Reid CV2
pc2,0.05916381856580609,0.2502693468295721,-0.3985793517596195,Reid CV2
