dataset,signal,corr_z0,corr_z1,corr_z1_residual_from_z0
dePablo CV2,p_ratio,-0.9769482632535303,-0.0969896295993823,-0.02440437584620245
dePablo CV2,frame_frac,0.037692750754258625,0.9425236812357236,0.9423142356228245
dePablo CV2,final_p_ratio,-0.9902064705669575,-0.031435004929936575,0.04183827851836199
