dataset,split,sim_idx,frame,frame_frac,p_ratio,final_p_ratio,z0,dz0,z_next0,z1,dz1,z_next1
dePablo CV1,train,0,0,0.0,,-0.4807224091848549,-2.750088691711426,0.04372811317443848,-2.7063605785369873,,,
dePablo CV1,train,0,1,0.010101010101010102,0.14456521739130435,-0.4807224091848549,-2.7063605785369873,0.03448176383972168,-2.6718788146972656,,,
dePablo CV1,train,0,2,0.020202020202020204,0.049198151671649905,-0.4807224091848549,-2.6718788146972656,0.03258705139160156,-2.639291763305664,,,
dePablo CV1,train,0,3,0.030303030303030304,-0.043256997455470736,-0.4807224091848549,-2.639292001724243,0.02945685386657715,-2.609835147857666,,,
dePablo CV1,train,0,4,0.04040404040404041,-0.10947109471094711,-0.4807224091848549,-2.609835147857666,0.027034521102905273,-2.5828006267547607,,,
dePablo CV1,train,0,5,0.050505050505050504,-0.15971538040503558,-0.4807224091848549,-2.5828003883361816,0.02618408203125,-2.5566163063049316,,,
dePablo CV1,train,0,6,0.06060606060606061,-0.19484790353521514,-0.4807224091848549,-2.5566163063049316,0.026637554168701172,-2.5299787521362305,,,
dePablo CV1,train,0,7,0.0707070707070707,-0.22321498550043106,-0.4807224091848549,-2.5299789905548096,0.0254209041595459,-2.5045580863952637,,,
dePablo CV1,train,0,8,0.08080808080808081,-0.24606934431857191,-0.4807224091848549,-2.5045580863952637,0.025170087814331055,-2.4793879985809326,,,
dePablo CV1,train,0,9,0.09090909090909091,-0.264,-0.4807224091848549,-2.4793879985809326,0.02469778060913086,-2.4546902179718018,,,
dePablo CV1,train,0,10,0.10101010101010101,-0.2799691918358365,-0.4807224091848549,-2.4546899795532227,0.024026870727539062,-2.4306631088256836,,,
dePablo CV1,train,0,11,0.1111111111111111,-0.29319921933643595,-0.4807224091848549,-2.4306631088256836,0.024776458740234375,-2.405886650085449,,,
dePablo CV1,train,0,12,0.12121212121212122,-0.3051080820597549,-0.4807224091848549,-2.405886650085449,0.023286104202270508,-2.3826005458831787,,,
dePablo CV1,train,0,13,0.13131313131313133,-0.3147119908447421,-0.4807224091848549,-2.3826003074645996,0.02492523193359375,-2.357675075531006,,,
dePablo CV1,train,0,14,0.1414141414141414,-0.32453929752716965,-0.4807224091848549,-2.357675075531006,0.023185253143310547,-2.3344898223876953,,,
dePablo CV1,train,0,15,0.15151515151515152,-0.33252462873106897,-0.4807224091848549,-2.3344898223876953,0.023537158966064453,-2.310952663421631,,,
dePablo CV1,train,0,16,0.16161616161616163,-0.3401585660117201,-0.4807224091848549,-2.3109524250030518,0.02279520034790039,-2.2881572246551514,,,
dePablo CV1,train,0,17,0.1717171717171717,-0.3468990361211177,-0.4807224091848549,-2.2881572246551514,0.023452043533325195,-2.264705181121826,,,
dePablo CV1,train,0,18,0.18181818181818182,-0.35302412556328744,-0.4807224091848549,-2.264705181121826,0.02304983139038086,-2.2416553497314453,,,
dePablo CV1,train,0,19,0.1919191919191919,-0.35881942830583313,-0.4807224091848549,-2.2416553497314453,0.023126602172851562,-2.2185287475585938,,,
dePablo CV1,train,0,20,0.20202020202020202,-0.36364890974330666,-0.4807224091848549,-2.218528985977173,0.023285865783691406,-2.1952431201934814,,,
dePablo CV1,train,0,21,0.21212121212121213,-0.36874901404006943,-0.4807224091848549,-2.1952431201934814,0.02206110954284668,-2.1731820106506348,,,
dePablo CV1,train,0,22,0.2222222222222222,-0.373111099954817,-0.4807224091848549,-2.1731820106506348,0.023525238037109375,-2.1496567726135254,,,
dePablo CV1,train,0,23,0.23232323232323232,-0.3774944168287587,-0.4807224091848549,-2.1496567726135254,0.0220181941986084,-2.127638578414917,,,
dePablo CV1,train,0,24,0.24242424242424243,-0.3812197928653625,-0.4807224091848549,-2.127638578414917,0.023305177688598633,-2.1043334007263184,,,
dePablo CV1,train,0,25,0.25252525252525254,-0.3848873177198409,-0.4807224091848549,-2.1043338775634766,0.02156686782836914,-2.0827670097351074,,,
dePablo CV1,train,0,26,0.26262626262626265,-0.38826679132227016,-0.4807224091848549,-2.0827670097351074,0.023082733154296875,-2.0596842765808105,,,
dePablo CV1,train,0,27,0.2727272727272727,-0.39141910139945985,-0.4807224091848549,-2.0596842765808105,0.022859573364257812,-2.0368247032165527,,,
dePablo CV1,train,0,28,0.2828282828282828,-0.39434174443151104,-0.4807224091848549,-2.0368247032165527,0.022112131118774414,-2.0147125720977783,,,
dePablo CV1,train,0,29,0.29292929292929293,-0.3971655523172753,-0.4807224091848549,-2.0147125720977783,0.02253425121307373,-1.9921783208847046,,,
dePablo CV1,train,0,30,0.30303030303030304,-0.4001104972375691,-0.4807224091848549,-1.9921783208847046,0.022301316261291504,-1.969877004623413,,,
dePablo CV1,train,0,31,0.31313131313131315,-0.4023097075439753,-0.4807224091848549,-1.969877004623413,0.022359013557434082,-1.947517991065979,,,
dePablo CV1,train,0,32,0.32323232323232326,-0.4047890339064982,-0.4807224091848549,-1.947518229484558,0.02260267734527588,-1.9249155521392822,,,
dePablo CV1,train,0,33,0.3333333333333333,-0.40685059934373535,-0.4807224091848549,-1.9249155521392822,0.023388266563415527,-1.9015272855758667,,,
dePablo CV1,train,0,34,0.3434343434343434,-0.4091743715571733,-0.4807224091848549,-1.9015272855758667,0.020899653434753418,-1.8806276321411133,,,
dePablo CV1,train,0,35,0.35353535353535354,-0.41113233460148074,-0.4807224091848549,-1.8806276321411133,0.022513151168823242,-1.85811448097229,,,
dePablo CV1,train,0,36,0.36363636363636365,-0.4131008656148321,-0.4807224091848549,-1.85811448097229,0.022531867027282715,-1.8355826139450073,,,
dePablo CV1,train,0,37,0.37373737373737376,-0.4149517636868672,-0.4807224091848549,-1.8355826139450073,0.021671175956726074,-1.8139114379882812,,,
dePablo CV1,train,0,38,0.3838383838383838,-0.4167345276872964,-0.4807224091848549,-1.8139114379882812,0.02272665500640869,-1.7911847829818726,,,
dePablo CV1,train,0,39,0.3939393939393939,-0.41854270858422,-0.4807224091848549,-1.7911847829818726,0.021817684173583984,-1.7693670988082886,,,
dePablo CV1,train,0,40,0.40404040404040403,-0.42006022764946405,-0.4807224091848549,-1.7693670988082886,0.02211737632751465,-1.747249722480774,,,
dePablo CV1,train,0,41,0.41414141414141414,-0.42171223739000363,-0.4807224091848549,-1.747249722480774,0.02156352996826172,-1.7256861925125122,,,
dePablo CV1,train,0,42,0.42424242424242425,-0.423010642356315,-0.4807224091848549,-1.7256863117218018,0.022287368774414062,-1.7033989429473877,,,
dePablo CV1,train,0,43,0.43434343434343436,-0.42460490813311064,-0.4807224091848549,-1.7033989429473877,0.021503925323486328,-1.6818950176239014,,,
dePablo CV1,train,0,44,0.4444444444444444,-0.4259059290324201,-0.4807224091848549,-1.6818950176239014,0.02305316925048828,-1.658841848373413,,,
dePablo CV1,train,0,45,0.45454545454545453,-0.4273068801257182,-0.4807224091848549,-1.6588417291641235,0.021378636360168457,-1.637463092803955,,,
dePablo CV1,train,0,46,0.46464646464646464,-0.42856971283763495,-0.4807224091848549,-1.637463092803955,0.02222609519958496,-1.6152369976043701,,,
dePablo CV1,train,0,47,0.47474747474747475,-0.42980394000658234,-0.4807224091848549,-1.6152369976043701,0.021831274032592773,-1.5934057235717773,,,
dePablo CV1,train,0,48,0.48484848484848486,-0.43100154225076537,-0.4807224091848549,-1.5934057235717773,0.022456884384155273,-1.570948839187622,,,
dePablo CV1,train,0,49,0.494949494949495,-0.43212924755913323,-0.4807224091848549,-1.570948839187622,0.02186119556427002,-1.549087643623352,,,
dePablo CV1,train,0,50,0.5050505050505051,-0.4333727392250666,-0.4807224091848549,-1.549087643623352,0.02111649513244629,-1.5279711484909058,,,
dePablo CV1,train,0,51,0.5151515151515151,-0.4343074390191066,-0.4807224091848549,-1.5279711484909058,0.02244746685028076,-1.505523681640625,,,
dePablo CV1,train,0,52,0.5252525252525253,-0.43547770294673777,-0.4807224091848549,-1.505523681640625,0.021759629249572754,-1.4837640523910522,,,
dePablo CV1,train,0,53,0.5353535353535354,-0.43644474090132157,-0.4807224091848549,-1.4837640523910522,0.021926164627075195,-1.461837887763977,,,
dePablo CV1,train,0,54,0.5454545454545454,-0.43742520176344835,-0.4807224091848549,-1.461837887763977,0.02174973487854004,-1.440088152885437,,,
dePablo CV1,train,0,55,0.5555555555555556,-0.4384044508269982,-0.4807224091848549,-1.440088152885437,0.02217721939086914,-1.4179109334945679,,,
dePablo CV1,train,0,56,0.5656565656565656,-0.43936046396938433,-0.4807224091848549,-1.4179109334945679,0.02151334285736084,-1.396397590637207,,,
dePablo CV1,train,0,57,0.5757575757575758,-0.44035505940267844,-0.4807224091848549,-1.3963977098464966,0.02107059955596924,-1.3753271102905273,,,
dePablo CV1,train,0,58,0.5858585858585859,-0.4411168141087294,-0.4807224091848549,-1.3753271102905273,0.022212505340576172,-1.3531146049499512,,,
dePablo CV1,train,0,59,0.5959595959595959,-0.44212802606204715,-0.4807224091848549,-1.3531146049499512,0.02202010154724121,-1.33109450340271,,,
dePablo CV1,train,0,60,0.6060606060606061,-0.4427619345692877,-0.4807224091848549,-1.3310946226119995,0.021693825721740723,-1.3094007968902588,,,
dePablo CV1,train,0,61,0.6161616161616161,-0.44362256907978126,-0.4807224091848549,-1.3094007968902588,0.02149069309234619,-1.2879101037979126,,,
dePablo CV1,train,0,62,0.6262626262626263,-0.4443306223888973,-0.4807224091848549,-1.2879101037979126,0.022281646728515625,-1.265628457069397,,,
dePablo CV1,train,0,63,0.6363636363636364,-0.4451798409790222,-0.4807224091848549,-1.2656285762786865,0.02134096622467041,-1.2442876100540161,,,
dePablo CV1,train,0,64,0.6464646464646465,-0.44583948156393727,-0.4807224091848549,-1.2442876100540161,0.022269010543823242,-1.2220185995101929,,,
dePablo CV1,train,0,65,0.6565656565656566,-0.4465326513619603,-0.4807224091848549,-1.2220185995101929,0.02108621597290039,-1.2009323835372925,,,
dePablo CV1,train,0,66,0.6666666666666666,-0.4473116120287163,-0.4807224091848549,-1.2009323835372925,0.021295785903930664,-1.1796365976333618,,,
dePablo CV1,train,0,67,0.6767676767676768,-0.44795384298372143,-0.4807224091848549,-1.1796365976333618,0.022166728973388672,-1.1574698686599731,,,
dePablo CV1,train,0,68,0.6868686868686869,-0.4487306511605243,-0.4807224091848549,-1.1574698686599731,0.02075183391571045,-1.1367180347442627,,,
dePablo CV1,train,0,69,0.696969696969697,-0.44932013349232897,-0.4807224091848549,-1.1367181539535522,0.022131919860839844,-1.1145862340927124,,,
dePablo CV1,train,0,70,0.7070707070707071,-0.45013056066140217,-0.4807224091848549,-1.1145862340927124,0.02130603790283203,-1.0932801961898804,,,
dePablo CV1,train,0,71,0.7171717171717171,-0.45067782504880494,-0.4807224091848549,-1.0932801961898804,0.021783828735351562,-1.0714963674545288,,,
dePablo CV1,train,0,72,0.7272727272727273,-0.4513659861023761,-0.4807224091848549,-1.0714963674545288,0.02231144905090332,-1.0491849184036255,,,
dePablo CV1,train,0,73,0.7373737373737373,-0.4519467158861396,-0.4807224091848549,-1.0491849184036255,0.020769238471984863,-1.0284156799316406,,,
dePablo CV1,train,0,74,0.7474747474747475,-0.45252663940542637,-0.4807224091848549,-1.0284157991409302,0.02210080623626709,-1.006314992904663,,,
dePablo CV1,train,0,75,0.7575757575757576,-0.45311315128803553,-0.4807224091848549,-1.006314992904663,0.02069002389907837,-0.9856249690055847,,,
dePablo CV1,train,0,76,0.7676767676767676,-0.4536062250702936,-0.4807224091848549,-0.9856250882148743,0.0221865177154541,-0.9634385704994202,,,
dePablo CV1,train,0,77,0.7777777777777778,-0.45428534549522415,-0.4807224091848549,-0.9634385704994202,0.020749270915985107,-0.9426892995834351,,,
dePablo CV1,train,0,78,0.7878787878787878,-0.45472821355003573,-0.4807224091848549,-0.9426893591880798,0.022175967693328857,-0.920513391494751,,,
dePablo CV1,train,0,79,0.797979797979798,-0.4553638199875593,-0.4807224091848549,-0.920513391494751,0.020805180072784424,-0.8997082114219666,,,
dePablo CV1,train,0,80,0.8080808080808081,-0.45577893262110325,-0.4807224091848549,-0.8997083306312561,0.02141934633255005,-0.878288984298706,,,
dePablo CV1,train,0,81,0.8181818181818182,-0.4564162338282006,-0.4807224091848549,-0.878288984298706,0.02139824628829956,-0.8568907380104065,,,
dePablo CV1,train,0,82,0.8282828282828283,-0.4569033430966569,-0.4807224091848549,-0.8568906188011169,0.021695375442504883,-0.8351952433586121,,,
dePablo CV1,train,0,83,0.8383838383838383,-0.45731808717979416,-0.4807224091848549,-0.8351951241493225,0.022107183933258057,-0.8130879402160645,,,
dePablo CV1,train,0,84,0.8484848484848485,-0.4578359974760753,-0.4807224091848549,-0.8130879402160645,0.020153701305389404,-0.792934238910675,,,
dePablo CV1,train,0,85,0.8585858585858586,-0.45828678323676897,-0.4807224091848549,-0.7929341197013855,0.022816777229309082,-0.7701173424720764,,,
dePablo CV1,train,0,86,0.8686868686868687,-0.4588094810097327,-0.4807224091848549,-0.7701173424720764,0.020030975341796875,-0.7500863671302795,,,
dePablo CV1,train,0,87,0.8787878787878788,-0.4592495288137529,-0.4807224091848549,-0.7500863671302795,0.02147763967514038,-0.7286087274551392,,,
dePablo CV1,train,0,88,0.8888888888888888,-0.4598131661992685,-0.4807224091848549,-0.7286087870597839,0.02106577157974243,-0.7075430154800415,,,
