dataset,latent_dim,split,sim_idx,frame,frame_frac,p_ratio,final_p_ratio,z0,pc1,z1,pc2
Reid CV1,1,test,0,0,0.0,,0.2238599590476573,-2.982048273086548,2.834318385408886,,
Reid CV1,1,test,0,15,0.010101010101010102,0.22795908426692646,0.2238599590476573,-3.019043207168579,2.7973234513268546,,
Reid CV1,1,test,0,30,0.020202020202020204,0.22712959224868792,0.2238599590476573,-3.05551815032959,2.760848508165844,,
Reid CV1,1,test,0,45,0.030303030303030304,0.22674762237386492,0.2238599590476573,-3.0919604301452637,2.72440622835017,,
Reid CV1,1,test,0,60,0.04040404040404041,0.22676220764059418,0.2238599590476573,-3.1282763481140137,2.68809031038142,,
Reid CV1,1,test,0,75,0.050505050505050504,0.2266276188330705,0.2238599590476573,-3.1646435260772705,2.651723132418163,,
Reid CV1,1,test,0,90,0.06060606060606061,0.2266209225656008,0.2238599590476573,-3.200944662094116,2.6154219964013175,,
Reid CV1,1,test,0,105,0.0707070707070707,0.22664431379753813,0.2238599590476573,-3.2372775077819824,2.5790891507134512,,
Reid CV1,1,test,0,120,0.08080808080808081,0.2266481860913583,0.2238599590476573,-3.2736854553222656,2.542681203173168,,
Reid CV1,1,test,0,135,0.09090909090909091,0.22657407572701144,0.2238599590476573,-3.3100664615631104,2.5063001969323233,,
Reid CV1,1,test,0,150,0.10101010101010101,0.2264738955823293,0.2238599590476573,-3.3464913368225098,2.469875321672924,,
Reid CV1,1,test,0,165,0.1111111111111111,0.22647295028108344,0.2238599590476573,-3.3828585147857666,2.433508143709667,,
Reid CV1,1,test,0,180,0.12121212121212122,0.2264618102490665,0.2238599590476573,-3.4192984104156494,2.3970682480797842,,
Reid CV1,1,test,0,195,0.13131313131313133,0.22647149651040702,0.2238599590476573,-3.455665349960327,2.3607013085351065,,
Reid CV1,1,test,0,210,0.1414141414141414,0.22646724855769781,0.2238599590476573,-3.4920549392700195,2.324311719225414,,
Reid CV1,1,test,0,225,0.15151515151515152,0.22637066215666546,0.2238599590476573,-3.5285792350769043,2.2877874234185294,,
Reid CV1,1,test,0,240,0.16161616161616163,0.22635091064171392,0.2238599590476573,-3.565040349960327,2.2513263085351065,,
Reid CV1,1,test,0,255,0.1717171717171717,0.22633865331948247,0.2238599590476573,-3.6014695167541504,2.2148971417412833,,
Reid CV1,1,test,0,270,0.18181818181818182,0.22633869644322357,0.2238599590476573,-3.637922525405884,2.17844413308955,,
Reid CV1,1,test,0,285,0.1919191919191919,0.2263502095444099,0.2238599590476573,-3.6743953227996826,2.141971335695751,,
Reid CV1,1,test,0,300,0.20202020202020202,0.22628985135004975,0.2238599590476573,-3.7109670639038086,2.105399594591625,,
Reid CV1,1,test,0,315,0.21212121212121213,0.22625226451006322,0.2238599590476573,-3.747504711151123,2.0688619473443106,,
Reid CV1,1,test,0,330,0.2222222222222222,0.226261181723992,0.2238599590476573,-3.78397798538208,2.0323886731133536,,
Reid CV1,1,test,0,345,0.23232323232323232,0.22624522810862116,0.2238599590476573,-3.8204901218414307,1.995876536654003,,
Reid CV1,1,test,0,360,0.24242424242424243,0.22620512546145202,0.2238599590476573,-3.857062339782715,1.9593043187127188,,
Reid CV1,1,test,0,375,0.25252525252525254,0.22615004333729255,0.2238599590476573,-3.8936245441436768,1.922742114351757,,
Reid CV1,1,test,0,390,0.26262626262626265,0.22619378337500387,0.2238599590476573,-3.930166482925415,1.8862001755700186,,
Reid CV1,1,test,0,405,0.2727272727272727,0.22613570163236676,0.2238599590476573,-3.9667322635650635,1.8496343949303702,,
Reid CV1,1,test,0,420,0.2828282828282828,0.22608566056770762,0.2238599590476573,-4.00338077545166,1.8129858830437735,,
Reid CV1,1,test,0,435,0.29292929292929293,0.2260803152395289,0.2238599590476573,-4.039945602416992,1.7764210560784415,,
Reid CV1,1,test,0,450,0.30303030303030304,0.22606755759086677,0.2238599590476573,-4.07650089263916,1.7398657658562735,,
Reid CV1,1,test,0,465,0.31313131313131315,0.22604995029821073,0.2238599590476573,-4.11316442489624,1.7032022335991934,,
Reid CV1,1,test,0,480,0.32323232323232326,0.225974872733656,0.2238599590476573,-4.149832725524902,1.6665339329705313,,
Reid CV1,1,test,0,495,0.3333333333333333,0.22600161464463228,0.2238599590476573,-4.1864471435546875,1.6299195149407462,,
Reid CV1,1,test,0,510,0.3434343434343434,0.22595597849431912,0.2238599590476573,-4.223121166229248,1.5932454922661856,,
Reid CV1,1,test,0,525,0.35353535353535354,0.22588795245912163,0.2238599590476573,-4.259859085083008,1.5565075734124258,,
Reid CV1,1,test,0,540,0.36363636363636365,0.22589661859438737,0.2238599590476573,-4.2964959144592285,1.5198707440362051,,
Reid CV1,1,test,0,555,0.37373737373737376,0.22587585177859612,0.2238599590476573,-4.333209037780762,1.483157620714672,,
Reid CV1,1,test,0,570,0.3838383838383838,0.2258185765025361,0.2238599590476573,-4.3699541091918945,1.4464125493035391,,
Reid CV1,1,test,0,585,0.3939393939393939,0.22582609769145304,0.2238599590476573,-4.406609535217285,1.4097571232781485,,
Reid CV1,1,test,0,600,0.40404040404040403,0.22577746036968235,0.2238599590476573,-4.443376064300537,1.3729905941948966,,
Reid CV1,1,test,0,615,0.41414141414141414,0.2257481162540366,0.2238599590476573,-4.480147361755371,1.3362192967400626,,
Reid CV1,1,test,0,630,0.42424242424242425,0.22575418887678875,0.2238599590476573,-4.516807556152344,1.29955910234309,,
Reid CV1,1,test,0,645,0.43434343434343436,0.2256919562880688,0.2238599590476573,-4.553652286529541,1.2627143719658926,,
Reid CV1,1,test,0,660,0.4444444444444444,0.22568479410584674,0.2238599590476573,-4.590381622314453,1.2259850361809805,,
Reid CV1,1,test,0,675,0.45454545454545453,0.22565977175463622,0.2238599590476573,-4.627217769622803,1.189148888872631,,
Reid CV1,1,test,0,690,0.46464646464646464,0.22560984119009742,0.2238599590476573,-4.664032936096191,1.1523337223992423,,
Reid CV1,1,test,0,705,0.47474747474747475,0.22561700151604136,0.2238599590476573,-4.700774192810059,1.115592465685375,,
Reid CV1,1,test,0,720,0.48484848484848486,0.22554588583789423,0.2238599590476573,-4.737724781036377,1.0786418774590567,,
Reid CV1,1,test,0,735,0.494949494949495,0.22554613041627092,0.2238599590476573,-4.7744550704956055,1.0419115879998282,,
Reid CV1,1,test,0,750,0.5050505050505051,0.22550319199129545,0.2238599590476573,-4.8113813400268555,1.0049853184685782,,
Reid CV1,1,test,0,765,0.5151515151515151,0.22546264683392545,0.2238599590476573,-4.848217010498047,0.9681496479973868,,
Reid CV1,1,test,0,780,0.5252525252525253,0.22545721639621513,0.2238599590476573,-4.88507080078125,0.9312958577141837,,
Reid CV1,1,test,0,795,0.5353535353535354,0.22539552769829374,0.2238599590476573,-4.922008514404297,0.8943581440911368,,
Reid CV1,1,test,0,810,0.5454545454545454,0.22539652349124928,0.2238599590476573,-4.9588446617126465,0.8575219967827872,,
Reid CV1,1,test,0,825,0.5555555555555556,0.22532453701137084,0.2238599590476573,-4.995822429656982,0.8205442288384512,,
Reid CV1,1,test,0,840,0.5656565656565656,0.22534016529683507,0.2238599590476573,-5.032654762268066,0.7837118962273673,,
Reid CV1,1,test,0,855,0.5757575757575758,0.22526887775212567,0.2238599590476573,-5.069711208343506,0.7466554501519278,,
Reid CV1,1,test,0,870,0.5858585858585859,0.22528859030690734,0.2238599590476573,-5.10649299621582,0.7098736622796133,,
Reid CV1,1,test,0,885,0.5959595959595959,0.22519944620188606,0.2238599590476573,-5.143621921539307,0.672744736956127,,
Reid CV1,1,test,0,900,0.6060606060606061,0.22522768304914745,0.2238599590476573,-5.180401802062988,0.6359648564324454,,
Reid CV1,1,test,0,915,0.6161616161616161,0.2251416063540672,0.2238599590476573,-5.2175774574279785,0.5987892010674551,,
Reid CV1,1,test,0,930,0.6262626262626263,0.2251609346244341,0.2238599590476573,-5.25443696975708,0.5619296887383536,,
Reid CV1,1,test,0,945,0.6363636363636364,0.2250806233856218,0.2238599590476573,-5.2916178703308105,0.5247487881646231,,
Reid CV1,1,test,0,960,0.6464646464646465,0.22509560049649568,0.2238599590476573,-5.328494548797607,0.48787210969782624,,
Reid CV1,1,test,0,975,0.6565656565656566,0.22501518421039637,0.2238599590476573,-5.365616798400879,0.45074986009455476,,
Reid CV1,1,test,0,990,0.6666666666666666,0.22503768905315372,0.2238599590476573,-5.402553558349609,0.4138131001458243,,
Reid CV1,1,test,0,1005,0.6767676767676768,0.2249653285939098,0.2238599590476573,-5.439734935760498,0.3766317227349356,,
Reid CV1,1,test,0,1020,0.6868686868686869,0.22494754803278572,0.2238599590476573,-5.47674036026001,0.3396262982354239,,
Reid CV1,1,test,0,1035,0.696969696969697,0.22492121268504844,0.2238599590476573,-5.513797283172607,0.30256937532282624,,
Reid CV1,1,test,0,1050,0.7070707070707071,0.2248694352357502,0.2238599590476573,-5.550961971282959,0.2654046872124747,,
Reid CV1,1,test,0,1065,0.7171717171717171,0.22487483471401287,0.2238599590476573,-5.587954521179199,0.22841213731623444,,
Reid CV1,1,test,0,1080,0.7272727272727273,0.22478401583438093,0.2238599590476573,-5.625274658203125,0.19109200029230866,,
Reid CV1,1,test,0,1095,0.7373737373737373,0.22480681505908218,0.2238599590476573,-5.662179946899414,0.1541867115960196,,
Reid CV1,1,test,0,1110,0.7474747474747475,0.2247350375078887,0.2238599590476573,-5.699472904205322,0.1168937542901114,,
Reid CV1,1,test,0,1125,0.7575757575757576,0.22470272803332955,0.2238599590476573,-5.736583232879639,0.07978342561579499,,
Reid CV1,1,test,0,1140,0.7676767676767676,0.22470669223167303,0.2238599590476573,-5.773635387420654,0.042731271074779364,,
Reid CV1,1,test,0,1155,0.7777777777777778,0.2246188476328432,0.2238599590476573,-5.811071395874023,0.005295262621410224,,
Reid CV1,1,test,0,1170,0.7878787878787878,0.22463772588765646,0.2238599590476573,-5.848016738891602,-0.0316500803961679,,
