pair_id,z0_gap_cv1,current_p_ratio_gap,true_delta_p_ratio_gap,cv1_pred_delta_gap,cv2_pred_delta_gap,cv1_pair_abs_error_mean,cv2_pair_abs_error_mean,cv1_pair_pos_mse_mean,cv2_pair_pos_mse_mean
0,0.001132369041442871,0.15871863657776053,0.12940867530710265,0.053083798068695565,0.44038616662560454,0.038162438619203536,0.15548874565925094,5.552988113777246e-06,4.1852300682876376e-06
1,0.00031250715255737305,0.216921061243494,0.12292861007113016,0.12840937494822793,0.48392487303832976,0.11077710854276186,0.19267857333349311,3.2357943382521626e-05,1.1027486607417814e-05
2,0.0014069080352783203,0.10162686519089092,0.12206704131068111,0.22084175912740228,0.5690817805378847,0.14006067732995978,0.2235073696136018,1.3658415696227166e-06,7.920060625110636e-06
3,0.0003178119659423828,0.2882802186771752,0.10812838802789762,0.033255479914579084,0.4159273650973475,0.14256225511533197,0.16890289062570712,7.270493028954661e-06,6.381342018357827e-06
4,0.000516057014465332,0.3294912288088804,0.105175016516696,0.02777481549341454,0.3227312395905567,0.07387440089772816,0.16078808275732334,7.454739534296095e-05,1.2262149994057836e-05
5,0.0011408329010009766,0.0815240546244296,0.10330516491529566,0.10140341160352469,0.44505838173373563,0.11062673032413259,0.17087660840921998,1.934287979565852e-06,1.4194152697655227e-06
