dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=2,test,56,0.3543707109293127,-0.4550210833549499,1,1,2,,
CV1 | nets=1 | frames=2,test,57,-0.2504451898786599,-0.4303887188434601,1,1,2,,
CV1 | nets=1 | frames=2,test,58,-0.0803696162881754,-0.4387567341327667,1,1,2,,
CV1 | nets=1 | frames=2,test,59,-0.1277120103792852,-0.4292801916599273,1,1,2,,
CV1 | nets=1 | frames=2,test,60,0.3812481697430855,-0.4437556266784668,1,1,2,,
CV1 | nets=1 | frames=2,test,61,-0.4003789014783009,-0.4257062971591949,1,1,2,,
CV1 | nets=1 | frames=2,test,62,0.2511593493496609,-0.4469856023788452,1,1,2,,
CV1 | nets=1 | frames=2,test,63,-0.1963377719651293,-0.4268428683280945,1,1,2,,
CV1 | nets=1 | frames=2,test,64,0.2011468693729077,-0.4303012490272522,1,1,2,,
CV1 | nets=1 | frames=2,test,65,0.1834175400503848,-0.4377814829349518,1,1,2,,
CV1 | nets=1 | frames=2,test,66,0.1677718678598186,-0.4292780756950378,1,1,2,,
CV1 | nets=1 | frames=2,test,67,0.2103549124683166,-0.4408397674560547,1,1,2,,
CV1 | nets=1 | frames=2,test,68,-0.2124182814927736,-0.4339005947113037,1,1,2,,
CV1 | nets=1 | frames=2,test,69,0.2427422463907798,-0.4345028102397918,1,1,2,,
CV1 | nets=1 | frames=2,test,70,-0.198060037637249,-0.438853919506073,1,1,2,,
CV1 | nets=1 | frames=2,test,71,-0.3247762104239115,-0.4147422313690185,1,1,2,,
CV1 | nets=1 | frames=2,test,72,-0.1773883670701692,-0.4437181353569031,1,1,2,,
CV1 | nets=1 | frames=2,test,73,-0.2061780215112254,-0.4276555478572845,1,1,2,,
CV1 | nets=1 | frames=2,test,74,-0.1515654324056017,-0.4303753674030304,1,1,2,,
CV1 | nets=1 | frames=2,test,75,-0.1319308250403395,-0.4269614219665527,1,1,2,,
CV1 | nets=1 | frames=5,train,0,-0.0669511275618616,-0.1787150055170059,1,1,5,,
CV1 | nets=1 | frames=5,test,0,-0.2360464098886152,-0.1713042855262756,1,1,5,,
CV1 | nets=1 | frames=5,test,1,0.1295779047889524,-0.1440082490444183,1,1,5,,
CV1 | nets=1 | frames=5,test,2,-0.1623723264424866,-0.1008796095848083,1,1,5,,
CV1 | nets=1 | frames=5,test,3,-0.123156073161201,-0.126226395368576,1,1,5,,
CV1 | nets=1 | frames=5,test,4,0.3453760393512503,-0.1947943866252899,1,1,5,,
CV1 | nets=1 | frames=5,test,5,-0.3979398483632574,-0.1151494160294532,1,1,5,,
CV1 | nets=1 | frames=5,test,6,0.2126940386242633,-0.2304940521717071,1,1,5,,
CV1 | nets=1 | frames=5,test,7,0.0950451355151094,-0.1689159870147705,1,1,5,,
CV1 | nets=1 | frames=5,test,8,-0.0648093100969477,-0.2145960628986358,1,1,5,,
CV1 | nets=1 | frames=5,test,9,-0.0036101382641459,-0.1556564569473266,1,1,5,,
CV1 | nets=1 | frames=5,test,10,0.2259070200709375,-0.2469848692417144,1,1,5,,
CV1 | nets=1 | frames=5,test,11,-0.2448221358235529,-0.109515257179737,1,1,5,,
CV1 | nets=1 | frames=5,test,12,-0.3251896560062025,-0.1589142382144928,1,1,5,,
CV1 | nets=1 | frames=5,test,13,0.1639582164351763,-0.1746885031461715,1,1,5,,
CV1 | nets=1 | frames=5,test,14,0.2767388091190165,-0.1182849705219268,1,1,5,,
CV1 | nets=1 | frames=5,test,15,0.2817123526652541,-0.2063867449760437,1,1,5,,
CV1 | nets=1 | frames=5,test,16,-0.1737797852877405,-0.0939919799566268,1,1,5,,
CV1 | nets=1 | frames=5,test,17,-0.5936111989220015,-0.1695450395345688,1,1,5,,
CV1 | nets=1 | frames=5,test,18,0.2708167150760829,-0.1498128622770309,1,1,5,,
CV1 | nets=1 | frames=5,test,19,-0.0488976389824205,-0.1593698263168335,1,1,5,,
CV1 | nets=1 | frames=5,test,20,0.3374250403982374,-0.2161565423011779,1,1,5,,
CV1 | nets=1 | frames=5,test,21,0.144219835421564,-0.1257567256689071,1,1,5,,
CV1 | nets=1 | frames=5,test,22,0.2238599590476573,-0.1515181213617324,1,1,5,,
CV1 | nets=1 | frames=5,test,23,-0.2110936628700718,-0.1004481762647628,1,1,5,,
CV1 | nets=1 | frames=5,test,24,-0.135107647284631,-0.0942327231168747,1,1,5,,
CV1 | nets=1 | frames=5,test,25,-0.2879174109079594,-0.0831600353121757,1,1,5,,
CV1 | nets=1 | frames=5,test,26,-0.0869858031149348,-0.1088101863861084,1,1,5,,
CV1 | nets=1 | frames=5,test,27,0.0729596003150843,-0.2135343700647354,1,1,5,,
CV1 | nets=1 | frames=5,test,28,-0.0473741087700227,-0.1341920644044876,1,1,5,,
CV1 | nets=1 | frames=5,test,29,-0.1740479126403528,-0.0750724524259567,1,1,5,,
CV1 | nets=1 | frames=5,test,30,-0.1534844106106529,-0.1342008113861084,1,1,5,,
CV1 | nets=1 | frames=5,test,31,-0.3339993893646671,-0.0819427073001861,1,1,5,,
CV1 | nets=1 | frames=5,test,32,-0.2983576891176249,-0.062610812485218,1,1,5,,
CV1 | nets=1 | frames=5,test,33,-0.0843642366678143,-0.2244667708873748,1,1,5,,
CV1 | nets=1 | frames=5,test,34,-0.2273098506600647,-0.1683276444673538,1,1,5,,
CV1 | nets=1 | frames=5,test,35,0.150316153738502,-0.1569467484951019,1,1,5,,
CV1 | nets=1 | frames=5,test,36,-0.2691509251686252,-0.128218874335289,1,1,5,,
CV1 | nets=1 | frames=5,test,37,0.1269998279169667,-0.1886815428733825,1,1,5,,
CV1 | nets=1 | frames=5,test,38,0.3220806426408416,-0.1639339476823806,1,1,5,,
CV1 | nets=1 | frames=5,test,39,-0.3233661435786948,-0.1800287812948227,1,1,5,,
CV1 | nets=1 | frames=5,test,40,-0.1666568671096066,-0.0934432223439216,1,1,5,,
CV1 | nets=1 | frames=5,test,41,-0.0608276768648222,-0.0979262217879295,1,1,5,,
CV1 | nets=1 | frames=5,test,42,0.2821721893243829,-0.2133973240852356,1,1,5,,
CV1 | nets=1 | frames=5,test,43,-0.0591450573123482,-0.0431276261806488,1,1,5,,
CV1 | nets=1 | frames=5,test,44,-0.2523187814106471,-0.0956278517842292,1,1,5,,
CV1 | nets=1 | frames=5,test,45,0.2693791688852633,-0.176613301038742,1,1,5,,
CV1 | nets=1 | frames=5,test,46,-0.157111034083224,-0.1489142328500747,1,1,5,,
CV1 | nets=1 | frames=5,test,47,0.1606833051492441,-0.2250524312257766,1,1,5,,
CV1 | nets=1 | frames=5,test,48,0.172504695096772,-0.1770648062229156,1,1,5,,
CV1 | nets=1 | frames=5,test,49,0.3873779088920612,-0.2165871560573578,1,1,5,,
CV1 | nets=1 | frames=5,test,50,-0.100209652453205,-0.0949220210313797,1,1,5,,
CV1 | nets=1 | frames=5,test,51,0.1807945702326933,-0.1759317070245742,1,1,5,,
CV1 | nets=1 | frames=5,test,52,-0.2190887259038099,-0.1231555342674255,1,1,5,,
CV1 | nets=1 | frames=5,test,53,0.0386789596579197,-0.1298780143260955,1,1,5,,
CV1 | nets=1 | frames=5,test,54,-0.1466400227827606,-0.1642588227987289,1,1,5,,
CV1 | nets=1 | frames=5,test,55,-0.1466582167541242,-0.1284083873033523,1,1,5,,
CV1 | nets=1 | frames=5,test,56,0.3543707109293127,-0.1778559982776641,1,1,5,,
CV1 | nets=1 | frames=5,test,57,-0.2504451898786599,-0.1311979740858078,1,1,5,,
CV1 | nets=1 | frames=5,test,58,-0.0803696162881754,-0.1332404464483261,1,1,5,,
CV1 | nets=1 | frames=5,test,59,-0.1277120103792852,-0.1190825253725051,1,1,5,,
CV1 | nets=1 | frames=5,test,60,0.3812481697430855,-0.2082907557487487,1,1,5,,
CV1 | nets=1 | frames=5,test,61,-0.4003789014783009,-0.1623570173978805,1,1,5,,
CV1 | nets=1 | frames=5,test,62,0.2511593493496609,-0.1202486157417297,1,1,5,,
CV1 | nets=1 | frames=5,test,63,-0.1963377719651293,-0.1441210806369781,1,1,5,,
CV1 | nets=1 | frames=5,test,64,0.2011468693729077,-0.2046674787998199,1,1,5,,
CV1 | nets=1 | frames=5,test,65,0.1834175400503848,-0.193366527557373,1,1,5,,
CV1 | nets=1 | frames=5,test,66,0.1677718678598186,-0.1542472392320633,1,1,5,,
CV1 | nets=1 | frames=5,test,67,0.2103549124683166,-0.1983672082424163,1,1,5,,
CV1 | nets=1 | frames=5,test,68,-0.2124182814927736,-0.1200555860996246,1,1,5,,
CV1 | nets=1 | frames=5,test,69,0.2427422463907798,-0.1786194592714309,1,1,5,,
CV1 | nets=1 | frames=5,test,70,-0.198060037637249,-0.1019842624664306,1,1,5,,
CV1 | nets=1 | frames=5,test,71,-0.3247762104239115,-0.1763219237327575,1,1,5,,
CV1 | nets=1 | frames=5,test,72,-0.1773883670701692,-0.1308284252882003,1,1,5,,
CV1 | nets=1 | frames=5,test,73,-0.2061780215112254,-0.1353736817836761,1,1,5,,
CV1 | nets=1 | frames=5,test,74,-0.1515654324056017,-0.1577461212873459,1,1,5,,
CV1 | nets=1 | frames=5,test,75,-0.1319308250403395,-0.1738273352384567,1,1,5,,
CV1 | nets=1 | frames=10,train,0,-0.0669511275618616,-0.6774335503578186,1,1,10,,
CV1 | nets=1 | frames=10,test,0,-0.2360464098886152,-0.6752139925956726,1,1,10,,
CV1 | nets=1 | frames=10,test,1,0.1295779047889524,-0.6693645119667053,1,1,10,,
CV1 | nets=1 | frames=10,test,2,-0.1623723264424866,-0.7367538809776306,1,1,10,,
CV1 | nets=1 | frames=10,test,3,-0.123156073161201,-0.7232442498207092,1,1,10,,
CV1 | nets=1 | frames=10,test,4,0.3453760393512503,-0.5800089836120605,1,1,10,,
CV1 | nets=1 | frames=10,test,5,-0.3979398483632574,-0.7157425880432129,1,1,10,,
CV1 | nets=1 | frames=10,test,6,0.2126940386242633,-0.59947669506073,1,1,10,,
CV1 | nets=1 | frames=10,test,7,0.0950451355151094,-0.6615055203437805,1,1,10,,
CV1 | nets=1 | frames=10,test,8,-0.0648093100969477,-0.6908388137817383,1,1,10,,
CV1 | nets=1 | frames=10,test,9,-0.0036101382641459,-0.6823389530181885,1,1,10,,
CV1 | nets=1 | frames=10,test,10,0.2259070200709375,-0.6119553446769714,1,1,10,,
CV1 | nets=1 | frames=10,test,11,-0.2448221358235529,-0.7284097075462341,1,1,10,,
CV1 | nets=1 | frames=10,test,12,-0.3251896560062025,-0.7218807339668274,1,1,10,,
CV1 | nets=1 | frames=10,test,13,0.1639582164351763,-0.5906312465667725,1,1,10,,
CV1 | nets=1 | frames=10,test,14,0.2767388091190165,-0.6676666140556335,1,1,10,,
CV1 | nets=1 | frames=10,test,15,0.2817123526652541,-0.6437471508979797,1,1,10,,
CV1 | nets=1 | frames=10,test,16,-0.1737797852877405,-0.7326579689979553,1,1,10,,
CV1 | nets=1 | frames=10,test,17,-0.5936111989220015,-0.7407823801040649,1,1,10,,
CV1 | nets=1 | frames=10,test,18,0.2708167150760829,-0.5960987210273743,1,1,10,,
CV1 | nets=1 | frames=10,test,19,-0.0488976389824205,-0.6881276369094849,1,1,10,,
CV1 | nets=1 | frames=10,test,20,0.3374250403982374,-0.5770497918128967,1,1,10,,
CV1 | nets=1 | frames=10,test,21,0.144219835421564,-0.6775442957878113,1,1,10,,
CV1 | nets=1 | frames=10,test,22,0.2238599590476573,-0.6113694310188293,1,1,10,,
CV1 | nets=1 | frames=10,test,23,-0.2110936628700718,-0.7290897369384766,1,1,10,,
CV1 | nets=1 | frames=10,test,24,-0.135107647284631,-0.7111731171607971,1,1,10,,
CV1 | nets=1 | frames=10,test,25,-0.2879174109079594,-0.7097389101982117,1,1,10,,
CV1 | nets=1 | frames=10,test,26,-0.0869858031149348,-0.7266877293586731,1,1,10,,
CV1 | nets=1 | frames=10,test,27,0.0729596003150843,-0.6699430346488953,1,1,10,,
CV1 | nets=1 | frames=10,test,28,-0.0473741087700227,-0.7394539713859558,1,1,10,,
CV1 | nets=1 | frames=10,test,29,-0.1740479126403528,-0.7067019939422607,1,1,10,,
CV1 | nets=1 | frames=10,test,30,-0.1534844106106529,-0.7460352778434753,1,1,10,,
CV1 | nets=1 | frames=10,test,31,-0.3339993893646671,-0.699869692325592,1,1,10,,
CV1 | nets=1 | frames=10,test,32,-0.2983576891176249,-0.7452426552772522,1,1,10,,
CV1 | nets=1 | frames=10,test,33,-0.0843642366678143,-0.7028895020484924,1,1,10,,
CV1 | nets=1 | frames=10,test,34,-0.2273098506600647,-0.6936628222465515,1,1,10,,
CV1 | nets=1 | frames=10,test,35,0.150316153738502,-0.624046266078949,1,1,10,,
CV1 | nets=1 | frames=10,test,36,-0.2691509251686252,-0.6989972591400146,1,1,10,,
CV1 | nets=1 | frames=10,test,37,0.1269998279169667,-0.6620111465454102,1,1,10,,
CV1 | nets=1 | frames=10,test,38,0.3220806426408416,-0.5726445317268372,1,1,10,,
CV1 | nets=1 | frames=10,test,39,-0.3233661435786948,-0.7187517285346985,1,1,10,,
CV1 | nets=1 | frames=10,test,40,-0.1666568671096066,-0.7288547158241272,1,1,10,,
CV1 | nets=1 | frames=10,test,41,-0.0608276768648222,-0.7439351677894592,1,1,10,,
CV1 | nets=1 | frames=10,test,42,0.2821721893243829,-0.6144124269485474,1,1,10,,
CV1 | nets=1 | frames=10,test,43,-0.0591450573123482,-0.729227602481842,1,1,10,,
CV1 | nets=1 | frames=10,test,44,-0.2523187814106471,-0.7447109818458557,1,1,10,,
CV1 | nets=1 | frames=10,test,45,0.2693791688852633,-0.6476462483406067,1,1,10,,
CV1 | nets=1 | frames=10,test,46,-0.157111034083224,-0.7208389639854431,1,1,10,,
CV1 | nets=1 | frames=10,test,47,0.1606833051492441,-0.6698865294456482,1,1,10,,
CV1 | nets=1 | frames=10,test,48,0.172504695096772,-0.6080347895622253,1,1,10,,
CV1 | nets=1 | frames=10,test,49,0.3873779088920612,-0.5482606291770935,1,1,10,,
