dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=2,test,56,0.3543707109293127,-0.45502108335494995,1,1,2,,
CV1 | nets=1 | frames=2,test,57,-0.2504451898786599,-0.4303887188434601,1,1,2,,
CV1 | nets=1 | frames=2,test,58,-0.0803696162881754,-0.4387567341327667,1,1,2,,
CV1 | nets=1 | frames=2,test,59,-0.12771201037928526,-0.42928019165992737,1,1,2,,
CV1 | nets=1 | frames=2,test,60,0.3812481697430855,-0.4437556266784668,1,1,2,,
CV1 | nets=1 | frames=2,test,61,-0.40037890147830096,-0.42570629715919495,1,1,2,,
CV1 | nets=1 | frames=2,test,62,0.2511593493496609,-0.4469856023788452,1,1,2,,
CV1 | nets=1 | frames=2,test,63,-0.1963377719651293,-0.4268428683280945,1,1,2,,
CV1 | nets=1 | frames=2,test,64,0.20114686937290777,-0.4303012490272522,1,1,2,,
CV1 | nets=1 | frames=2,test,65,0.18341754005038485,-0.4377814829349518,1,1,2,,
CV1 | nets=1 | frames=2,test,66,0.1677718678598186,-0.42927807569503784,1,1,2,,
CV1 | nets=1 | frames=2,test,67,0.21035491246831667,-0.4408397674560547,1,1,2,,
CV1 | nets=1 | frames=2,test,68,-0.2124182814927736,-0.4339005947113037,1,1,2,,
CV1 | nets=1 | frames=2,test,69,0.24274224639077988,-0.43450281023979187,1,1,2,,
CV1 | nets=1 | frames=2,test,70,-0.19806003763724905,-0.438853919506073,1,1,2,,
CV1 | nets=1 | frames=2,test,71,-0.3247762104239115,-0.41474223136901855,1,1,2,,
CV1 | nets=1 | frames=2,test,72,-0.17738836707016928,-0.4437181353569031,1,1,2,,
CV1 | nets=1 | frames=2,test,73,-0.20617802151122547,-0.42765554785728455,1,1,2,,
CV1 | nets=1 | frames=2,test,74,-0.1515654324056017,-0.4303753674030304,1,1,2,,
CV1 | nets=1 | frames=2,test,75,-0.13193082504033954,-0.42696142196655273,1,1,2,,
CV1 | nets=1 | frames=5,train,0,-0.06695112756186168,-0.17871500551700592,1,1,5,,
CV1 | nets=1 | frames=5,test,0,-0.2360464098886152,-0.17130428552627563,1,1,5,,
CV1 | nets=1 | frames=5,test,1,0.1295779047889524,-0.14400824904441833,1,1,5,,
CV1 | nets=1 | frames=5,test,2,-0.1623723264424866,-0.10087960958480835,1,1,5,,
CV1 | nets=1 | frames=5,test,3,-0.12315607316120104,-0.12622639536857605,1,1,5,,
CV1 | nets=1 | frames=5,test,4,0.3453760393512503,-0.19479438662528992,1,1,5,,
CV1 | nets=1 | frames=5,test,5,-0.3979398483632574,-0.11514941602945328,1,1,5,,
CV1 | nets=1 | frames=5,test,6,0.21269403862426334,-0.23049405217170715,1,1,5,,
CV1 | nets=1 | frames=5,test,7,0.0950451355151094,-0.1689159870147705,1,1,5,,
CV1 | nets=1 | frames=5,test,8,-0.06480931009694779,-0.21459606289863586,1,1,5,,
CV1 | nets=1 | frames=5,test,9,-0.0036101382641459327,-0.15565645694732666,1,1,5,,
CV1 | nets=1 | frames=5,test,10,0.22590702007093752,-0.24698486924171448,1,1,5,,
CV1 | nets=1 | frames=5,test,11,-0.24482213582355292,-0.10951525717973709,1,1,5,,
CV1 | nets=1 | frames=5,test,12,-0.32518965600620253,-0.1589142382144928,1,1,5,,
