signal,source,test_pearson_r,test_corr_r2,test_r2,dataset,sweep_latent_dim,sweep_train_count,sweep_train_frames
z0,single_latent_test_corr,-0.9101698763245109,0.8284092037685752,,CV3 | nets=8 | frames=10,3,8,10
z1,single_latent_test_corr,-0.765459750730105,0.5859286299877945,,CV3 | nets=8 | frames=10,3,8,10
z2,single_latent_test_corr,-0.9007585508181064,0.8113659668719354,,CV3 | nets=8 | frames=10,3,8,10
linear_combo_test_fit,descriptive_test_fit,0.9165859584737112,0.8401298192711719,0.8401298192711721,CV3 | nets=8 | frames=10,3,8,10
linear_combo_train_fit,train_fit_test_eval,0.8911531372219004,0.7941539139804352,0.7655741072413353,CV3 | nets=8 | frames=10,3,8,10
z0,single_latent_test_corr,0.7222471767810159,0.5216409843681481,,CV3 | nets=8 | frames=25,3,8,25
z1,single_latent_test_corr,0.899143799651704,0.8084595724521036,,CV3 | nets=8 | frames=25,3,8,25
z2,single_latent_test_corr,0.3654770369332443,0.133573464525504,,CV3 | nets=8 | frames=25,3,8,25
linear_combo_test_fit,descriptive_test_fit,0.904947132960003,0.8189293134525293,0.8189293134525293,CV3 | nets=8 | frames=25,3,8,25
linear_combo_train_fit,train_fit_test_eval,0.8900165613469015,0.7921294794717629,0.7623582639608527,CV3 | nets=8 | frames=25,3,8,25
z0,single_latent_test_corr,0.9024886458763828,0.8144857559357872,,CV3 | nets=8 | frames=50,3,8,50
z1,single_latent_test_corr,0.9002643710160353,0.8104759377208977,,CV3 | nets=8 | frames=50,3,8,50
z2,single_latent_test_corr,-0.8902422452681528,0.7925312552600818,,CV3 | nets=8 | frames=50,3,8,50
linear_combo_test_fit,descriptive_test_fit,0.90307857681882,0.8155509159091053,0.8155509159091054,CV3 | nets=8 | frames=50,3,8,50
linear_combo_train_fit,train_fit_test_eval,0.8898711150262965,0.7918706013581441,0.7539404893578862,CV3 | nets=8 | frames=50,3,8,50
z0,single_latent_test_corr,0.8604900462349427,0.7404431196694139,,CV3 | nets=8 | frames=100,3,8,100
z1,single_latent_test_corr,0.5351152255295034,0.2863483045934913,,CV3 | nets=8 | frames=100,3,8,100
z2,single_latent_test_corr,-0.8958104636560649,0.8024763867956939,,CV3 | nets=8 | frames=100,3,8,100
linear_combo_test_fit,descriptive_test_fit,0.9128267055593569,0.8332525943823486,0.833252594382349,CV3 | nets=8 | frames=100,3,8,100
linear_combo_train_fit,train_fit_test_eval,0.8877378666412794,0.78807851986881,0.7650380813627975,CV3 | nets=8 | frames=100,3,8,100
