original_sim_idx,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5,intervention
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.6060367705084017,0.32496518283236275,0.009548130445182323,1.337418794631958,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,-5.355648739051079e-16,9.657862302244183e-16,5.7466450227553915e-09,0.019358422168651145,0.023413962186687363,0.02651568568363018,0.03730598980386824,0.05123951778967244,0.05846989953761483,0.06505276268098951,0.08022456498133242,0.09405507923497614,0.06222862852899951,0.2741564002094175,0.6589184404993026,0.5982200341086584,0.0031017234969428174,baseline
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.6666404485151591,0.35746170115034615,0.010502943769097328,1.471160650253296,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,-2.9755267431926257e-16,-8.12658001713034e-17,2.1637883763933385e-09,0.02129426503008342,0.025755359481922868,0.029167254373169728,0.04103658937026404,0.056363463850026566,0.0643168898182343,0.071558039618175,0.08824702215631253,0.10346058625620021,0.06222858029301073,0.2741563066273204,0.6589184116016764,0.5982201191643312,0.0034118948912468597,all_stiffness_plus_10pct
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.5454330942626308,0.2924686653909964,0.008593317121267319,1.2036769390106201,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,8.729954683867164e-17,3.9265314423968117e-16,3.0405014605262265e-09,0.017422580732346836,0.021072566677163673,0.02386411774424378,0.03357539211377961,0.046115563953962796,0.05262291124682009,0.05854748796518766,0.07220211007085253,0.08464957273854978,0.06222858864852628,0.2741563669609498,0.6589184409043114,0.5982200309331377,0.002791551067080105,all_stiffness_minus_10pct
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.6721659229255058,0.22226372097735206,0.3653097450733185,1.337418794631958,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,-3.059707254309277e-16,-4.637801390658057e-17,5.712735431695869e-09,0.0497192207749691,0.05984139798270989,0.06406024398380857,0.07394433503192031,0.10282408103880002,0.13025235950142486,0.16664976298184045,0.17285644471793263,0.1918127879593073,0.6120515132801178,0.3760594594916309,0.7354336609017996,0.6058080005465062,0.004218846001098675,weak_springs_floor_to_q25
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.6123363413277384,0.3174283607463459,0.011935163289308548,1.337418794631958,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,8.087957489138324e-17,8.963043804188352e-16,5.736641109871128e-09,0.02148249033168641,0.026775334576767708,0.02938609343585333,0.04042017166986132,0.05567604970728466,0.06397622102383635,0.07135543515303909,0.08825769102536303,0.1028116128228446,0.04667664968892699,0.2304597666328941,0.6106768013525943,0.6289498867725659,0.0026107588590856233,weak_springs_plus_25pct
0,100,284,0.057373737373737375,5.68,0.7730459236035075,7.0,4.0,10.93170166015625,10.861113548278809,1.0064991597375048,0.005521535873413086,-0.028848648071289062,2.43761591739218,3.174884846861473,0.7212967276573181,14.68095874786377,0.6060367641104779,0.16248258766853296,0.30779245495796204,0.9717277884483337,5.666666666666667,5.866666666666666,5.6,5.6,0.1999999999999993,0.0,3.9291353264610935e-17,7.367871122475204e-16,6.443491350994505e-09,0.047643794216432646,0.056277318130494296,0.06077910815344454,0.0701364816451728,0.09667306642624748,0.1265685414107456,0.15443245533468086,0.16139009397068863,0.17394808095055753,0.5631165506218794,0.3565431532852586,0.6669532766344977,0.6283665119801475,0.0045017900229502444,half_homogenize_to_mean
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.43281665722747426,0.06075450344497515,0.3298722505569458,0.6248754858970642,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,-2.8851563791008515e-16,2.638572403448998e-16,6.112256928838547e-10,0.0038202123117854,0.03108084985473629,0.03654133853742193,0.041442345543174865,0.0604218326555123,0.07697860486036569,0.08664008395606436,0.08992437622320465,0.10212097948883425,0.7695811297129178,0.5543606400991516,0.6484311994293344,0.17233179745874486,0.005460488682685644,baseline
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.47609832358884285,0.06682995231438071,0.36285948753356934,0.6873630285263062,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,-3.1610720256520565e-16,5.755584430758196e-16,6.51774078979912e-10,0.004202233345526517,0.03418893510236855,0.040195472921205094,0.04558658092460291,0.0664640156596374,0.08467646727269011,0.09530409271416407,0.09891681661773147,0.11233307805725158,0.769581129283902,0.5543606439794102,0.6484311920633186,0.1723317913626945,0.0060065378188365465,all_stiffness_plus_10pct
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.3895349912754782,0.05467905341668622,0.29688501358032227,0.5623879432678223,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,7.337345623438571e-17,1.496088954865975e-16,1.3373050695635893e-10,0.003438190989129462,0.027972764801539856,0.03288720475484556,0.03729811115810334,0.05437964846403363,0.06928074512357571,0.07797607591504337,0.08093193974259996,0.0919088819426648,0.7695811343410002,0.5543606441302648,0.6484311973079933,0.17233179340989635,0.004914439953305701,all_stiffness_minus_10pct
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.43877843161533164,0.05379837410945497,0.38533294200897217,0.6248754858970642,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,-9.54436447159931e-16,-4.0469655101067373e-16,5.849447365534292e-10,0.003861660273493518,0.0316128830570114,0.03726766705603394,0.042477475477454264,0.06152608456332008,0.07863256749984769,0.08842901542031337,0.09204713004065808,0.10365589494354502,0.7727984278746199,0.5556590464992667,0.6501713819819578,0.1635718978652893,0.005654783999022542,weak_springs_floor_to_q25
