intervention,target,mean_shift,median_shift,abs_mean_shift
half_homogenize_to_mean,final_p_ratio,0.2459254138636379,0.28214056585648056,0.2459254138636379
weak_springs_floor_to_q25,final_p_ratio,0.036084369146149445,0.014948900989134262,0.09129537045440893
all_stiffness_minus_10pct,final_p_ratio,0.0322433477317583,0.040481091243659256,0.03318689140501488
weak_springs_plus_25pct,final_p_ratio,0.022277508297168132,0.01448217918689812,0.022677537347608485
all_stiffness_plus_10pct,final_p_ratio,-0.03222536146331542,-0.03874359908289546,0.03313250783280791
all_stiffness_plus_10pct,final_y_compression,0.0004005522201768885,0.0005520490087298517,0.00061046087971584
all_stiffness_minus_10pct,final_y_compression,-0.0004153471165195069,-0.0005811895052487994,0.000620968491262995
weak_springs_plus_25pct,final_y_compression,-0.0007276474258108948,-0.000685144728103104,0.000790525656910055
weak_springs_floor_to_q25,final_y_compression,-0.0033132130591050843,-0.0015447780700681081,0.0036464675303795415
half_homogenize_to_mean,final_y_compression,-0.009832398825891453,-0.01027462949766006,0.009832398825891453
all_stiffness_plus_10pct,mean_y_compression,0.00024661338630326956,0.0003110645109242532,0.0003269656456917405
all_stiffness_minus_10pct,mean_y_compression,-0.00025621840302748265,-0.000320148218208474,0.00033037057153203716
weak_springs_plus_25pct,mean_y_compression,-0.0003479552214371467,-0.0003058197441058837,0.0003719846190062916
weak_springs_floor_to_q25,mean_y_compression,-0.0015142494719231144,-0.0007411209392814953,0.0016783117393972065
half_homogenize_to_mean,mean_y_compression,-0.0045493404737966215,-0.0048666754544547525,0.0045493404737966215
