original_sim_idx,intervention,target,predicted_value,predicted_shift_from_baseline
3,weak_springs_plus_25pct,final_y_compression,0.007483405829397181,0.00044491890019933596
3,half_homogenize_to_mean,final_p_ratio,0.09247281537904889,0.37101842350075215
3,half_homogenize_to_mean,mean_y_compression,-0.0034636559319719856,-0.007011598812519732
3,half_homogenize_to_mean,final_y_compression,-0.007664191543590985,-0.01470267847278883
4,baseline,final_p_ratio,-0.2554861369777929,0.0
4,baseline,mean_y_compression,0.00274846653165493,0.0
4,baseline,final_y_compression,0.005676357281476747,0.0
4,all_stiffness_plus_10pct,final_p_ratio,-0.2991455647972404,-0.04365942781944754
4,all_stiffness_plus_10pct,mean_y_compression,0.0030975527015939287,0.0003490861699389988
4,all_stiffness_plus_10pct,final_y_compression,0.006346243756631733,0.0006698864751549854
4,all_stiffness_minus_10pct,final_p_ratio,-0.18909376914576273,0.06639236783203015
4,all_stiffness_minus_10pct,mean_y_compression,0.002179953287032772,-0.0005685132446221577
4,all_stiffness_minus_10pct,final_y_compression,0.00465659690424791,-0.0010197603772288373
4,weak_springs_floor_to_q25,final_p_ratio,-0.11481005172042522,0.14067608525736766
4,weak_springs_floor_to_q25,mean_y_compression,0.0016665812882360191,-0.0010818852434189108
4,weak_springs_floor_to_q25,final_y_compression,0.0034589365369297165,-0.0022174207445470307
4,weak_springs_plus_25pct,final_p_ratio,-0.23959914283316053,0.01588699414463235
4,weak_springs_plus_25pct,mean_y_compression,0.0025267739959015495,-0.00022169253575338036
4,weak_springs_plus_25pct,final_y_compression,0.005269449045024421,-0.00040690823645232656
4,half_homogenize_to_mean,final_p_ratio,0.09993239041377633,0.3554185273915692
4,half_homogenize_to_mean,mean_y_compression,-0.002964549142934836,-0.005713015674589766
4,half_homogenize_to_mean,final_y_compression,-0.006544806623956034,-0.012221163905432781
5,baseline,final_p_ratio,-0.27811851376299157,0.0
5,baseline,mean_y_compression,0.0042974747278981705,0.0
5,baseline,final_y_compression,0.009117842854900714,0.0
5,all_stiffness_plus_10pct,final_p_ratio,-0.3318999977561,-0.05378148399310845
5,all_stiffness_plus_10pct,mean_y_compression,0.004828504026957621,0.0005310292990594505
5,all_stiffness_plus_10pct,final_y_compression,0.010095724026474595,0.0009778811715738817
5,all_stiffness_minus_10pct,final_p_ratio,-0.229855915970294,0.048262597792697565
5,all_stiffness_minus_10pct,mean_y_compression,0.004076256783742812,-0.00022121794415535818
5,all_stiffness_minus_10pct,final_y_compression,0.008619815747323229,-0.000498027107577485
5,weak_springs_floor_to_q25,final_p_ratio,-0.2536796154732463,0.02443889828974527
5,weak_springs_floor_to_q25,mean_y_compression,0.0034673583746672727,-0.0008301163532308978
5,weak_springs_floor_to_q25,final_y_compression,0.007549896660839704,-0.00156794619406101
5,weak_springs_plus_25pct,final_p_ratio,-0.2778745826860752,0.0002439310769163927
5,weak_springs_plus_25pct,mean_y_compression,0.0043108405929966715,1.3365865098501073e-05
5,weak_springs_plus_25pct,final_y_compression,0.009171424574384779,5.35817194840648e-05
5,half_homogenize_to_mean,final_p_ratio,0.18251753770578172,0.4606360514687733
5,half_homogenize_to_mean,mean_y_compression,-0.00468356732624821,-0.00898104205414638
5,half_homogenize_to_mean,final_y_compression,-0.010368916977262744,-0.019486759832163456
6,baseline,final_p_ratio,-0.30287841530880244,0.0
6,baseline,mean_y_compression,0.004015514984875311,0.0
6,baseline,final_y_compression,0.00877441311866567,0.0
6,all_stiffness_plus_10pct,final_p_ratio,-0.3626331823020348,-0.059754766993232344
6,all_stiffness_plus_10pct,mean_y_compression,0.004616132577231362,0.0006006175923560508
6,all_stiffness_plus_10pct,final_y_compression,0.009903823673052797,0.0011294105543871273
6,all_stiffness_minus_10pct,final_p_ratio,-0.2443608248409033,0.058517590467899144
6,all_stiffness_minus_10pct,mean_y_compression,0.0034057564346440623,-0.0006097585502312488
6,all_stiffness_minus_10pct,final_y_compression,0.007631589939480335,-0.0011428231791853344
6,weak_springs_floor_to_q25,final_p_ratio,-0.31973075498181874,-0.016852339673016303
6,weak_springs_floor_to_q25,mean_y_compression,0.0041143305931952215,9.881560831991043e-05
6,weak_springs_floor_to_q25,final_y_compression,0.008628676007397022,-0.00014573711126864702
6,weak_springs_plus_25pct,final_p_ratio,-0.2992597041971027,0.0036187111116997572
6,weak_springs_plus_25pct,mean_y_compression,0.0038768560508875625,-0.00013865893398774852
6,weak_springs_plus_25pct,final_y_compression,0.008510937803605838,-0.0002634753150598315
6,half_homogenize_to_mean,final_p_ratio,0.089788521456247,0.39266693676504943
6,half_homogenize_to_mean,mean_y_compression,-0.0035828516318446263,-0.007598366616719938
6,half_homogenize_to_mean,final_y_compression,-0.0076738000536236755,-0.016448213172289346
7,baseline,final_p_ratio,-0.2366571059012216,0.0
7,baseline,mean_y_compression,0.00303314427902485,0.0
7,baseline,final_y_compression,0.0059387496665034255,0.0
7,all_stiffness_plus_10pct,final_p_ratio,-0.27249871818021054,-0.03584161227898894
7,all_stiffness_plus_10pct,mean_y_compression,0.0033606182541555843,0.0003274739751307344
7,all_stiffness_plus_10pct,final_y_compression,0.006537035626806666,0.0005982859603032402
7,all_stiffness_minus_10pct,final_p_ratio,-0.18064883664748008,0.05600826925374153
7,all_stiffness_minus_10pct,mean_y_compression,0.0023651398837150014,-0.0006680043953098485
7,all_stiffness_minus_10pct,final_y_compression,0.00480552837845542,-0.0011332212880480058
7,weak_springs_floor_to_q25,final_p_ratio,0.28316880151116436,0.519825907412386
7,weak_springs_floor_to_q25,mean_y_compression,-0.006647296450526361,-0.00968044072955121
7,weak_springs_floor_to_q25,final_y_compression,-0.014708817633769872,-0.020647567300273298
7,weak_springs_plus_25pct,final_p_ratio,-0.23625653315625855,0.0004005727449630514
7,weak_springs_plus_25pct,mean_y_compression,0.0030425973475814725,9.453068556622597e-06
7,weak_springs_plus_25pct,final_y_compression,0.005929137174691449,-9.61249181197655e-06
7,half_homogenize_to_mean,final_p_ratio,0.1490960184998957,0.3857531244011173
7,half_homogenize_to_mean,mean_y_compression,-0.004433737360321296,-0.007466881639346146
7,half_homogenize_to_mean,final_y_compression,-0.009751426929319382,-0.015690176595822808
8,baseline,final_p_ratio,-0.3540187577060913,0.0
8,baseline,mean_y_compression,0.005784703287545685,0.0
8,baseline,final_y_compression,0.012299751685421741,0.0
8,all_stiffness_plus_10pct,final_p_ratio,-0.41560050289055817,-0.06158174518446685
8,all_stiffness_plus_10pct,mean_y_compression,0.006427879127630529,0.0006431758400848439
8,all_stiffness_plus_10pct,final_y_compression,0.01350854481943237,0.0012087931340106287
8,all_stiffness_minus_10pct,final_p_ratio,-0.2926971915673163,0.06132156613877504
8,all_stiffness_minus_10pct,mean_y_compression,0.005156134946638762,-0.0006285683409069228
8,all_stiffness_minus_10pct,final_y_compression,0.011113585003216969,-0.0011861666822047725
8,weak_springs_floor_to_q25,final_p_ratio,-0.34938063618322124,0.004638121522870076
8,weak_springs_floor_to_q25,mean_y_compression,0.005702965618140414,-8.173766940527093e-05
8,weak_springs_floor_to_q25,final_y_compression,0.011973111581367183,-0.00032664010405455794
8,weak_springs_plus_25pct,final_p_ratio,-0.3530836000147611,0.0009351576913302351
