dataset,split,sim_idx,frames,final_p_ratio,mean_y_compression,final_y_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames
Reid CV2,train,0,1500,0.03867895965791973,-0.0008369125442122263,-0.0015575053209040616,74,0.0,1500
Reid CV2,train,1,1500,-0.2691509251686252,0.003296555550411649,0.007168314650253626,58,0.0,1500
Reid CV2,train,2,1500,0.21035491246831667,-0.0032334928496677478,-0.006466393005442328,100,0.0,1500
Reid CV2,train,3,1500,-0.2879174109079594,0.004295564495844554,0.010044066596740306,49,0.0,1500
Reid CV2,train,4,1500,-0.32336614357869486,0.0011015691821772901,0.0016567322143073936,38,0.0,1500
Reid CV2,train,5,1500,-0.15711103408322405,0.0028629771931986004,0.005559591237416358,79,0.0,1500
Reid CV2,train,6,1500,0.005567729494897904,-0.0010492399275869287,-0.0021194362653031073,61,0.0,1500
Reid CV2,train,7,1500,0.3453760393512503,-0.003910393430532186,-0.007714141467279204,43,0.0,1500
Reid CV2,train,8,1500,-0.18996567826885782,0.0023785987172657754,0.005443877448225334,27,0.0,1500
Reid CV2,train,9,1500,0.3873779088920612,-0.005503483219918913,-0.010985003591026051,65,0.0,1500
Reid CV2,val,0,1500,-0.3112050286983445,0.004085773772783762,0.008549149708614496,25,0.0,1500
Reid CV2,val,1,1500,-0.32518965600620253,0.003260793904143675,0.006701917614162767,8,0.0,1500
Reid CV2,val,2,1500,-0.2983576891176249,0.002829513699684006,0.005867525711893754,60,0.0,1500
Reid CV2,val,3,1500,-0.1963377719651293,0.0017436884917549828,0.0031562748400428393,15,0.0,1500
Reid CV2,val,4,1500,0.27673880911901655,-0.004744269224883108,-0.009483461843947539,87,0.0,1500
Reid CV2,val,5,1500,-0.17738836707016928,0.0014351475217401631,0.0031472532354172417,35,0.0,1500
Reid CV2,val,6,1500,-0.33039033700227455,0.0025935121944820325,0.0047164623375092005,23,0.0,1500
Reid CV2,val,7,1500,-0.0036101382641459327,-0.00044993611839223526,-0.0007234814816828261,90,0.0,1500
Reid CV2,val,8,1500,-0.16665686710960664,0.002794074517003932,0.0060224135135969695,69,0.0,1500
Reid CV2,val,9,1500,0.0950451355151094,-0.0011598779272913298,-0.002127536638615925,53,0.0,1500
Reid CV2,val,10,1500,0.27081671507608296,-0.00421933731698533,-0.008408148681808385,55,0.0,1500
Reid CV2,val,11,1500,-0.2835927971877466,0.004908390656081363,0.01207209616527933,39,0.0,1500
Reid CV2,val,12,1500,0.32208064264084163,-0.004683005904339152,-0.009321093183276103,71,0.0,1500
Reid CV2,val,13,1500,-0.17404791264035285,0.0029158071159306057,0.006816159363346338,5,0.0,1500
Reid CV2,val,14,1500,0.1606833051492441,-0.0022235176784162823,-0.004360703966056613,94,0.0,1500
Reid CV2,val,15,1500,0.3524800528535854,-0.006632087885700135,-0.013405581600276006,51,0.0,1500
Reid CV2,val,16,1500,-0.21908872590380996,0.004231806400546569,0.009514397426452876,36,0.0,1500
Reid CV2,val,17,1500,0.22590702007093752,-0.003837457485037536,-0.007703405133994583,89,0.0,1500
Reid CV2,val,18,1500,-0.2343730856231202,0.0019831438880017044,0.004657460219432173,29,0.0,1500
Reid CV2,val,19,1500,-0.24075396534886645,0.0015989570065947749,0.0034108608329113596,14,0.0,1500
Reid CV2,test,0,1500,0.11757330529342082,-0.001409502428053798,-0.0027148059748058604,75,0.0,1500
Reid CV2,test,1,1500,0.20114686937290777,-0.0030388579020023546,-0.006080556789022766,91,0.0,1500
Reid CV2,test,2,1500,-0.06082767686482228,0.00018771491414357877,0.00048757888297657013,92,0.0,1500
Reid CV2,test,3,1500,0.26937916888526336,-0.003952240951982493,-0.007825990173103068,26,0.0,1500
Reid CV2,test,4,1500,-0.13510764728463107,-0.00145578944886353,-0.003194460044641062,13,0.0,1500
Reid CV2,test,5,1500,-0.33399938936466717,0.00368742976312317,0.008003038489131205,18,0.0,1500
Reid CV2,test,6,1500,0.21269403862426334,-0.0038188833928917997,-0.007669321292395551,68,0.0,1500
Reid CV2,test,7,1500,-0.19806003763724905,0.0025916288592371987,0.0056417340538501655,48,0.0,1500
Reid CV2,test,8,1500,-0.1515654324056017,-0.0013064846197176447,-0.004388449434958625,3,0.0,1500
Reid CV2,test,9,1500,-0.25379435107376286,0.004623680531614851,0.008552079742227603,45,0.0,1500
Reid CV2,test,10,1500,0.18079457023269338,-0.002490032239385756,-0.004948031490426542,97,0.0,1500
Reid CV2,test,11,1500,-0.12315607316120104,0.0030706358981991257,0.006037517627227954,83,0.0,1500
Reid CV2,test,12,1500,-0.04889763898242052,0.00030576188420207434,0.0007490626949704426,85,0.0,1500
Reid CV2,test,13,1500,-0.05914505731234828,0.0008568883592713744,-0.0009465292667657532,9,0.0,1500
Reid CV2,test,14,1500,0.19502236139423487,-0.003002065245740205,-0.006033802724361607,17,0.0,1500
Reid CV2,test,15,1500,0.14421983542156405,-0.0016989061314975791,-0.0032892452237881327,84,0.0,1500
Reid CV2,test,16,1500,0.12699982791696676,-0.0018565520425257236,-0.00368946018775434,78,0.0,1500
Reid CV2,test,17,1500,0.1295779047889524,-0.002588493791298309,-0.005264459873516699,70,0.0,1500
Reid CV2,test,18,1500,0.33742504039823745,-0.00517230121123735,-0.010325278246966291,1,0.0,1500
Reid CV2,test,19,1500,0.1677718678598186,-0.003107169793892455,-0.0062246147775035275,33,0.0,1500
Reid CV2,test,20,1500,0.2238599590476573,-0.0034897174872695422,-0.0071184933828027696,2,0.0,1500
Reid CV2,test,21,1500,-0.12771201037928526,0.0021187141020954214,0.004826137682664695,81,0.0,1500
Reid CV2,test,22,1500,-0.2504451898786599,0.0012243785298996495,0.0026773652663105913,32,0.0,1500
Reid CV2,test,23,1500,-0.13193082504033954,0.00021105951753166356,0.000575256482698055,86,0.0,1500
Reid CV2,test,24,1500,-0.06866933130407157,0.0017124727026073445,0.004146060534479113,30,0.0,1500
Reid CV2,test,25,1500,-0.1623723264424866,0.001967161598551325,0.0039026755699823733,21,0.0,1500
Reid CV2,test,26,1500,-0.03371838000065961,0.000186700861606936,0.0007497442036555506,44,0.0,1500
Reid CV2,test,27,1500,0.27772893013013333,-0.00440464292734234,-0.00882476145241445,52,0.0,1500
Reid CV2,test,28,1500,-0.1466582167541242,0.002789292053428019,0.006463714990554577,16,0.0,1500
Reid CV2,test,29,1500,-0.45901086920611844,0.004449223648226447,0.010407023992482077,22,0.0,1500
Reid CV2,test,30,1500,-0.30467685297745023,0.008192706920529693,0.018153368418554812,19,0.0,1500
Reid CV2,test,31,1500,-0.2124182814927736,0.0004024978715922029,-1.2549812974050631e-05,41,0.0,1500
Reid CV2,test,32,1500,0.2817123526652541,-0.004442466614413521,-0.008875978733115578,99,0.0,1500
Reid CV2,test,33,1500,0.1639582164351763,-0.0020262330747852207,-0.003988241858744801,59,0.0,1500
Reid CV2,test,34,1500,0.17250469509677205,-0.0017824446350747547,-0.003690840930641211,37,0.0,1500
Reid CV2,test,35,1500,0.02298076051167721,-0.00032368240017126217,-0.0004680543228050426,57,0.0,1500
Reid CV2,test,36,1500,-0.033541463369191324,-0.00045291454448184444,-0.0009385168715971722,88,0.0,1500
Reid CV2,test,37,1500,-0.08436423666781437,0.0008214740854510843,0.001760483767925583,82,0.0,1500
Reid CV2,test,38,1500,-0.20617802151122547,0.0013922344128690545,0.002992752310582764,10,0.0,1500
Reid CV2,test,39,1500,-0.21987798577425652,0.003122092253753351,0.00491312365998918,20,0.0,1500
Reid CV2,test,40,1500,0.24274224639077988,-0.0036534021251677443,-0.007299559017415978,64,0.0,1500
Reid CV2,test,41,1500,-0.40037890147830096,0.005247728885515227,0.010514086428470305,12,0.0,1500
Reid CV2,test,42,1500,0.24101002113566364,-0.0032445053337231363,-0.0063958834362738744,34,0.0,1500
Reid CV2,test,43,1500,0.15031615373850205,-0.0018777091310909141,-0.003916981899255081,95,0.0,1500
Reid CV2,test,44,1500,-0.14664002278276062,0.0026311786565249035,0.0057059356477687775,24,0.0,1500
Reid CV2,test,45,1500,-0.100209652453205,0.0024147332327413332,0.005456582822227633,56,0.0,1500
Reid CV2,test,46,1500,-0.08698580311493488,0.0006438328215366277,0.0007062501675513755,101,0.0,1500
Reid CV2,test,47,1500,0.2511593493496609,-0.0038226263747780103,-0.007806419674758215,11,0.0,1500
Reid CV2,test,48,1500,0.18341754005038485,-0.002592542669148504,-0.005213594444721814,63,0.0,1500
Reid CV2,test,49,1500,-0.2523187814106471,0.002074636419834636,0.004327154146942806,4,0.0,1500
Reid CV2,test,50,1500,0.3543707109293127,-0.005167542649299526,-0.010343381355310355,73,0.0,1500
Reid CV2,test,51,1500,-0.06695112756186168,0.0017388347573183572,0.0037749625602181043,66,0.0,1500
Reid CV2,test,52,1500,-0.17377978528774052,0.00234543797796285,0.0050164445481524385,42,0.0,1500
Reid CV2,test,53,1500,-0.3979398483632574,0.005416046087993795,0.011508403210153709,40,0.0,1500
Reid CV2,test,54,1500,-0.2360464098886152,0.003122907827842005,0.007072242009126786,47,0.0,1500
Reid CV2,test,55,1500,0.0729596003150843,-0.0005591786358534221,-0.0008657939271904526,96,0.0,1500
