target,descriptor,standardized_weight,target_r2
final_p_ratio,edge_len_mean,0.0018700360999474176,0.9369931954245364
final_p_ratio,edge_len_std,-0.040671536279971644,0.9369931954245364
final_p_ratio,edge_len_min,-0.017930769606500727,0.9369931954245364
final_p_ratio,edge_len_max,0.03683482196889558,0.9369931954245364
final_p_ratio,stiffness_mean,0.27721588523384066,0.9369931954245364
final_p_ratio,stiffness_std,-1.5283324291749145,0.9369931954245364
final_p_ratio,stiffness_min,-0.412496077967587,0.9369931954245364
final_p_ratio,stiffness_max,0.08472062753601743,0.9369931954245364
final_p_ratio,hessian_lambda1,0.007595900423338954,0.9369931954245364
final_p_ratio,hessian_lambda2,7.848688013039914e-14,0.9369931954245364
final_p_ratio,hessian_lambda3,0.02468250929644277,0.9369931954245364
final_p_ratio,hessian_lambda4,-0.03546587856670739,0.9369931954245364
final_p_ratio,hessian_lambda5,0.2217835976219916,0.9369931954245364
final_p_ratio,hessian_lambda6,0.19839308065577746,0.9369931954245364
final_p_ratio,hessian_lambda7,0.056639897693030405,0.9369931954245364
final_p_ratio,hessian_lambda8,0.075364232846467,0.9369931954245364
final_p_ratio,hessian_lambda9,-0.39343576165734223,0.9369931954245364
final_p_ratio,hessian_lambda10,0.9619933013288033,0.9369931954245364
final_p_ratio,hessian_lambda11,-0.6368220507736193,0.9369931954245364
final_p_ratio,hessian_lambda12,-0.3320855598659463,0.9369931954245364
final_p_ratio,hessian_mode5_participation,0.02909472296457728,0.9369931954245364
final_p_ratio,hessian_mode5_x_fraction,0.006191394415739468,0.9369931954245364
final_p_ratio,hessian_mode6_participation,0.040185069242912916,0.9369931954245364
final_p_ratio,hessian_mode6_x_fraction,-0.00866817440234496,0.9369931954245364
final_p_ratio,hessian_gap_6_5,-0.009380567883802798,0.9369931954245364
mean_y_compression,edge_len_mean,0.011025884224480947,0.8167102896835572
mean_y_compression,edge_len_std,0.12270452298084308,0.8167102896835572
mean_y_compression,edge_len_min,0.04007374422875167,0.8167102896835572
mean_y_compression,edge_len_max,-0.18373266770768665,0.8167102896835572
mean_y_compression,stiffness_mean,-0.2606337823234607,0.8167102896835572
mean_y_compression,stiffness_std,1.0345825811494114,0.8167102896835572
mean_y_compression,stiffness_min,0.20377972108920153,0.8167102896835572
mean_y_compression,stiffness_max,0.05462921248213112,0.8167102896835572
mean_y_compression,hessian_lambda1,-0.0283846117664498,0.8167102896835572
mean_y_compression,hessian_lambda2,-3.464806467446202e-14,0.8167102896835572
mean_y_compression,hessian_lambda3,0.016983903629519237,0.8167102896835572
mean_y_compression,hessian_lambda4,0.05405305531308897,0.8167102896835572
mean_y_compression,hessian_lambda5,-0.2204463730245807,0.8167102896835572
mean_y_compression,hessian_lambda6,-0.1967749518720307,0.8167102896835572
mean_y_compression,hessian_lambda7,0.12668721605681973,0.8167102896835572
mean_y_compression,hessian_lambda8,-0.01523855725624281,0.8167102896835572
mean_y_compression,hessian_lambda9,0.5050008811431029,0.8167102896835572
mean_y_compression,hessian_lambda10,-0.2853456832351484,0.8167102896835572
mean_y_compression,hessian_lambda11,-0.03997243666140766,0.8167102896835572
mean_y_compression,hessian_lambda12,-0.10367954006887281,0.8167102896835572
mean_y_compression,hessian_mode5_participation,-0.09718860939454062,0.8167102896835572
mean_y_compression,hessian_mode5_x_fraction,-0.09006454763867022,0.8167102896835572
mean_y_compression,hessian_mode6_participation,-0.1048493170339659,0.8167102896835572
mean_y_compression,hessian_mode6_x_fraction,-0.047559196139538684,0.8167102896835572
mean_y_compression,hessian_gap_6_5,0.011958093480304695,0.8167102896835572
final_y_compression,edge_len_mean,0.0053770563707371405,0.7888876614143645
final_y_compression,edge_len_std,0.11680537923768368,0.7888876614143645
final_y_compression,edge_len_min,0.042603607957253736,0.7888876614143645
final_y_compression,edge_len_max,-0.19341239487528358,0.7888876614143645
final_y_compression,stiffness_mean,-0.2833527156689698,0.7888876614143645
final_y_compression,stiffness_std,0.9336292802346047,0.7888876614143645
final_y_compression,stiffness_min,0.1952483242868905,0.7888876614143645
final_y_compression,stiffness_max,0.1180744508074118,0.7888876614143645
final_y_compression,hessian_lambda1,-0.02110150231296617,0.7888876614143645
final_y_compression,hessian_lambda2,-6.001708730198568e-14,0.7888876614143645
final_y_compression,hessian_lambda3,0.012129383089626671,0.7888876614143645
final_y_compression,hessian_lambda4,0.04307131349407616,0.7888876614143645
final_y_compression,hessian_lambda5,-0.23283633339477655,0.7888876614143645
final_y_compression,hessian_lambda6,-0.2066915088285548,0.7888876614143645
final_y_compression,hessian_lambda7,0.16694158506471013,0.7888876614143645
final_y_compression,hessian_lambda8,0.003781247013649037,0.7888876614143645
final_y_compression,hessian_lambda9,0.5027019960549707,0.7888876614143645
final_y_compression,hessian_lambda10,-0.44746845973483707,0.7888876614143645
final_y_compression,hessian_lambda11,-0.004008607073996341,0.7888876614143645
final_y_compression,hessian_lambda12,-0.04799296829933562,0.7888876614143645
final_y_compression,hessian_mode5_participation,-0.09210087448765905,0.7888876614143645
final_y_compression,hessian_mode5_x_fraction,-0.11323651051328167,0.7888876614143645
final_y_compression,hessian_mode6_participation,-0.12402394449589367,0.7888876614143645
final_y_compression,hessian_mode6_x_fraction,-0.07230466770718895,0.7888876614143645
final_y_compression,hessian_gap_6_5,0.019765628995981183,0.7888876614143645
