target,descriptor,mse_increase_when_permuted,mse_increase_std,target_r2
final_p_ratio,edge_len_mean,-5.247033424085222e-06,9.973087818282692e-05,0.9369931954245364
final_p_ratio,edge_len_std,0.0031301501581279664,0.001716959750256349,0.9369931954245364
final_p_ratio,edge_len_min,0.0007866784719741876,0.0009148698290767995,0.9369931954245364
final_p_ratio,edge_len_max,0.00281579224385375,0.0016357913311108281,0.9369931954245364
final_p_ratio,stiffness_mean,0.15308659668573293,0.021549442513267153,0.9369931954245364
final_p_ratio,stiffness_std,4.588168871495045,0.4986055046668082,0.9369931954245364
final_p_ratio,stiffness_min,0.3472016966798467,0.040916533199883,0.9369931954245364
final_p_ratio,stiffness_max,0.013322543339650297,0.003957895856020578,0.9369931954245364
final_p_ratio,hessian_lambda1,0.00016091206554419966,0.0004322369323359004,0.9369931954245364
final_p_ratio,hessian_lambda2,0.0,0.0,0.9369931954245364
final_p_ratio,hessian_lambda3,0.0011741313682308019,0.0009882648998126532,0.9369931954245364
final_p_ratio,hessian_lambda4,0.0026458569212819455,0.0016049468828646777,0.9369931954245364
final_p_ratio,hessian_lambda5,0.09661016259730992,0.011891868105676716,0.9369931954245364
final_p_ratio,hessian_lambda6,0.07786766950587323,0.012540098549347439,0.9369931954245364
final_p_ratio,hessian_lambda7,0.006737925263563129,0.0025790712675080913,0.9369931954245364
final_p_ratio,hessian_lambda8,0.010806198837686555,0.003771603184827987,0.9369931954245364
final_p_ratio,hessian_lambda9,0.31255625687011657,0.03959922690028405,0.9369931954245364
final_p_ratio,hessian_lambda10,1.8330656164387935,0.19970455813080476,0.9369931954245364
final_p_ratio,hessian_lambda11,0.8273904310683944,0.08027871219553243,0.9369931954245364
final_p_ratio,hessian_lambda12,0.21405140412489904,0.02905259967914395,0.9369931954245364
final_p_ratio,hessian_mode5_participation,0.0015888620563481318,0.0015292679132560313,0.9369931954245364
final_p_ratio,hessian_mode5_x_fraction,1.9359888118248257e-05,0.00029788572246893067,0.9369931954245364
final_p_ratio,hessian_mode6_participation,0.0033290591621115183,0.0017847529253754814,0.9369931954245364
final_p_ratio,hessian_mode6_x_fraction,4.806793935509463e-05,0.00047708406019937463,0.9369931954245364
final_p_ratio,hessian_gap_6_5,0.00025995801133410197,0.000437552406774826,0.9369931954245364
mean_y_compression,edge_len_mean,0.0003144285277303866,0.0010373395585531256,0.8167102896835572
mean_y_compression,edge_len_std,0.03197026541957592,0.012401416601867159,0.8167102896835572
mean_y_compression,edge_len_min,0.00339987093455041,0.003744379575144712,0.8167102896835572
mean_y_compression,edge_len_max,0.06888256257069542,0.018255218725050586,0.8167102896835572
mean_y_compression,stiffness_mean,0.13094339124808693,0.028690678554981464,0.8167102896835572
mean_y_compression,stiffness_std,2.1421124075005835,0.2313863267814945,0.8167102896835572
mean_y_compression,stiffness_min,0.08550750240263774,0.02289767179491783,0.8167102896835572
mean_y_compression,stiffness_max,0.006438644228070774,0.004100446630389043,0.8167102896835572
mean_y_compression,hessian_lambda1,0.0016951762673710472,0.0023388524402216107,0.8167102896835572
mean_y_compression,hessian_lambda2,0.0,0.0,0.8167102896835572
mean_y_compression,hessian_lambda3,0.0004849297223990254,0.0015479228714468628,0.8167102896835572
mean_y_compression,hessian_lambda4,0.0066582533967930084,0.004181568424666902,0.8167102896835572
mean_y_compression,hessian_lambda5,0.09513634083708658,0.018468290810375133,0.8167102896835572
mean_y_compression,hessian_lambda6,0.07791005512667512,0.020043736197665717,0.8167102896835572
mean_y_compression,hessian_lambda7,0.02852382285282084,0.010040834003078938,0.8167102896835572
mean_y_compression,hessian_lambda8,0.00045461530176149146,0.001273619946268053,0.8167102896835572
mean_y_compression,hessian_lambda9,0.5170684089894388,0.07539337480724577,0.8167102896835572
mean_y_compression,hessian_lambda10,0.1697718128951327,0.027661866335106568,0.8167102896835572
mean_y_compression,hessian_lambda11,0.0032203206314044856,0.0036718148616061127,0.8167102896835572
mean_y_compression,hessian_lambda12,0.020747843721200532,0.008940325483078257,0.8167102896835572
mean_y_compression,hessian_mode5_participation,0.020437973586878565,0.00805034201921727,0.8167102896835572
mean_y_compression,hessian_mode5_x_fraction,0.01639219855744623,0.008388114612506659,0.8167102896835572
mean_y_compression,hessian_mode6_participation,0.0210005282560941,0.008634391310016861,0.8167102896835572
mean_y_compression,hessian_mode6_x_fraction,0.004172161589972233,0.004031157303432364,0.8167102896835572
mean_y_compression,hessian_gap_6_5,0.0005966804535919327,0.0008832831080993873,0.8167102896835572
final_y_compression,edge_len_mean,-2.08266357644947e-06,0.0004793239139319482,0.7888876614143645
final_y_compression,edge_len_std,0.02742612068385353,0.011767669789162556,0.7888876614143645
final_y_compression,edge_len_min,0.0034303546249719137,0.00382995630452967,0.7888876614143645
final_y_compression,edge_len_max,0.07609276281735822,0.01734282046758901,0.7888876614143645
final_y_compression,stiffness_mean,0.16355953773124846,0.032603143054471366,0.7888876614143645
final_y_compression,stiffness_std,1.7187157212625235,0.1851302448933518,0.7888876614143645
final_y_compression,stiffness_min,0.08015775560713337,0.017719038788557923,0.7888876614143645
final_y_compression,stiffness_max,0.029958052823465822,0.009543593884408017,0.7888876614143645
final_y_compression,hessian_lambda1,0.0009394820350430229,0.002121150065493592,0.7888876614143645
final_y_compression,hessian_lambda2,0.0,0.0,0.7888876614143645
final_y_compression,hessian_lambda3,0.0003464648424570567,0.0013487508415792335,0.7888876614143645
final_y_compression,hessian_lambda4,0.004540127710432825,0.0037726677473926664,0.7888876614143645
final_y_compression,hessian_lambda5,0.10867660343057722,0.02400666662897621,0.7888876614143645
final_y_compression,hessian_lambda6,0.0836302869543143,0.020313889435049602,0.7888876614143645
final_y_compression,hessian_lambda7,0.05979163547710593,0.015963607707680464,0.7888876614143645
final_y_compression,hessian_lambda8,1.7450962194582708e-05,0.00032339470766010344,0.7888876614143645
final_y_compression,hessian_lambda9,0.5021074573389901,0.06012520902045681,0.7888876614143645
final_y_compression,hessian_lambda10,0.40590711437132176,0.046558992988470035,0.7888876614143645
final_y_compression,hessian_lambda11,2.0420373322733564e-05,0.00032103548523207116,0.7888876614143645
final_y_compression,hessian_lambda12,0.00480749187802659,0.004326377707550346,0.7888876614143645
final_y_compression,hessian_mode5_participation,0.018039529931077873,0.00895399852208568,0.7888876614143645
final_y_compression,hessian_mode5_x_fraction,0.02630870051011953,0.009252273960429673,0.7888876614143645
final_y_compression,hessian_mode6_participation,0.03290783031136311,0.011500055153875593,0.7888876614143645
final_y_compression,hessian_mode6_x_fraction,0.011673084612385648,0.006916865467394613,0.7888876614143645
final_y_compression,hessian_gap_6_5,0.0006216445352405634,0.0018995153857977922,0.7888876614143645
