target,descriptor,mse_increase_when_permuted,mse_increase_std,target_r2
mean_axis_p_ratio,node_count,0.2819425275160773,0.030847647003921442,0.9954587846914672
mean_axis_p_ratio,edge_count,0.7888430101158881,0.09299909349420382,0.9954587846914672
mean_axis_p_ratio,edge_density,0.15073633297409272,0.01673235430593883,0.9954587846914672
mean_axis_p_ratio,mean_degree,0.0046295810802369835,0.0009340170274247604,0.9954587846914672
mean_axis_p_ratio,std_degree,0.002167913199148951,0.0005853246175847289,0.9954587846914672
mean_axis_p_ratio,max_degree,0.0010033845163918806,0.0003940714094067004,0.9954587846914672
mean_axis_p_ratio,min_degree,0.0022061926908564858,0.0007518489685073126,0.9954587846914672
mean_axis_p_ratio,x_span0,0.2255824684031999,0.027056084854034268,0.9954587846914672
mean_axis_p_ratio,y_span0,0.7223288687659254,0.07789516218563496,0.9954587846914672
mean_axis_p_ratio,aspect_ratio0,5.979552249958848e-07,2.127042964506804e-05,0.9954587846914672
mean_axis_p_ratio,x_center0,0.0005564052358737522,0.0003053655686710566,0.9954587846914672
mean_axis_p_ratio,y_center0,0.0033117663391949567,0.0007812464229736595,0.9954587846914672
mean_axis_p_ratio,edge_len_mean,0.15403139977202338,0.019452348947567536,0.9954587846914672
mean_axis_p_ratio,edge_len_std,0.44479095974734373,0.05075709065031742,0.9954587846914672
mean_axis_p_ratio,edge_len_min,0.012394872858932092,0.001791127110903801,0.9954587846914672
mean_axis_p_ratio,edge_len_max,0.000543851522760208,0.0002651916442815683,0.9954587846914672
mean_axis_p_ratio,stiffness_mean,0.11497986611086627,0.017705434065956944,0.9954587846914672
mean_axis_p_ratio,stiffness_std,0.9045588350100822,0.10553247789536932,0.9954587846914672
mean_axis_p_ratio,stiffness_min,0.01965833762385915,0.0032664006087412623,0.9954587846914672
mean_axis_p_ratio,stiffness_max,0.04057998091086631,0.005165526183454403,0.9954587846914672
mean_axis_p_ratio,left_mean_degree,0.0007623100062695733,0.0003536418300711793,0.9954587846914672
mean_axis_p_ratio,right_mean_degree,0.0002917373962834128,0.0002065281723623037,0.9954587846914672
mean_axis_p_ratio,top_mean_degree,0.0036916185111299502,0.000755775785408615,0.9954587846914672
mean_axis_p_ratio,bottom_mean_degree,0.0009504596762527989,0.0003764522759942529,0.9954587846914672
mean_axis_p_ratio,left_right_degree_asymmetry,6.831874416607947e-05,9.447430806645812e-05,0.9954587846914672
