dataset,split,sim_idx,frames,final_p_ratio,mean_x_compression,final_x_compression,mean_axis_p_ratio,initial_axis_p_ratio,final_axis_p_ratio,slope_axis_p_ratio,range_axis_p_ratio,early_slope_axis_p_ratio,mean_axis_x_compression,initial_axis_x_compression,final_axis_x_compression,slope_axis_x_compression,range_axis_x_compression,early_slope_axis_x_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames
dePablo CV2,test,0,157,0.1530195983709399,0.00521519000944766,0.0104359503280486,0.9932928038449018,0.8296180220574163,1.144622374830327,0.3150043527729107,0.3150043527729107,0.34120932337079174,0.036634972581936966,-1.8961952041679333,1.9727003194030133,3.868895523570947,3.868895523570947,3.856852243351508,67,2.7755575615628914e-17,157
dePablo CV2,test,1,121,-0.2469577020921137,0.003580198405730988,0.0070975691877715,-0.7402990764798707,-0.6966452612746995,-0.8196440952744579,-0.12299883399975842,0.1257495904698499,-0.04405877360020716,-0.012718537978244064,-1.1874755597391569,1.2272358528310447,2.4147114125702016,2.4147114125702016,2.244278075951126,69,5.551115123125783e-17,121
dePablo CV2,test,2,146,0.0034385083193314,0.00517491753637718,0.0103439418115425,0.4503719528531907,0.3775776826597268,0.5095018800022153,0.1319241973424885,0.1319241973424885,0.15823988756596846,-0.1261092316938626,-1.7608919746340197,1.481723762553414,3.2426157371874336,3.2426157371874336,3.2894677141898123,15,7.936359902593892e-17,146
dePablo CV2,test,3,149,-0.3408093698103313,0.005240204903633684,0.0102045063208316,-1.2620253593150725,-1.1569643234620453,-1.448510902277075,-0.29154657881502977,0.29425278676769406,-0.11582807435633174,-0.09754216838095993,-1.2394894889105708,1.1744654581878329,2.4139549470984036,2.4139549470984036,2.0874489387910944,83,0.0,149
dePablo CV2,test,4,158,-0.1228363174122356,0.004584875652151397,0.0091382314423096,0.035454872220308,0.0245469454329681,0.0230437194074372,-0.0015032260255309002,0.0178516822929886,0.04357489798607163,-0.28421898891823827,-1.7267089204052093,1.1397587745611413,2.8664676949663503,2.8664676949663503,2.8888835812672036,65,2.7755575615628914e-17,158
dePablo CV2,test,5,177,-0.4243771285176554,0.00512759610176795,0.0103049639874723,-1.1342396658384046,-0.909076511256472,-1.4602518208748223,-0.5511753096183503,0.5546830662536159,-0.3323264150903705,0.14079376641525493,-1.3428687846488343,1.883720617327426,3.22658940197626,3.22658940197626,2.6274467987881227,47,5.551115123125783e-17,177
dePablo CV2,test,6,154,-0.3836751706292006,0.0046908258739849955,0.0093633507560799,-0.8136458502796402,-0.6592814452756632,-1.0735902480855652,-0.414308802809902,0.41778331712818695,-0.1855153449706873,0.1085255625958761,-1.2308478045687623,1.5842692881175098,2.815117092686272,2.815117092686272,2.4956521483064313,16,0.0,154
dePablo CV2,test,7,137,0.1617624471516454,0.004532736437131622,0.0090144648993035,1.0241609040034307,0.9022517993782626,1.1367520737642636,0.23450027438600096,0.23450027438600096,0.2551760346512107,-0.06353886522974064,-1.9930029631122408,1.8698404694795885,3.8628434325918293,3.8628434325918293,3.854267975747294,18,8.326672684688674e-17,137
dePablo CV2,test,8,139,-0.204619104548757,0.003934815465087761,0.007829678862891,-0.46661510143107787,-0.472705595941987,-0.4917697254275677,-0.019064129485580672,0.03363761474690502,0.04358819218900906,-0.19572840453799945,-1.5933795184345836,1.207548660956859,2.800928179391443,2.800928179391443,2.777115318693833,37,0.0,139
dePablo CV2,test,9,188,-0.2792191185246228,0.005533290344475923,0.0111512815125754,-0.8620458599552204,-0.7496602514977337,-1.053811359941362,-0.30415110844362836,0.3085039166358139,-0.13166852434852602,0.13328634266473582,-1.358581775125678,1.7773018350356091,3.135883610161287,3.135883610161287,2.7904392457446288,82,0.0,188
