target,descriptor,standardized_weight,target_r2
mean_axis_p_ratio,node_count,-0.37088799261061706,0.9954587846914672
mean_axis_p_ratio,edge_count,-0.6197445195525224,0.9954587846914672
mean_axis_p_ratio,edge_density,0.27372390147745645,0.9954587846914672
mean_axis_p_ratio,mean_degree,0.04864751630274405,0.9954587846914672
mean_axis_p_ratio,std_degree,0.03338014505350229,0.9954587846914672
mean_axis_p_ratio,max_degree,-0.022862554884570282,0.9954587846914672
mean_axis_p_ratio,min_degree,-0.033552672271821626,0.9954587846914672
mean_axis_p_ratio,x_span0,0.33463318808022735,0.9954587846914672
mean_axis_p_ratio,y_span0,0.6125343564971347,0.9954587846914672
mean_axis_p_ratio,aspect_ratio0,0.0012958146589918912,0.9954587846914672
mean_axis_p_ratio,x_center0,0.016730836907889082,0.9954587846914672
mean_axis_p_ratio,y_center0,0.039036689388679435,0.9954587846914672
mean_axis_p_ratio,edge_len_mean,-0.2834283832790139,0.9954587846914672
mean_axis_p_ratio,edge_len_std,0.4740999430123095,0.9954587846914672
mean_axis_p_ratio,edge_len_min,-0.07932739129668956,0.9954587846914672
mean_axis_p_ratio,edge_len_max,0.016074417211021652,0.9954587846914672
mean_axis_p_ratio,stiffness_mean,0.23975376241928234,0.9954587846914672
mean_axis_p_ratio,stiffness_std,-0.6757762737973719,0.9954587846914672
mean_axis_p_ratio,stiffness_min,0.10031600542666148,0.9954587846914672
mean_axis_p_ratio,stiffness_max,0.14113638138488166,0.9954587846914672
mean_axis_p_ratio,left_mean_degree,-0.019208149337142866,0.9954587846914672
mean_axis_p_ratio,right_mean_degree,-0.012277954262103426,0.9954587846914672
mean_axis_p_ratio,top_mean_degree,-0.041858636947894226,0.9954587846914672
mean_axis_p_ratio,bottom_mean_degree,-0.022679456809342524,0.9954587846914672
mean_axis_p_ratio,left_right_degree_asymmetry,0.006978655780634051,0.9954587846914672
mean_axis_p_ratio,top_bottom_degree_asymmetry,-0.01285146777763255,0.9954587846914672
mean_axis_p_ratio,hessian_lambda1,0.013616884060882246,0.9954587846914672
mean_axis_p_ratio,hessian_lambda2,-5.5946705208203646e-14,0.9954587846914672
mean_axis_p_ratio,hessian_lambda3,0.028452283510962694,0.9954587846914672
mean_axis_p_ratio,hessian_lambda4,0.05216969735751893,0.9954587846914672
mean_axis_p_ratio,hessian_lambda5,0.028590671965048303,0.9954587846914672
mean_axis_p_ratio,hessian_lambda6,0.03058409685005654,0.9954587846914672
mean_axis_p_ratio,hessian_lambda7,0.009257162964142791,0.9954587846914672
mean_axis_p_ratio,hessian_lambda8,-0.2412901608466256,0.9954587846914672
mean_axis_p_ratio,hessian_lambda9,0.03865864986972602,0.9954587846914672
mean_axis_p_ratio,hessian_lambda10,-0.35152802814147494,0.9954587846914672
mean_axis_p_ratio,hessian_lambda11,0.20781018622407596,0.9954587846914672
mean_axis_p_ratio,hessian_lambda12,0.3671669240589036,0.9954587846914672
mean_axis_p_ratio,hessian_mode5_participation,0.012054260189063663,0.9954587846914672
mean_axis_p_ratio,hessian_mode5_x_fraction,0.01932601716315741,0.9954587846914672
mean_axis_p_ratio,hessian_mode6_participation,0.0516827023869038,0.9954587846914672
mean_axis_p_ratio,hessian_mode6_x_fraction,0.04309633962821053,0.9954587846914672
mean_axis_p_ratio,hessian_gap_6_5,0.016469002937516936,0.9954587846914672
initial_axis_p_ratio,node_count,-0.24597153666046195,0.9954019558436302
initial_axis_p_ratio,edge_count,-0.5543173470686231,0.9954019558436302
initial_axis_p_ratio,edge_density,0.17286659526575746,0.9954019558436302
initial_axis_p_ratio,mean_degree,0.014084814114733847,0.9954019558436302
initial_axis_p_ratio,std_degree,0.01716426482762836,0.9954019558436302
initial_axis_p_ratio,max_degree,-0.020349997384831897,0.9954019558436302
initial_axis_p_ratio,min_degree,-0.02612533495983788,0.9954019558436302
initial_axis_p_ratio,x_span0,0.2766175503268224,0.9954019558436302
initial_axis_p_ratio,y_span0,0.4544206328732272,0.9954019558436302
initial_axis_p_ratio,aspect_ratio0,0.004601849523165949,0.9954019558436302
initial_axis_p_ratio,x_center0,0.026048742802127375,0.9954019558436302
initial_axis_p_ratio,y_center0,0.04128294933178675,0.9954019558436302
initial_axis_p_ratio,edge_len_mean,-0.2178222960418722,0.9954019558436302
initial_axis_p_ratio,edge_len_std,0.428722563239945,0.9954019558436302
initial_axis_p_ratio,edge_len_min,-0.022078978121592284,0.9954019558436302
initial_axis_p_ratio,edge_len_max,0.010505529399863942,0.9954019558436302
initial_axis_p_ratio,stiffness_mean,0.2277471544475839,0.9954019558436302
initial_axis_p_ratio,stiffness_std,-0.6209593462601876,0.9954019558436302
initial_axis_p_ratio,stiffness_min,0.12913879548546095,0.9954019558436302
initial_axis_p_ratio,stiffness_max,0.13557054595134113,0.9954019558436302
initial_axis_p_ratio,left_mean_degree,-0.011792722469294406,0.9954019558436302
