case,case_short,train_sim_index,final_p_ratio,original_sim_idx,dataset_final_p_ratio,frames
low final p-ratio,low_p,61,-0.5734598575106268,61,-0.5734598575106268,111
high final p-ratio,high_p,56,0.40844515428566636,56,0.40844515428566636,130
