case,case_short,dataset,sim_idx,epoch,train_mse_norm
low final p-ratio,low_p,low_p CV2 sim-61,61,85,0.0017197997533782785
low final p-ratio,low_p,low_p CV2 sim-61,61,86,0.0016587429314053484
low final p-ratio,low_p,low_p CV2 sim-61,61,87,0.0007531991681649483
low final p-ratio,low_p,low_p CV2 sim-61,61,88,0.0007126533413871325
low final p-ratio,low_p,low_p CV2 sim-61,61,89,0.0005369340381418754
low final p-ratio,low_p,low_p CV2 sim-61,61,90,0.0006861330641965781
low final p-ratio,low_p,low_p CV2 sim-61,61,91,0.0036473129210727556
low final p-ratio,low_p,low_p CV2 sim-61,61,92,0.0023507684028507875
low final p-ratio,low_p,low_p CV2 sim-61,61,93,0.002403394427217011
low final p-ratio,low_p,low_p CV2 sim-61,61,94,0.002688995940843597
low final p-ratio,low_p,low_p CV2 sim-61,61,95,0.0011426866299838626
low final p-ratio,low_p,low_p CV2 sim-61,61,96,0.0009155174567630249
low final p-ratio,low_p,low_p CV2 sim-61,61,97,0.0005752283551763478
low final p-ratio,low_p,low_p CV2 sim-61,61,98,0.0008707484687745039
low final p-ratio,low_p,low_p CV2 sim-61,61,99,0.0005034602010190221
low final p-ratio,low_p,low_p CV2 sim-61,61,100,0.000424037899522643
low final p-ratio,low_p,low_p CV2 sim-61,61,101,0.00044612829099475803
low final p-ratio,low_p,low_p CV2 sim-61,61,102,0.0005338029607498486
low final p-ratio,low_p,low_p CV2 sim-61,61,103,0.0010953239668326984
low final p-ratio,low_p,low_p CV2 sim-61,61,104,0.0007841523121377188
low final p-ratio,low_p,low_p CV2 sim-61,61,105,0.0017030360426620714
low final p-ratio,low_p,low_p CV2 sim-61,61,106,0.002204353334881099
low final p-ratio,low_p,low_p CV2 sim-61,61,107,0.010153659530000627
low final p-ratio,low_p,low_p CV2 sim-61,61,108,0.020584876782127788
low final p-ratio,low_p,low_p CV2 sim-61,61,109,0.007083053733887417
low final p-ratio,low_p,low_p CV2 sim-61,61,110,0.0029134955423484954
low final p-ratio,low_p,low_p CV2 sim-61,61,111,0.0018716705630400351
low final p-ratio,low_p,low_p CV2 sim-61,61,112,0.001845419714559934
low final p-ratio,low_p,low_p CV2 sim-61,61,113,0.0013110299644592618
low final p-ratio,low_p,low_p CV2 sim-61,61,114,0.0005098434672358312
low final p-ratio,low_p,low_p CV2 sim-61,61,115,0.00031468140722219165
low final p-ratio,low_p,low_p CV2 sim-61,61,116,0.0002860734124884142
low final p-ratio,low_p,low_p CV2 sim-61,61,117,0.00029184816230554134
low final p-ratio,low_p,low_p CV2 sim-61,61,118,0.00024071461562665978
low final p-ratio,low_p,low_p CV2 sim-61,61,119,0.0002020515249958927
low final p-ratio,low_p,low_p CV2 sim-61,61,120,0.00019051873303916573
low final p-ratio,low_p,low_p CV2 sim-61,61,121,0.000170644554080874
low final p-ratio,low_p,low_p CV2 sim-61,61,122,0.00017361040954710916
low final p-ratio,low_p,low_p CV2 sim-61,61,123,0.0001718340723268089
low final p-ratio,low_p,low_p CV2 sim-61,61,124,0.0001823272998860505
low final p-ratio,low_p,low_p CV2 sim-61,61,125,0.00015759543280832337
low final p-ratio,low_p,low_p CV2 sim-61,61,126,0.0001546507524575905
low final p-ratio,low_p,low_p CV2 sim-61,61,127,0.00013550772460543418
low final p-ratio,low_p,low_p CV2 sim-61,61,128,0.00012876430836123682
low final p-ratio,low_p,low_p CV2 sim-61,61,129,0.00013190462466029982
low final p-ratio,low_p,low_p CV2 sim-61,61,130,0.00012603072900674306
