case_short,latent,strain,pearson_r,corr_r2,n
low_p,z0,horizontal_strain,-0.9998318948320867,0.9996638179235209,111
low_p,z0,vertical_strain,-0.9996497991467708,0.9992997209341792,111
low_p,z1,horizontal_strain,0.9996815491436215,0.999363199698191,111
low_p,z1,vertical_strain,0.9996969169112208,0.9993939256818002,111
high_p,z0,horizontal_strain,0.9999520126994403,0.9999040277016616,130
high_p,z0,vertical_strain,-0.9999532881291354,0.9999065784402698,130
high_p,z1,horizontal_strain,-0.9999991630835335,0.9999983261677675,130
high_p,z1,vertical_strain,0.9999988050907529,0.9999976101829336,130
