case,case_short,original_sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,horizontal_strain,x_compression,vertical_strain,mean_abs_x_disp,mean_abs_y_disp,mean_x_disp,mean_y_disp,rms_disp,max_node_disp,z0,z1,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,soft_mode_gap_6_5
low final p-ratio,low_p,61,14,0.12727272727272726,-0.4198193222612332,-0.5734598575106268,-0.0013461163389806403,0.0013461163389806403,-0.00048031246062569903,0.00362907606177032,0.0018537672003731132,-0.0003439658903516829,0.00012379289546515793,0.004721167962998152,0.008507742546498775,-0.9709978103637695,2.365434408187866,-0.001452767643155757,1.1990455425680075e-15,1.544306948740036e-15,0.029937393270277335,0.04104644676123606,0.04824505523487172,0.06068467801252306,0.0728403579839687,0.08049553840106662,0.09960405535147981,0.10996057780983282,0.12684934300071415,0.007198608473635661
low final p-ratio,low_p,61,15,0.13636363636363635,-0.42786124613345117,-0.5734598575106268,-0.0014420111029384993,0.0014420111029384993,-0.0005255956073273663,0.0038957560900598764,0.00203263433650136,-0.00036883645225316286,0.00013504148228093982,0.0050879232585430145,0.009123913943767548,-0.9238135814666748,2.3638291358947754,-0.001567722886485694,2.615587648999875e-16,2.267206332565995e-15,0.02986718034763541,0.041000889290997676,0.04820273581379506,0.06058210755213289,0.07272558242185542,0.08043334123751407,0.09952082287204964,0.10989645048208987,0.12673182895279753,0.007201846522797387
low final p-ratio,low_p,61,16,0.14545454545454545,-0.4352734051367026,-0.5734598575106268,-0.0015387605439369809,0.0015387605439369809,-0.0005708787540290334,0.004163446836173534,0.00221350509673357,-0.0003928421647287905,0.00014629430370405316,0.005456980783492327,0.00974260177463293,-0.8771300315856934,2.3622660636901855,-0.001683956128889099,-1.3268345236698851e-15,4.017758878174467e-15,0.02979727581514181,0.04095511814110713,0.048160230945475696,0.06047914548991513,0.07261185060341933,0.08037118547943471,0.09943977999051135,0.10983275685858337,0.12661533454378204,0.0072051128043685644
low final p-ratio,low_p,61,17,0.15454545454545454,-0.4420652456459579,-0.5734598575106268,-0.0016355954526395247,0.0016355954526395247,-0.0006161619007307006,0.004431084729731083,0.002397090895101428,-0.0004182089469395578,0.00015800374967511743,0.005827784072607756,0.010351281613111496,-0.8319841623306274,2.360785484313965,-0.0017999900420635475,-2.2949660069325477e-15,1.279367434259232e-15,0.02972799576685372,0.040909510800284855,0.048118729148660166,0.06037674168733192,0.0724987392339083,0.08031028311772775,0.09935964472463173,0.10977079099688877,0.12649945112371083,0.007209218348375311
low final p-ratio,low_p,61,18,0.16363636363636364,-0.4484736922840927,-0.5734598575106268,-0.0017324303613420685,0.0017324303613420685,-0.0006624820660591235,0.004699551500380039,0.002583506517112255,-0.0004426402738317847,0.00016886267985682935,0.006201093550771475,0.01097181811928749,-0.7836493253707886,2.359119415283203,-0.001917997870532197,-1.023357867727797e-15,9.571771949967554e-17,0.02965623836858199,0.040863194752475455,0.04807517992385679,0.0602725860607407,0.07238215138271471,0.0802473376976709,0.09927598998965692,0.10970570548918346,0.12637939085651148,0.007211985171381337
low final p-ratio,low_p,61,19,0.17272727272727273,-0.4545190267158929,-0.5734598575106268,-0.0018283251252999276,0.0018283251252999276,-0.000709493577138717,0.0049680243246257305,0.0027707454282790422,-0.000466597470222041,0.00018092073150910437,0.006574998144060373,0.011583383195102215,-0.7371710538864136,2.3575778007507324,-0.002035972988734747,-1.6407842060499445e-15,-6.426048419024756e-16,0.029585485898980548,0.04081710671520401,0.04803227269504353,0.06016973035979692,0.0722672182182151,0.08018565280579058,0.09919338086018353,0.10964093499227258,0.1262628577714437,0.007215165979839518
low final p-ratio,low_p,61,20,0.18181818181818182,-0.459887879373671,-0.5734598575106268,-0.0019242198892577866,0.0019242198892577866,-0.0007558137424671399,0.005236682947725058,0.002959214150905609,-0.0004914760356768966,0.00019225348660256714,0.006950131617486477,0.012194672599434853,-0.6913858652114868,2.356037139892578,-0.0021542988178702704,-1.3792423478114489e-15,-3.912619773688634e-16,0.029514071006489468,0.04077080486095606,0.04798933256145611,0.0600633009211522,0.07214998724860207,0.08012450764650672,0.09911089680589869,0.10957695517295132,0.12614388117553207,0.007218527700500056
low final p-ratio,low_p,61,21,0.19090909090909092,-0.46468577438864056,-0.5734598575106268,-0.0020218240072968907,0.0020218240072968907,-0.0008028252535467334,0.005505979061126709,0.003149093594402075,-0.0005161669687367976,0.00020371872233226895,0.007326692342758179,0.012816113419830799,-0.6447012424468994,2.3544857501983643,-0.002273485531161955,-9.782840909298953e-16,1.2740187006637046e-15,0.029442260831969325,0.04072418725198064,0.04794628977788503,0.059959186260842075,0.07203539242707888,0.08006239115262175,0.09902857684502879,0.10951253481834362,0.12602439534192705,0.0072221025259043906
low final p-ratio,low_p,61,22,0.2,-0.4692064448125282,-0.5734598575106268,-0.0021177187712547495,0.0021177187712547495,-0.0008500096010641194,0.005775869823992252,0.003340258728712797,-0.0005404579569585621,0.00021585728973150253,0.007704615592956543,0.013430304825305939,-0.5986790060997009,2.352931499481201,-0.0023933858935011702,-7.899346266198146e-16,1.8578407345884537e-15,0.029369307541489774,0.04067792504950902,0.04790366199868864,0.0598545161538098,0.0719191412534692,0.08000087749861953,0.09894524273517721,0.10944701347835589,0.12590430771435335,0.00722573694917962
low final p-ratio,low_p,61,23,0.20909090909090908,-0.47348839442164137,-0.5734598575106268,-0.0022145536799572933,0.0022145536799572933,-0.0008971075303626092,0.006045880727469921,0.003532733768224716,-0.0005647285142913461,0.0002273759600939229,0.0080834636464715,0.014044379815459251,-0.5522556900978088,2.351378917694092,-0.0025135780463467552,3.5861839788178357e-16,3.9103623307641714e-15,0.029297507275984683,0.040631404816291565,0.04786056260084699,0.0597501653749066,0.0718022321529881,0.07993975351493526,0.09886311217916041,0.10938179702041528,0.12578555736409186,0.0072291577845554275
low final p-ratio,low_p,61,24,0.21818181818181817,-0.47761194029850745,-0.5734598575106268,-0.00231036297621109,0.00231036297621109,-0.0009451560600689583,0.006315998267382383,0.0037261510733515024,-0.0005896550719626248,0.00023890723241493106,0.008463423699140549,0.014660662040114403,-0.5045666694641113,2.3497719764709473,-0.0026350990932899466,-2.152365155022857e-15,-5.108457309132127e-16,0.029222925259140102,0.04058410256834372,0.04781552648929233,0.059644046894430945,0.07168679222519593,0.07987736451382643,0.09877739203816698,0.10931557903322818,0.1256636326769464,0.00723142392094861
low final p-ratio,low_p,61,25,0.22727272727272727,-0.4814111621335217,-0.5734598575106268,-0.0024062577401689493,0.0024062577401689493,-0.000993118171556411,0.006585829425603151,0.00392052112147212,-0.000614119810052216,0.00025095423916354775,0.008843687362968922,0.015275195240974426,-0.458890825510025,2.3482260704040527,-0.0027566414439696096,-5.337279492796397e-16,1.6024115216501456e-15,0.02914956644995138,0.040537408131593886,0.0477723933906064,0.059537761435004305,0.07156909971606995,0.0798159897738675,0.09869442911047784,0.10924997807311637,0.125542580228816,0.007234985259012512
low final p-ratio,low_p,61,26,0.23636363636363636,-0.48487678560057734,-0.5734598575106268,-0.00250223797183087,0.00250223797183087,-0.0010411667012627604,0.006855850573629141,0.004116040654480457,-0.0006386156310327351,0.0002625224879011512,0.009224631823599339,0.015901286154985428,-0.4127456843852997,2.3466885089874268,-0.002878483409353151,-2.0903813312388205e-15,3.688306848510165e-15,0.029076070198869118,0.04049082659061244,0.04772873641676486,0.05943286068091021,0.07145457125559547,0.0797550561800357,0.09861270328681915,0.10918373268111033,0.12542239381876466,0.007237909826152418
low final p-ratio,low_p,61,27,0.24545454545454545,-0.4883212424644937,-0.5734598575106268,-0.002598047268084667,0.002598047268084667,-0.0010892152309691094,0.007126780692487955,0.004312649369239807,-0.0006627834518440068,0.00027428611065261066,0.009607646614313126,0.016537202522158623,-0.3667348325252533,2.345151424407959,-0.0030017174311780586,-1.9388693655885877e-15,4.5077013549276985e-15,0.029001177818129272,0.04044325037973316,0.047684354431672044,0.05932612367965763,0.07133720303669104,0.07969374265513234,0.0985277626010607,0.10911694772617117,0.12529988809279916,0.007241104051938882
low final p-ratio,low_p,61,28,0.2545454545454545,-0.4916553368406534,-0.5734598575106268,-0.002693942032042526,0.002693942032042526,-0.0011381279428644218,0.007397504989057779,0.004510092083364725,-0.0006879899883642793,0.00028621312230825424,0.009990951977670193,0.01717323623597622,-0.32125425338745117,2.3436267375946045,-0.003125327533111566,1.0789309525509385e-15,1.6033566505927027e-15,0.028927407397556497,0.04039564535998295,0.047640690301805226,0.05922156287284611,0.07122279603882654,0.07963211560739736,0.09844737074401234,0.10905050650317556,0.125179636284902,0.007245044941822279
low final p-ratio,low_p,61,29,0.2636363636363636,-0.4946357237968423,-0.5734598575106268,-0.002789836796000385,0.002789836796000385,-0.001187040654759734,0.00766788749024272,0.004707369487732649,-0.0007124601397663355,0.0002985268656630069,0.010373936034739017,0.017807727679610252,-0.27277064323425293,2.341972589492798,-0.0032491778855536666,9.506690120933433e-16,1.8179564437929997e-15,0.02885187179292747,0.040348334577450594,0.04759606494712967,0.05911361898062491,0.07110473940910127,0.07957050310221805,0.09836257642525564,0.10898274641906663,0.1250570439043488,0.007247730369679073
low final p-ratio,low_p,61,30,0.2727272727272727,-0.49734350583693354,-0.5734598575106268,-0.0028866717047029288,0.0028866717047029288,-0.0012350891844660832,0.007939697243273258,0.0049057528376579285,-0.0007371329120360315,0.00031020850292406976,0.010758625343441963,0.01844615489244461,-0.2274080365896225,2.3404552936553955,-0.0033735935165298825,-1.1109004375962543e-15,-8.324035879092619e-16,0.028777620341914934,0.04030086541390274,0.04755208185548914,0.0590077562554514,0.07098635784919641,0.0795096730621823,0.09828010077226335,0.10891660086872591,0.12493544226871796,0.007251216441586404
low final p-ratio,low_p,61,31,0.2818181818181818,-0.49977763942008363,-0.5734598575106268,-0.0029825664686607876,0.0029825664686607876,-0.0012831377141724323,0.008210966363549232,0.005102396011352539,-0.0007613591151311994,0.00032229305361397564,0.011142718605697155,0.019082525745034218,-0.18265382945537567,2.3389573097229004,-0.0034978549577076336,1.5554085901236692e-15,5.868936578251549e-15,0.028701908002204207,0.04025387369983067,0.04750797707312899,0.058901406185347366,0.07087210921199795,0.0794494573473061,0.09819719784399983,0.10884871304952919,0.12481354554759223,0.007254103373298321
low final p-ratio,low_p,61,32,0.2909090909090909,-0.5022572196567647,-0.5734598575106268,-0.003078461232618647,0.003078461232618647,-0.0013320504260677447,0.008482716046273708,0.005301480181515217,-0.0007858344470150769,0.0003335977380629629,0.011527997441589832,0.01972072757780552,-0.13449345529079437,2.337310552597046,-0.0036232684620242607,-5.420971668628989e-16,4.027519133260867e-16,0.02862479920325677,0.040206040366750496,0.047462893310787596,0.058794137843660665,0.07075534524265611,0.0793881029036983,0.09811254922397127,0.10878051307818673,0.12468882518604082,0.0072568529440371
low final p-ratio,low_p,61,33,0.3,-0.5048363654588283,-0.5734598575106268,-0.0031743559965765056,0.0031743559965765056,-0.0013809631379630568,0.008754379115998745,0.005502169020473957,-0.0008105748565867543,0.00034576698089949787,0.011914337053894997,0.020357288420200348,-0.08864814788103104,2.335784673690796,-0.0037496550842827797,-1.404946967198756e-15,1.876919714163231e-15,0.028548688239973866,0.04015803095482755,0.04741796692441567,0.05868644839580247,0.0706363063660813,0.07932683346072356,0.09802870273067374,0.10871223372415906,0.1245664962673991,0.00725993596958812
low final p-ratio,low_p,61,34,0.3090909090909091,-0.5071246778089387,-0.5734598575106268,-0.0032693106157896798,0.0032693106157896798,-0.0014298758498583692,0.009025955572724342,0.005702327471226454,-0.0008350066491402686,0.00035804702201858163,0.012300938367843628,0.020994415506720543,-0.040712177753448486,2.3341591358184814,-0.003876578857964358,-3.2232767595478005e-15,-1.7563924480342542e-16,0.028471354253767553,0.04010986962502851,0.047372760883368434,0.05857916495622493,0.07052120072577042,0.0792655018614185,0.0979449108007617,0.10864461857116813,0.12444224946039815,0.007262891258339926
low final p-ratio,low_p,61,35,0.3181818181818182,-0.5092824413056828,-0.5734598575106268,-0.0033661455244922236,0.0033661455244922236,-0.0014798255803804372,0.009297555312514305,0.005903142038732767,-0.0008597393753007054,0.00037033038097433746,0.012687559239566326,0.021634718403220177,0.004320473410189152,2.332660675048828,-0.004003843393764278,-1.7341481627321134e-15,2.1977521322457744e-16,0.028393417776368224,0.040061926108811846,0.047327649823692794,0.05847100634549021,0.07040321659799413,0.0792044824726373,0.09786107646184712,0.10857477183070327,0.12431739741099984,0.007265723714880948
low final p-ratio,low_p,61,36,0.32727272727272727,-0.5113199748955256,-0.5734598575106268,-0.0034611001437053978,0.0034611001437053978,-0.0015287382922757496,0.00956893153488636,0.0061043305322527885,-0.0008841228554956615,0.00038252657395787537,0.013074062764644623,0.02228318341076374,0.0517263188958168,2.331068277359009,-0.004131222144892588,8.561467541817547e-16,2.2489929582072274e-15,0.028315959882856265,0.04001417180014601,0.04728241212061267,0.05836457265946066,0.07028694913621163,0.07914413754494816,0.09777745707297358,0.10850659057575959,0.12419527098044496,0.007268240320466655
low final p-ratio,low_p,61,37,0.33636363636363636,-0.513290149653786,-0.5734598575106268,-0.003556140230622634,0.003556140230622634,-0.0015776510041710617,0.00984111800789833,0.0063056726939976215,-0.0009086932986974716,0.00039420012035407126,0.013461836613714695,0.022921888157725334,0.09838180243968964,2.329462766647339,-0.004259485738226765,-6.938795241061356e-16,1.0351033897469003e-15,0.02823805335782814,0.03996577008731472,0.04723741973145113,0.05825615719525769,0.07016986744261128,0.07908343800613193,0.09769440331738377,0.10843754601302205,0.12407028851218507,0.007271649644136409
low final p-ratio,low_p,61,38,0.34545454545454546,-0.5154849934754241,-0.5734598575106268,-0.003652034994580493,0.003652034994580493,-0.0016283784986631967,0.010112098418176174,0.006508128717541695,-0.0009336943039670587,0.000406489270972088,0.013849104754626751,0.02355928160250187,0.1450408399105072,2.3278987407684326,-0.004388694138832194,-1.9928962759227243e-15,1.936531001495868e-15,0.028159458894217185,0.03991737150893128,0.04719187675939783,0.058147588347664945,0.07005178972579733,0.0790225523179355,0.09761042991934644,0.10836799330549593,0.12394537626355678,0.007274505250466551
low final p-ratio,low_p,61,39,0.35454545454545455,-0.5172394310493382,-0.5734598575106268,-0.0037487844355789746,0.0037487844355789746,-0.0016772912105585088,0.010384554043412209,0.006710647605359554,-0.0009581119520589709,0.0004183514683973044,0.014237802475690842,0.024198146536946297,0.19220973551273346,2.326322078704834,-0.004518241217606189,-4.765500135472621e-16,5.912050660555778e-15,0.02808067063651134,0.03986855556004913,0.04714601431756735,0.05803908490448228,0.06993569669749805,0.0789614408295722,0.09752758573868367,0.10829825604327638,0.12382000240443825,0.007277458757518215
low final p-ratio,low_p,61,40,0.36363636363636365,-0.5189826353984495,-0.5734598575106268,-0.003843824522496211,0.003843824522496211,-0.0017262903406727174,0.010655946098268032,0.006913096643984318,-0.0009825252927839756,0.00043060968164354563,0.01462551299482584,0.024837058037519455,0.2389364242553711,2.324713706970215,-0.004647758685570644,-1.4830495495191666e-15,9.3160517581646e-16,0.028002141908663514,0.03982037917396915,0.04710056224916627,0.05793093645148423,0.06981770662228406,0.07890124113280862,0.09744428680209913,0.10822851358722445,0.12369505102234274,0.007280183075197122
low final p-ratio,low_p,61,41,0.37272727272727274,-0.5206802520048897,-0.5734598575106268,-0.00393971928645407,0.00393971928645407,-0.0017760672347569928,0.010928565636277199,0.007116094697266817,-0.0010068280389532447,0.00044280471047386527,0.015014871023595333,0.025477943941950798,0.2847929298877716,2.3231539726257324,-0.004778109515541362,-2.326552176907908e-15,7.482795954926599e-16,0.027921930508589054,0.039771685481274785,0.04705512541160451,0.05782371913756361,0.06970307356162365,0.07884131170644929,0.09736028726483144,0.10815934013961599,0.12357084441951348,0.007283439930329726
low final p-ratio,low_p,61,42,0.38181818181818183,-0.5223947133791367,-0.5734598575106268,-0.004034673905667244,0.004034673905667244,-0.0018258441288412682,0.01120118610560894,0.007320172153413296,-0.0010319208959117532,0.00045521542779169977,0.015404606238007545,0.026116993278265,0.3316507041454315,2.3215909004211426,-0.004909298405798651,-1.8356067662947874e-15,2.1472717178873086e-15,0.02784167745685256,0.039722818478823335,0.04700819100930076,0.057713127809657636,0.0695834319759791,0.07877966241644782,0.09727508499284783,0.1080883624392395,0.1234447574283547,0.007285372530477424
low final p-ratio,low_p,61,43,0.39090909090909093,-0.5240613635199508,-0.5734598575106268,-0.00412971399258448,0.00412971399258448,-0.0018766580415522994,0.011473209597170353,0.007524385116994381,-0.0010564052499830723,0.0004670832713600248,0.015794293954968452,0.026766391471028328,0.38035863637924194,2.3199405670166016,-0.005041020432493844,-1.3243570832346762e-15,2.891395927878073e-16,0.0277613204548421,0.039673762194676256,0.04696239961751374,0.05760519243541961,0.06946817311961462,0.07871908118754865,0.09719248816525478,0.10801708286407684,0.12331845762007405,0.007288637422837488
low final p-ratio,low_p,61,44,0.4,-0.5254069745617438,-0.5734598575106268,-0.004226548901287024,0.004226548901287024,-0.0019255707534476117,0.011745898984372616,0.007727553136646748,-0.0010805806377902627,0.00047960618394427,0.016184020787477493,0.02740750089287758,0.4258568584918976,2.3183956146240234,-0.005173123734438639,-8.511037397447888e-16,7.793183476539848e-16,0.0276809757488634,0.03962504852475481,0.04691633068129765,0.05749709135754415,0.06935074604856183,0.07865929792160593,0.09710903643903177,0.10794592622515653,0.1231925189182238,0.007291282156542837
low final p-ratio,low_p,61,45,0.4090909090909091,-0.5269435439476421,-0.5734598575106268,-0.004322358197540821,0.004322358197540821,-0.001976384666158643,0.012018192559480667,0.007932036183774471,-0.0011050557950511575,0.0004919525235891342,0.016573991626501083,0.028046714141964912,0.4733605682849884,2.3167717456817627,-0.005305974763266219,-1.3664383342742157e-15,1.3053216769132425e-15,0.027599544038976232,0.03957578982380774,0.046869940033933834,0.05738771462669759,0.06923388187215164,0.07859829199122854,0.0970253498092222,0.1078748144866605,0.12306563320267015,0.007294150210126096
low final p-ratio,low_p,61,46,0.41818181818181815,-0.5283355271030274,-0.5734598575106268,-0.004418338429202742,0.004418338429202742,-0.0020261615602429183,0.012291152961552143,0.008136803284287453,-0.0011297613382339478,0.0005037933588027954,0.016964659094810486,0.02868795394897461,0.5199443101882935,2.315199375152588,-0.005439027045135991,-2.409378768892198e-15,3.610873104190621e-15,0.027518546739072,0.039526905795051775,0.04682381129670245,0.057278787938678195,0.0691165906902036,0.07853893730208245,0.09694281276013908,0.10780373718371089,0.1229399226075891,0.007296905501650672
low final p-ratio,low_p,61,47,0.42727272727272725,-0.5296397789020049,-0.5734598575106268,-0.004513293048415916,0.004513293048415916,-0.0020769754729539494,0.012564233504235744,0.008340926840901375,-0.00115433509927243,0.0005156853003427386,0.01735510118305683,0.0293277557939291,0.5664258003234863,2.313640832901001,-0.0055725098977279855,2.543276237931891e-16,1.4499875985588653e-15,0.027436687504799034,0.03947762959678212,0.04677732739636197,0.05717012498495303,0.06900068516169014,0.07847834531871657,0.0968592638953141,0.10773104155923333,0.12281353730827939,0.0072996977995798545
low final p-ratio,low_p,61,48,0.43636363636363634,-0.5309737557183641,-0.5734598575106268,-0.00460824766762909,0.00460824766762909,-0.002126752367038225,0.012836507521569729,0.00854618102312088,-0.0011791439028456807,0.0005286580417305231,0.017745524644851685,0.029978923499584198,0.6147423982620239,2.311997413635254,-0.005706956815480967,6.168793983354794e-16,3.4569925845341478e-15,0.027353330582810056,0.0394283546348453,0.04672993847236565,0.057060635049027725,0.0688841370006706,0.07841804895524938,0.09677448934442141,0.10765841537451545,0.1226872391784752,0.007301583837520352
