case_short,cv_summary,pearson_r,corr_r2,n
low_p,mean_z0,0.9427169274543936,0.8887152053090525,99
low_p,final_z0,0.9467162901789071,0.8962717340901127,99
low_p,slope_z0,0.949497561340763,0.901545618992056,99
low_p,range_z0,0.949497561340763,0.901545618992056,99
low_p,mean_z1,-0.9727898554271137,0.9463201028219048,99
low_p,final_z1,-0.972178413834812,0.9451308683263709,99
low_p,slope_z1,-0.9503720624760683,0.9032070571350159,99
low_p,range_z1,0.9503720624760683,0.9032070571350159,99
high_p,mean_z0,-0.9537569302633973,0.9096522820254588,99
high_p,final_z0,-0.955087184780956,0.912191530532812,99
high_p,slope_z0,-0.9547689808489204,0.911583806791286,99
high_p,range_z0,0.9547689808489204,0.911583806791286,99
high_p,mean_z1,0.24132599224054252,0.058238234530882386,99
high_p,final_z1,0.8337715243078881,0.6951749547466993,99
high_p,slope_z1,0.9555265161909273,0.9130309231439705,99
high_p,range_z1,0.9555265161909273,0.9130309231439705,99
