case_short,latent,signal,pearson_r,corr_r2,n
low_p,z0,trajectory_progress,0.9998631584671047,0.9997263356598146,111
low_p,z0,p_ratio,-0.7491804749641808,0.5612713840675556,110
low_p,z0,horizontal_strain,-0.999826651218884,0.9996533324875679,111
low_p,z0,x_compression,0.999826651218884,0.9996533324875679,111
low_p,z0,vertical_strain,-0.9996569948394147,0.9993141073313696,111
low_p,z0,mean_abs_x_disp,0.999886107845097,0.999772228661617,111
low_p,z0,mean_abs_y_disp,0.999565139421181,0.999130467946085,111
low_p,z0,mean_x_disp,-0.9998631802325418,0.9997263791847324,111
low_p,z0,mean_y_disp,0.9997578653529228,0.9995157893350328,111
low_p,z0,rms_disp,0.9998780431526993,0.9997561011788713,111
low_p,z0,max_node_disp,0.999911305248688,0.9998226183641349,111
low_p,z0,lambda5,-0.9998143754229836,0.9996287853024507,111
low_p,z0,lambda6,-0.9995407207549244,0.9990816524472738,111
low_p,z0,soft_mode_gap_6_5,0.9655468840385886,0.9322807852766276,111
low_p,z1,trajectory_progress,0.9998903141926269,0.99978064041623,111
low_p,z1,p_ratio,-0.7502390971005383,0.5628587028182309,110
low_p,z1,horizontal_strain,-0.9998591754303611,0.9997183706922815,111
low_p,z1,x_compression,0.9998591754303611,0.9997183706922815,111
low_p,z1,vertical_strain,-0.9996225006084217,0.9992451437226341,111
low_p,z1,mean_abs_x_disp,0.9999043198425717,0.9998086488398359,111
low_p,z1,mean_abs_y_disp,0.9995295859562511,0.9990593932018748,111
low_p,z1,mean_x_disp,-0.9998904160159579,0.9997808440405652,111
low_p,z1,mean_y_disp,0.9997373314422925,0.9994747318793562,111
low_p,z1,rms_disp,0.9998770996901513,0.9997542144847886,111
low_p,z1,max_node_disp,0.9999212291095619,0.9998424644239771,111
low_p,z1,lambda5,-0.9997765655386752,0.999553181000309,111
low_p,z1,lambda6,-0.9994755015345865,0.9989512781678133,111
low_p,z1,soft_mode_gap_6_5,0.966097955616391,0.9333452598461702,111
high_p,z0,trajectory_progress,-0.9999773945828019,0.9999547896766087,130
high_p,z0,p_ratio,-0.586047525276795,0.34345170188305574,129
high_p,z0,horizontal_strain,0.9999777985289595,0.9999555975508243,130
high_p,z0,x_compression,-0.9999777985289595,0.9999555975508243,130
high_p,z0,vertical_strain,-0.999978615087626,0.9999572306325665,130
high_p,z0,mean_abs_x_disp,-0.9999780983197752,0.9999561971192341,130
high_p,z0,mean_abs_y_disp,-0.999981598165902,0.9999631966704315,130
high_p,z0,mean_x_disp,0.9993235751317399,0.9986476078140821,130
high_p,z0,mean_y_disp,0.9999332699114016,0.999866544275708,130
high_p,z0,rms_disp,-0.9999790371538403,0.9999580747471215,130
high_p,z0,max_node_disp,-0.9999801892971547,0.9999603789867734,130
high_p,z0,lambda5,0.9996745470341575,0.9993491999879479,130
high_p,z0,lambda6,0.9941227430276574,0.9882800282048336,130
high_p,z0,soft_mode_gap_6_5,-0.999337074595223,0.9986745886605384,130
high_p,z1,trajectory_progress,-0.9999749614032505,0.9999499234334323,130
high_p,z1,p_ratio,-0.5858786817178507,0.34325382969144663,129
high_p,z1,horizontal_strain,0.9999753873486498,0.9999507753030822,130
high_p,z1,x_compression,-0.9999753873486498,0.9999507753030822,130
high_p,z1,vertical_strain,-0.9999762545714322,0.9999525097067099,130
high_p,z1,mean_abs_x_disp,-0.9999757027069159,0.9999514060041903,130
high_p,z1,mean_abs_y_disp,-0.9999794137420335,0.999958827907861,130
high_p,z1,mean_x_disp,0.9993192569175304,0.9986389772462052,130
high_p,z1,mean_y_disp,0.9999304311278351,0.9998608670954982,130
high_p,z1,rms_disp,-0.999976693201481,0.9999533869461688,130
high_p,z1,max_node_disp,-0.9999779100176731,0.9999558205233136,130
high_p,z1,lambda5,0.9996833393531547,0.9993667789802746,130
high_p,z1,lambda6,0.9940851469997714,0.988205279485557,130
high_p,z1,soft_mode_gap_6_5,-0.9993496490409451,0.9986997210382602,130
