metric,best_run,run_seed,best_epoch,best_cv,val_score,val_r2,val_spearman,val_pearson,test_r2,test_spearman,test_pearson,test_n,checkpoint_path
Tm,1,2524529147,2,CV5_mean,0.8250928613350407,0.7191595337690788,0.7333333333333332,0.8480327433354675,0.23591617076268945,0.5363636363636364,0.4857120245193542,11,../results/chignolin_cv_transformer/run_01/epoch_0002.pt
mfpt,1,2524529147,12,CV1_mean,0.6247170261202448,0.3866419225873413,-0.6363636363636362,-0.6218053735593969,0.3005868258294625,0.5181818181818182,0.5482579920342816,11,../results/chignolin_cv_transformer/run_01/epoch_0012.pt
log_mfpt_ratio,1,2524529147,10,CV3_median,0.7574838877949495,0.5829651212919962,-0.7333333333333332,-0.7635215264103535,0.19785210781116702,0.5181818181818182,0.44480569669369924,11,../results/chignolin_cv_transformer/run_01/epoch_0010.pt
hlda_evalue,1,2524529147,2,CV1_mean,0.7266465553664907,0.4995564051991753,0.8060606060606059,0.706793042692962,0.21126117264939104,0.6181818181818182,0.4596315618507842,11,../results/chignolin_cv_transformer/run_01/epoch_0002.pt
