run_idx,run_seed,epoch,train_loss,val_loss,train_dv_mse,val_dv_mse,train_tau_mse,val_tau_mse
1,1348393334,1,0.9915749500543908,0.9890034342899431,0.9723644981778661,0.9885771155941545,0.0,0.0
1,1348393334,2,0.9660663610709311,0.9932920527059992,0.9658116895218517,0.9929662898178399,0.0,0.0
1,1348393334,3,0.955398903708301,0.9368322352693491,0.9551272258292152,0.9365413446332922,0.0,0.0
1,1348393334,4,0.8994506813965031,0.9036644535286925,0.8992418215243575,0.9033931276657329,0.0,0.0
1,1348393334,5,0.8688272509673606,0.8828104101833028,0.8686589294212415,0.8825237131295222,0.0,0.0
1,1348393334,6,0.8548069309408587,0.8777694780238331,0.8546704981825163,0.8776095688539763,0.0,0.0
1,1348393334,7,0.8504741593472588,0.8768284584429398,0.8503678035242508,0.8766581078912868,0.0,0.0
1,1348393334,8,0.8485051558999875,0.8755385969409777,0.848407171429223,0.8753696100057775,0.0,0.0
1,1348393334,9,0.8461946669739835,0.8723656808940133,0.8461010885758452,0.8721952976638263,0.0,0.0
1,1348393334,10,0.8444308367201371,0.8683678941829692,0.8443255762658557,0.8682191441542912,0.0,0.0
1,1348393334,11,0.8422293671286932,0.8673046108412378,0.8421297958081025,0.8671127306555424,0.0,0.0
1,1348393334,12,0.8399879978506407,0.8726557765272643,0.8398942443356179,0.872474790716281,0.0,0.0
1,1348393334,13,0.8379594624573046,0.8656361294407906,0.8378651115379043,0.8654354594328223,0.0,0.0
1,1348393334,14,0.8360434044026198,0.8704719753047921,0.8359452837466573,0.8701781202452292,0.0,0.0
1,1348393334,15,0.834107007844673,0.8687264954808926,0.8340075697978981,0.8684429207233467,0.0,0.0
1,1348393334,16,0.832761529479364,0.8640165370945359,0.8326683848616433,0.8637781936128756,0.0,0.0
1,1348393334,17,0.8314055945506298,0.8636776173826527,0.8313064785680362,0.8634736647616864,0.0,0.0
1,1348393334,18,0.8297230985846826,0.8637288445197936,0.8296313234836724,0.8635126698170916,0.0,0.0
1,1348393334,19,0.828302806326718,0.8643135139734486,0.8282067817417976,0.8640693381662691,0.0,0.0
1,1348393334,20,0.8267341517391104,0.8659164625855134,0.8266421295735988,0.8656657149236385,0.0,0.0
1,1348393334,21,0.8252051172131049,0.8661666958674703,0.8251153940557897,0.8659603397826431,0.0,0.0
1,1348393334,22,0.8237273254279125,0.865869460743491,0.8236404349188982,0.8656959606058682,0.0,0.0
1,1348393334,23,0.8219997562698298,0.865536506670286,0.8219121248725176,0.8653620038226624,0.0,0.0
1,1348393334,24,0.8202493909526222,0.8698405602512651,0.8201676735139773,0.8696530159502843,0.0,0.0
1,1348393334,25,0.8188343216579119,0.8646034503986936,0.8187572242522408,0.8643344621656418,0.0,0.0
1,1348393334,26,0.8171447308746168,0.871756368737803,0.8170634313718905,0.8714394006911296,0.0,0.0
1,1348393334,27,0.8155575813991044,0.8659810113220147,0.8154789953926156,0.865769676559388,0.0,0.0
1,1348393334,28,0.8144075659945412,0.8659559348211585,0.8143316296043724,0.8658011201644303,0.0,0.0
1,1348393334,29,0.8131412440722603,0.8629682008260869,0.8130665249413926,0.8627248090533617,0.0,0.0
1,1348393334,30,0.8119429656786613,0.870085995928599,0.8118676107744537,0.8699195685178259,0.0,0.0
2,2893712859,1,0.982137198457242,0.9664371478723304,0.9717517418245731,0.9660403941175749,0.0,0.0
2,2893712859,2,0.965337075556692,0.9637836107123743,0.9650713159830788,0.963550743156343,0.0,0.0
2,2893712859,3,0.9634159483257705,0.9646598783203668,0.9631774115889105,0.9644427412282778,0.0,0.0
2,2893712859,4,0.9335186403099806,0.898855991095993,0.9332814555976948,0.8985740996823453,0.0,0.0
2,2893712859,5,0.8836490873802136,0.8761565065321916,0.8834229262021318,0.8758490168460549,0.0,0.0
2,2893712859,6,0.864439278534024,0.8637711956019591,0.8642690270444682,0.8635344413509726,0.0,0.0
2,2893712859,7,0.8558433324649986,0.8650397575072067,0.8557200735027116,0.8648987841589449,0.0,0.0
2,2893712859,8,0.8521992780623621,0.8524333751372116,0.85210541290502,0.852293872501817,0.0,0.0
2,2893712859,9,0.8495091050693375,0.8535022353372499,0.8494141807054469,0.8534029738666272,0.0,0.0
2,2893712859,10,0.8470949755452707,0.8512493908220511,0.846995982922057,0.8511017865211394,0.0,0.0
2,2893712859,11,0.8452560483366147,0.8518874150703568,0.845155749155028,0.8518066862509577,0.0,0.0
2,2893712859,12,0.8431793733970775,0.8500415740316898,0.843094239752106,0.8499450639958787,0.0,0.0
2,2893712859,13,0.841713640523894,0.8540372628547607,0.8416193433124574,0.8539241069506998,0.0,0.0
2,2893712859,14,0.8400097449095991,0.8506025305294087,0.8399181242119802,0.850458598384882,0.0,0.0
2,2893712859,15,0.8386552820111265,0.854144114901488,0.838565046325399,0.8540182250274969,0.0,0.0
2,2893712859,16,0.8377300767031106,0.8479389541446477,0.8376392499341143,0.8478248650246304,0.0,0.0
2,2893712859,17,0.8362864430123108,0.8458745651858391,0.8361916076995121,0.8457666628360033,0.0,0.0
2,2893712859,18,0.8354382720514827,0.8437314608512204,0.8353498354376835,0.8435722425921296,0.0,0.0
2,2893712859,19,0.8343429894814051,0.8452257626365931,0.8342531025344126,0.8451193750637843,0.0,0.0
2,2893712859,20,0.8328207999184699,0.8440933508066574,0.8327342680900476,0.8439568839128977,0.0,0.0
2,2893712859,21,0.8314297199845374,0.8505919363775519,0.8313339228116938,0.8504335192373149,0.0,0.0
2,2893712859,22,0.8298047535132618,0.8437719864420371,0.8297081138911468,0.843663679169278,0.0,0.0
2,2893712859,23,0.8285623518058403,0.8393747350170274,0.828468846598796,0.8392525313675243,0.0,0.0
2,2893712859,24,0.8265632526971588,0.8423331471392722,0.8264749506876843,0.84216012683126,0.0,0.0
2,2893712859,25,0.8245295837815135,0.8410180075572292,0.8244445784173735,0.8409053374557617,0.0,0.0
2,2893712859,26,0.8225769951398617,0.8402224728698455,0.8224909476988768,0.8401387438128883,0.0,0.0
2,2893712859,27,0.8206976407133874,0.8385224316713631,0.8206200870254872,0.8384344592930401,0.0,0.0
2,2893712859,28,0.8188311914024693,0.8356079031484271,0.8187620842834749,0.8355060867553163,0.0,0.0
2,2893712859,29,0.8174717741079814,0.8346085845977024,0.8173974384139903,0.8344757360200284,0.0,0.0
2,2893712859,30,0.8160072147816416,0.8398246389589902,0.8159409446005274,0.8397204111499635,0.0,0.0
3,2156878575,1,0.9833359010768706,0.9622140278612593,0.9718731099074454,0.96200060549945,0.0,0.0
3,2156878575,2,0.9660013025564508,0.957619302832421,0.9657088339096285,0.9573629302899352,0.0,0.0
3,2156878575,3,0.964582034124948,0.958569287252326,0.9642991045282202,0.9583115715398254,0.0,0.0
3,2156878575,4,0.9627180654307057,0.9570028013748603,0.9624562982941094,0.9567695621824679,0.0,0.0
3,2156878575,5,0.947965389667171,0.9078704737009842,0.9477113312549001,0.9077324520910915,0.0,0.0
3,2156878575,6,0.8982993826554744,0.8847950485685203,0.8980400807786696,0.8846940780379842,0.0,0.0
3,2156878575,7,0.8831329048472722,0.8788371105672884,0.8829201326893382,0.8786736540894995,0.0,0.0
3,2156878575,8,0.8742260411162652,0.872285018564284,0.8740001425598607,0.8720600458965002,0.0,0.0
3,2156878575,9,0.8658763887918237,0.8811355243385858,0.8656655937805809,0.8806037699559865,0.0,0.0
