latent_dim,repeat,train_networks,train_frames_per_network,signal,target,test_r,test_r2,source
1,1,1,4,bbox_x_span,final_p_ratio,0.26286252410311967,0.06909670657786317,descriptor
1,1,1,4,bbox_y_span,final_p_ratio,0.24220493601554008,0.05866323103029186,descriptor
1,1,1,4,bbox_aspect_y_over_x,final_p_ratio,-0.19229937510338665,0.036979049665153,descriptor
1,1,1,4,descriptor_distance_to_train,final_p_ratio,0.5827747119499535,0.33962636488835124,descriptor
1,1,1,4,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
1,1,1,4,z0,final_p_ratio,0.7502521203653415,0.5628782441126908,latent
1,1,1,4,z1,final_p_ratio,,,latent
1,1,1,4,z2,final_p_ratio,,,latent
1,1,1,4,z3,final_p_ratio,,,latent
2,1,1,1,stiffness_mean,final_p_ratio,-0.8767547871130416,0.7686989567256348,descriptor
2,1,1,1,stiffness_std,final_p_ratio,-0.9411160705320593,0.8856994582137039,descriptor
2,1,1,1,stiffness_min,final_p_ratio,0.7990427283498751,0.6384692817288123,descriptor
2,1,1,1,stiffness_max,final_p_ratio,-0.8240001836345952,0.6789763026298465,descriptor
2,1,1,1,near_zero_stiffness_edge_count,final_p_ratio,-0.5172759936313363,0.2675744535872862,descriptor
2,1,1,1,near_zero_stiffness_edge_fraction,final_p_ratio,-0.5154110718784323,0.2656485730148745,descriptor
2,1,1,1,horizontal_stiffness,final_p_ratio,-0.9183538475112134,0.843373789238649,descriptor
2,1,1,1,vertical_stiffness,final_p_ratio,-0.8221902733236959,0.6759968455480937,descriptor
2,1,1,1,diagonal_stiffness,final_p_ratio,0.4337679252820768,0.18815461300351738,descriptor
2,1,1,1,vertical_minus_horizontal_stiffness,final_p_ratio,0.11266853151513355,0.012694197993776642,descriptor
2,1,1,1,vertical_over_horizontal_stiffness,final_p_ratio,0.36954166984645365,0.13656104575290534,descriptor
2,1,1,1,horizontal_edge_fraction,final_p_ratio,0.12209758139410228,0.01490781938228943,descriptor
2,1,1,1,vertical_edge_fraction,final_p_ratio,0.08012146054109921,0.006419448439238918,descriptor
2,1,1,1,diagonal_edge_fraction,final_p_ratio,-0.1510135618067029,0.022805095849546875,descriptor
2,1,1,1,edge_length_mean,final_p_ratio,-0.01925798934934528,0.0003708701537794963,descriptor
2,1,1,1,edge_length_std,final_p_ratio,0.19207028666702092,0.03689099502035159,descriptor
2,1,1,1,bbox_x_span,final_p_ratio,0.22574223670780882,0.05095955743384439,descriptor
2,1,1,1,bbox_y_span,final_p_ratio,0.20645673322239774,0.04262438269286431,descriptor
2,1,1,1,bbox_aspect_y_over_x,final_p_ratio,-0.15301100146710028,0.023412366569964965,descriptor
2,1,1,1,descriptor_distance_to_train,final_p_ratio,0.5960560170889757,0.3552827755079733,descriptor
2,1,1,1,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
2,1,1,1,z0,final_p_ratio,0.7885518278576764,0.6218139852176825,latent
2,1,1,1,z1,final_p_ratio,0.6333551488793641,0.40113874461200144,latent
2,1,1,1,z2,final_p_ratio,,,latent
2,1,1,1,z3,final_p_ratio,,,latent
2,1,1,2,stiffness_mean,final_p_ratio,-0.8776409327394014,0.7702536068196865,descriptor
2,1,1,2,stiffness_std,final_p_ratio,-0.9401909118585334,0.8839589507413805,descriptor
2,1,1,2,stiffness_min,final_p_ratio,0.8305320346044084,0.6897834605041382,descriptor
2,1,1,2,stiffness_max,final_p_ratio,-0.833198103316096,0.6942190793695397,descriptor
2,1,1,2,near_zero_stiffness_edge_count,final_p_ratio,-0.5116669545327114,0.2618030723607797,descriptor
2,1,1,2,near_zero_stiffness_edge_fraction,final_p_ratio,-0.5011964724438428,0.2511979039901517,descriptor
2,1,1,2,horizontal_stiffness,final_p_ratio,-0.9118998781521732,0.8315613877739484,descriptor
2,1,1,2,vertical_stiffness,final_p_ratio,-0.8415590452866222,0.708221626703731,descriptor
2,1,1,2,diagonal_stiffness,final_p_ratio,0.5110883917445924,0.26121134417607395,descriptor
2,1,1,2,vertical_minus_horizontal_stiffness,final_p_ratio,-0.09549719034695708,0.009119713364162953,descriptor
2,1,1,2,vertical_over_horizontal_stiffness,final_p_ratio,0.18546497391145966,0.034397256547978414,descriptor
2,1,1,2,horizontal_edge_fraction,final_p_ratio,0.08266645845485049,0.0068337433534675215,descriptor
2,1,1,2,vertical_edge_fraction,final_p_ratio,-0.011850245405563226,0.00014042831617207233,descriptor
2,1,1,2,diagonal_edge_fraction,final_p_ratio,-0.05837334258934222,0.0034074471250527144,descriptor
2,1,1,2,edge_length_mean,final_p_ratio,0.08146379893872088,0.006636350537528341,descriptor
2,1,1,2,edge_length_std,final_p_ratio,0.1972473631653253,0.038906522275673726,descriptor
2,1,1,2,bbox_x_span,final_p_ratio,0.20943548621277946,0.04386322288518334,descriptor
2,1,1,2,bbox_y_span,final_p_ratio,0.19054653657429158,0.03630798260045784,descriptor
2,1,1,2,bbox_aspect_y_over_x,final_p_ratio,-0.15126059061216132,0.022879766272339865,descriptor
2,1,1,2,descriptor_distance_to_train,final_p_ratio,0.5505500918654443,0.3031054036530492,descriptor
2,1,1,2,final_p_ratio_delta_to_train,final_p_ratio,1.0,1.0,descriptor
2,1,1,2,z0,final_p_ratio,-0.33409218715576466,0.11161758951852248,latent
2,1,1,2,z1,final_p_ratio,0.16792306660639175,0.028198156298494682,latent
2,1,1,2,z2,final_p_ratio,,,latent
2,1,1,2,z3,final_p_ratio,,,latent
2,1,1,4,stiffness_mean,final_p_ratio,-0.8945875437685966,0.8002868734659307,descriptor
2,1,1,4,stiffness_std,final_p_ratio,-0.9456556238527761,0.8942645589243832,descriptor
2,1,1,4,stiffness_min,final_p_ratio,0.8426611557633485,0.7100778234324223,descriptor
2,1,1,4,stiffness_max,final_p_ratio,-0.844807515666434,0.713699738526492,descriptor
2,1,1,4,near_zero_stiffness_edge_count,final_p_ratio,-0.5065093207856134,0.2565516920427034,descriptor
2,1,1,4,near_zero_stiffness_edge_fraction,final_p_ratio,-0.49716454137078814,0.2471725811964261,descriptor
2,1,1,4,horizontal_stiffness,final_p_ratio,-0.9282237267972036,0.8615992869892896,descriptor
2,1,1,4,vertical_stiffness,final_p_ratio,-0.8413054015082283,0.7077947786069212,descriptor
2,1,1,4,diagonal_stiffness,final_p_ratio,0.6063914413915005,0.36771058019286157,descriptor
2,1,1,4,vertical_minus_horizontal_stiffness,final_p_ratio,-0.028500317553665812,0.0008122681006597916,descriptor
2,1,1,4,vertical_over_horizontal_stiffness,final_p_ratio,0.2356938368581287,0.05555158473290619,descriptor
2,1,1,4,horizontal_edge_fraction,final_p_ratio,0.017015280847542037,0.0002895197823207309,descriptor
2,1,1,4,vertical_edge_fraction,final_p_ratio,-0.0948035066846351,0.008987704879703651,descriptor
2,1,1,4,diagonal_edge_fraction,final_p_ratio,0.04822718373557588,0.0023258612510649946,descriptor
2,1,1,4,edge_length_mean,final_p_ratio,0.06690596371492372,0.004476407980622689,descriptor
2,1,1,4,edge_length_std,final_p_ratio,0.24296871820323176,0.059033798025321445,descriptor
2,1,1,4,bbox_x_span,final_p_ratio,0.26743198229767046,0.07151986515566153,descriptor
2,1,1,4,bbox_y_span,final_p_ratio,0.24750686715443362,0.061259649288602454,descriptor
2,1,1,4,bbox_aspect_y_over_x,final_p_ratio,-0.18012565742973835,0.03244525246449546,descriptor
2,1,1,4,descriptor_distance_to_train,final_p_ratio,0.001908400869180433,3.641993877488632e-06,descriptor
2,1,1,4,final_p_ratio_delta_to_train,final_p_ratio,0.9999999999999999,0.9999999999999998,descriptor
2,1,1,4,z0,final_p_ratio,-0.13163042459649127,0.017326568679452575,latent
2,1,1,4,z1,final_p_ratio,0.509790196536403,0.2598860444846244,latent
2,1,1,4,z2,final_p_ratio,,,latent
2,1,1,4,z3,final_p_ratio,,,latent
4,1,1,1,stiffness_mean,final_p_ratio,-0.8761080837373152,0.7675653743898705,descriptor
