split,sim_idx,original_sim_idx,final_p_ratio,node_count,edge_count,bbox_x_span,bbox_y_span,bbox_aspect_y_over_x,edge_length_mean,edge_length_std,edge_length_min,edge_length_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,near_zero_stiffness_threshold,near_zero_stiffness_edge_count,near_zero_stiffness_edge_fraction,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_length_mean,vertical_length_mean,diagonal_length_mean,vertical_minus_horizontal_stiffness,vertical_over_horizontal_stiffness,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1,z2,z3,delta_to_train_node_count,delta_to_train_edge_count,delta_to_train_bbox_x_span,delta_to_train_bbox_y_span,delta_to_train_bbox_aspect_y_over_x,delta_to_train_edge_length_mean,delta_to_train_edge_length_std,delta_to_train_edge_length_min,delta_to_train_edge_length_max,delta_to_train_stiffness_mean,delta_to_train_stiffness_std,delta_to_train_stiffness_min,delta_to_train_stiffness_max,delta_to_train_near_zero_stiffness_threshold,delta_to_train_near_zero_stiffness_edge_count,delta_to_train_near_zero_stiffness_edge_fraction,delta_to_train_horizontal_edge_fraction,delta_to_train_vertical_edge_fraction,delta_to_train_diagonal_edge_fraction,delta_to_train_horizontal_stiffness,delta_to_train_vertical_stiffness,delta_to_train_diagonal_stiffness,delta_to_train_horizontal_length_mean,delta_to_train_vertical_length_mean,delta_to_train_diagonal_length_mean,delta_to_train_vertical_minus_horizontal_stiffness,delta_to_train_vertical_over_horizontal_stiffness,descriptor_distance_to_train,final_p_ratio_delta_to_train
train,0,22,-0.45901086920611844,108,310,11.329604148864746,11.272703170776367,0.9949776530265808,2.3577699174804074,3.131168728025583,0.8243244886398315,14.992756843566895,0.6305376953596117,0.3875589167438343,2.7395000870455988e-05,1.1760845184326172,0.001,17,0.054838709677419356,0.36774193548387096,0.3741935483870968,0.25806451612903225,0.6925751012016151,0.8129530524592125,0.27763212424033556,2.64174954619324,2.7792504018750686,1.341952244192362,0.12037795125759732,1.1738121267263897,0.19971872866153717,1,1,1588903323,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,72,-0.0473741087700227,128,372,12.373675346374512,12.365283966064453,0.9993218183517456,2.5068163147536655,3.4920582235524558,0.7830453515052795,16.509258270263672,0.6377146094499196,0.3438293454088585,0.006090960931032896,1.2277233600616455,0.001,0,0.0,0.3709677419354839,0.3655913978494624,0.26344086021505375,0.6673576338014201,0.8135177624576232,0.3520006689442588,2.9067841928074327,2.9528926944031433,1.3245514698174534,0.1461601286562031,1.2190131966029099,-0.6758477091789246,1,1,1588903424,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,69,-0.16665686710960664,120,347,11.862309455871582,11.859619140625,0.9997732043266296,2.4245703670408267,3.317684097057432,0.788814902305603,16.061588287353516,0.6139347687301894,0.37929604652768095,0.004274123813956976,1.398787260055542,0.001,0,0.0,0.3688760806916426,0.3746397694524496,0.2564841498559078,0.6477503314708883,0.8174703472186453,0.26800199081660825,2.638256700709462,2.9453339274112995,1.356580327066143,0.16972001574775697,1.262014556383727,-3.182896375656128,1,1,1588903626,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,23,-0.33039033700227455,140,402,12.759088516235352,12.746358871459961,0.9990023374557495,2.379613141811902,3.4383711544875264,0.7936651706695557,16.895307540893555,0.6139054288994984,0.3932606271027274,0.001675280975177884,1.2517913579940796,0.001,0,0.0,0.373134328358209,0.35323383084577115,0.2736318407960199,0.6930819488565128,0.800162977996466,0.2654958837602118,2.7694731716314953,2.777639619061645,1.3341698305173353,0.10708102913995321,1.1544998096063845,-0.37741735577583313,2,1,1588911242,1,1,0.349485844373703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,25,-0.3112050286983445,100,285,10.76753044128418,10.529723167419434,0.9779143929481506,2.342898145474886,3.030568459890086,0.8065621256828308,14.61434268951416,0.646844059464753,0.3851650277457816,6.356000085361302e-06,1.2005252838134766,0.001,26,0.0912280701754386,0.4245614035087719,0.36140350877192984,0.21403508771929824,0.6739886870967864,0.8103027855035073,0.3169957197029869,2.58578032649253,2.6229045616770255,1.3883177393772563,0.13631409840672093,1.2022498315125962,0.887855589389801,2,1,1588911343,1,2,0.32561856508255005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,96,0.0729596003150843,168,480,14.18811321258545,14.041955947875977,0.989698588848114,2.561310024683674,3.8859809783279076,0.7622466683387756,19.21814727783203,0.5591510358344143,0.2720010240060662,0.02575349248945713,1.0692983865737915,0.001,0,0.0,0.36666666666666664,0.3541666666666667,0.2791666666666667,0.5739857495593076,0.7423434635076452,0.3072583319535896,3.1298263753679665,2.963079288777183,1.304894706651346,0.16835771394833765,1.293313403821608,0.8755372166633606,2,1,1588911545,1,4,-0.8248554468154907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,37,0.17250469509677205,168,481,14.173238754272461,14.09772777557373,0.9946722984313965,2.4815472477191203,3.7849971446055966,0.8005667924880981,19.08942985534668,0.532170631053418,0.22545573488264317,0.05575883015990257,1.0095258951187134,0.001,0,0.0,0.3471933471933472,0.35550935550935553,0.2972972972972973,0.4919222646844601,0.7215520275963677,0.35271089940846384,2.995206225418045,2.9873069887272794,1.2768901499001297,0.22962976291190762,1.4668009142851095,-0.011931851506233215,4,1,1588927080,1,1,0.05216424912214279,0.14929677546024323,0.011617927812039852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,50,-0.5936111989220015,100,283,10.705933570861816,10.83717155456543,1.0122584104537964,2.3881409637919586,3.0777135512616205,0.8128194212913513,14.116838455200195,0.6127528818085618,0.4018958258925118,0.0003049520018976182,1.2279093265533447,0.001,50,0.17667844522968199,0.3674911660777385,0.36395759717314485,0.26855123674911663,0.6690087205880935,0.7889961796748854,0.29691515926510637,2.8010843017926583,2.7331866338415054,1.3554329221185886,0.11998745908679198,1.1793511136615928,1.137031078338623,4,1,1588927181,1,2,-1.5824053287506104,1.5432956218719482,1.3239490985870361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train,0,67,0.2821721893243829,128,361,12.352785110473633,12.257268905639648,0.9922676086425781,2.357630903040603,3.317951067513889,0.7741749882698059,16.460222244262695,0.47579705285893914,0.10183796813575177,0.2788636386394501,0.792499840259552,0.001,0,0.0,0.3462603878116344,0.3739612188365651,0.27977839335180055,0.4286461584568024,0.5593333988278001,0.42249462805172006,2.6665434284210203,2.8562323914633856,1.3088658871036944,0.13068724037099771,1.3048837317042419,-1.0598725080490112,4,1,1588927383,1,4,-1.6809176206588745,1.8095197677612305,1.9973914623260498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
val,0,88,-0.033541463369191324,180,521,14.49539566040039,14.388689994812012,0.9926386475563049,2.493990823197502,3.877843264434641,0.7725121974945068,19.647993087768555,0.5634777281082981,0.30610361644646783,0.016787514090538025,1.198614478111267,0.001,0,0.0,0.3800383877159309,0.3666026871401152,0.2533589251439539,0.5931234523051917,0.7522269110463521,0.24589479377380374,2.89552113353604,2.8761155527299613,1.3387724535934853,0.1591034587411604,1.268246784245,0.2028699368238449,1,1,1588903323,1,1,,,,72.0,211.0,3.1657915115356445,3.1159868240356445,-0.002339005470275879,0.13622090571709444,0.7466745364090577,-0.05181229114532471,4.65523624420166,-0.06705996725131358,-0.08145530029736647,0.01676011908966757,0.022529959678649902,0.0,-17.0,-0.054838709677419356,0.01229645223205994,-0.007590861246981606,-0.004705590985078334,-0.09945164889642344,-0.06072614141286037,-0.03173733046653182,0.25377158734280014,0.09686515085489278,-0.0031797905988766306,0.03872550748356307,0.09443465751861035,1.633726986914676,0.4254694058369271
