latent_dim,repeat,seed,train_networks,train_frames_per_network,epoch,train_mse_norm,val_mse_norm
1,1,1588903323,1,1,1,0.00024651610874570906,2232880.778846154
1,1,1588903323,1,1,2,0.0002403663529548794,2233011.3653846155
1,1,1588903323,1,1,3,0.00013030559057369828,2233045.951923077
1,1,1588903323,1,1,4,4.16412040067371e-05,2233021.4134615385
1,1,1588903323,1,1,5,4.417263698996976e-05,2232990.0865384615
1,1,1588903323,1,1,6,5.649665399687365e-05,2232972.721153846
1,1,1588903323,1,1,7,4.841996269533411e-05,2232972.596153846
1,1,1588903323,1,1,8,3.328507227706723e-05,2232988.375
1,1,1588903323,1,1,9,2.5271800041082315e-05,2233010.0384615385
1,1,1588903323,1,1,10,2.3608425181009807e-05,2233036.9615384615
1,1,1588903323,1,1,11,2.0916017092531547e-05,2233061.7596153845
1,1,1588903323,1,1,12,1.5746967619634233e-05,2233072.7115384615
1,1,1588903323,1,1,13,1.2016715118079446e-05,2233071.4134615385
1,1,1588903323,1,1,14,1.1820437975984532e-05,2233056.903846154
1,1,1588903323,1,1,15,1.3605592357635032e-05,2233034.6634615385
1,1,1588903323,1,1,16,1.4436421224672813e-05,2233009.173076923
1,1,1588903323,1,1,17,1.2497743227868341e-05,2232983.798076923
1,1,1588903323,1,1,18,8.446218998869881e-06,2232962.019230769
1,1,1588903323,1,1,19,4.6857921915943734e-06,2232945.048076923
1,1,1588903323,1,1,20,3.162695520586567e-06,2232934.6346153845
1,1,1588903323,1,1,21,3.8997723095235415e-06,2232926.5096153845
1,1,1588903323,1,1,22,5.4513084251084365e-06,2232920.8173076925
1,1,1588903323,1,1,23,6.302652309386758e-06,2232917.0
1,1,1588903323,1,1,24,5.795941433461849e-06,2232914.548076923
1,1,1588903323,1,1,25,4.261850790499011e-06,2232912.6634615385
1,1,1588903323,1,1,26,2.631410552567104e-06,2232911.721153846
1,1,1588903424,1,2,1,0.9909080266952515,29.93731374007005
1,1,1588903424,1,2,2,0.9567742347717285,29.779487169705906
1,1,1588903424,1,2,3,0.9212639927864075,29.585874410775993
1,1,1588903424,1,2,4,0.8810553550720215,29.318844355069675
1,1,1588903424,1,2,5,0.8324020504951477,28.903198388906624
1,1,1588903424,1,2,6,0.7696921229362488,28.195182947012093
1,1,1588903424,1,2,7,0.6835787296295166,27.01038331251878
