target,descriptor,pearson_r,abs_r
mean_z0,node_count,0.06750472926707772,0.06750472926707772
mean_z0,edge_count,0.06817830182809603,0.06817830182809603
mean_z0,edge_density,-0.0948681867105979,0.0948681867105979
mean_z0,mean_degree,0.06151949694327654,0.06151949694327654
mean_z0,std_degree,0.026515216821351016,0.026515216821351016
mean_z0,max_degree,-0.0184006083449402,0.0184006083449402
mean_z0,x_span0,0.0731933472154992,0.0731933472154992
mean_z0,y_span0,0.08383989478294669,0.08383989478294669
mean_z0,aspect_ratio0,-0.1429339202502647,0.1429339202502647
mean_z0,edge_len_mean,-0.7614434713425688,0.7614434713425688
mean_z0,edge_len_std,-0.058883794037469656,0.058883794037469656
mean_z0,edge_len_min,0.5188344872090812,0.5188344872090812
mean_z0,edge_len_max,0.14919152447013267,0.14919152447013267
mean_z0,stiffness_mean,0.8217409640624859,0.8217409640624859
mean_z0,stiffness_std,-0.8167251181790052,0.8167251181790052
mean_z0,stiffness_min,0.8301316777243203,0.8301316777243203
mean_z0,stiffness_max,-0.5211501933259941,0.5211501933259941
final_z0,node_count,0.06104658549517879,0.06104658549517879
final_z0,edge_count,0.06179055669889854,0.06179055669889854
final_z0,edge_density,-0.0882244880173308,0.0882244880173308
final_z0,mean_degree,0.06537244402832056,0.06537244402832056
final_z0,std_degree,0.024278871011348586,0.024278871011348586
final_z0,max_degree,-0.017682187482798668,0.017682187482798668
final_z0,x_span0,0.06675372536391526,0.06675372536391526
final_z0,y_span0,0.0772436607400466,0.0772436607400466
final_z0,aspect_ratio0,-0.1404279039725838,0.1404279039725838
final_z0,edge_len_mean,-0.7649408959425926,0.7649408959425926
final_z0,edge_len_std,-0.0658139739257909,0.0658139739257909
final_z0,edge_len_min,0.5191143959141578,0.5191143959141578
final_z0,edge_len_max,0.14326540168019744,0.14326540168019744
final_z0,stiffness_mean,0.8195289884606778,0.8195289884606778
final_z0,stiffness_std,-0.8178673823256433,0.8178673823256433
final_z0,stiffness_min,0.8311610997242808,0.8311610997242808
final_z0,stiffness_max,-0.5226845156305714,0.5226845156305714
slope_z0,node_count,0.05595810872027243,0.05595810872027243
slope_z0,edge_count,0.05678508353782658,0.05678508353782658
slope_z0,edge_density,-0.08263906954122219,0.08263906954122219
slope_z0,mean_degree,0.07000371451736993,0.07000371451736993
slope_z0,std_degree,0.02132576680247131,0.02132576680247131
slope_z0,max_degree,-0.017418040174849447,0.017418040174849447
slope_z0,x_span0,0.061602736306366306,0.061602736306366306
slope_z0,y_span0,0.07189716260367662,0.07189716260367662
slope_z0,aspect_ratio0,-0.13741453101281487,0.13741453101281487
slope_z0,edge_len_mean,-0.767957974388164,0.767957974388164
slope_z0,edge_len_std,-0.07169886350828546,0.07169886350828546
slope_z0,edge_len_min,0.5172036035357307,0.5172036035357307
slope_z0,edge_len_max,0.13859050191260897,0.13859050191260897
slope_z0,stiffness_mean,0.817812101059615,0.817812101059615
slope_z0,stiffness_std,-0.816998925424598,0.816998925424598
slope_z0,stiffness_min,0.8299927773007925,0.8299927773007925
slope_z0,stiffness_max,-0.5226292050673214,0.5226292050673214
range_z0,node_count,0.05595810872027243,0.05595810872027243
range_z0,edge_count,0.05678508353782658,0.05678508353782658
range_z0,edge_density,-0.08263906954122219,0.08263906954122219
range_z0,mean_degree,0.07000371451736993,0.07000371451736993
