target,descriptor,mse_increase_when_permuted,target_r2
mean_z0,node_count,0.02624575792662466,0.9730184994798117
mean_z0,edge_count,2.406199816237067,0.9730184994798117
mean_z0,edge_density,0.6558116763969671,0.9730184994798117
mean_z0,mean_degree,0.012043959601632993,0.9730184994798117
mean_z0,std_degree,0.0032439392755811737,0.9730184994798117
mean_z0,max_degree,0.0005465901508371583,0.9730184994798117
mean_z0,x_span0,0.15157865846439736,0.9730184994798117
mean_z0,y_span0,0.2286897945801312,0.9730184994798117
mean_z0,aspect_ratio0,0.00037408015480964313,0.9730184994798117
mean_z0,edge_len_mean,1.0046072632818035,0.9730184994798117
mean_z0,edge_len_std,4.225283221775495,0.9730184994798117
mean_z0,edge_len_min,0.7977244674866825,0.9730184994798117
mean_z0,edge_len_max,0.020541419689038477,0.9730184994798117
mean_z0,stiffness_mean,0.16983683362647864,0.9730184994798117
mean_z0,stiffness_std,1.0646307181484247,0.9730184994798117
mean_z0,stiffness_min,0.022452879700094595,0.9730184994798117
mean_z0,stiffness_max,0.05039699578463907,0.9730184994798117
final_z0,node_count,0.0005310095004735782,0.974194834079527
final_z0,edge_count,1.8134421319615854,0.974194834079527
final_z0,edge_density,0.6019936278013499,0.974194834079527
final_z0,mean_degree,0.010303883977199977,0.974194834079527
final_z0,std_degree,0.0027021621651929853,0.974194834079527
final_z0,max_degree,-0.0005634485910331853,0.974194834079527
final_z0,x_span0,0.2652197779695674,0.974194834079527
final_z0,y_span0,0.09225948713101086,0.974194834079527
final_z0,aspect_ratio0,0.00013110639902331675,0.974194834079527
final_z0,edge_len_mean,0.8052428280086745,0.974194834079527
final_z0,edge_len_std,3.1924595829766176,0.974194834079527
final_z0,edge_len_min,0.8807939007958935,0.974194834079527
final_z0,edge_len_max,0.011525794516233982,0.974194834079527
final_z0,stiffness_mean,0.16588438184710838,0.974194834079527
final_z0,stiffness_std,1.0094982072822418,0.974194834079527
final_z0,stiffness_min,0.02806218096395364,0.974194834079527
final_z0,stiffness_max,0.06220000669635915,0.974194834079527
slope_z0,node_count,0.011112692336392293,0.9743621523361392
slope_z0,edge_count,2.229898138754126,0.9743621523361392
slope_z0,edge_density,0.6164275997738338,0.9743621523361392
slope_z0,mean_degree,0.019212904114865054,0.9743621523361392
slope_z0,std_degree,0.0022598577479397038,0.9743621523361392
slope_z0,max_degree,9.43696172781526e-05,0.9743621523361392
slope_z0,x_span0,0.5383653519366252,0.9743621523361392
slope_z0,y_span0,0.019979665401698907,0.9743621523361392
slope_z0,aspect_ratio0,7.520451527933888e-05,0.9743621523361392
slope_z0,edge_len_mean,0.7997902743033942,0.9743621523361392
slope_z0,edge_len_std,2.951010118836351,0.9743621523361392
