dataset,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw
one-system CV2 train-sim-0,73,0.2491527322679758,91.70637107910588,6.955176224709093e-05
one-system CV2 train-sim-0,74,0.2898854061961174,90.22924770202488,6.842729853988594e-05
one-system CV2 train-sim-0,75,0.2306181287232903,88.96753703291527,6.747334501342905e-05
one-system CV2 train-sim-0,76,0.2900176733732224,87.04351444961503,6.599585883549696e-05
one-system CV2 train-sim-0,77,0.2580361234897282,86.0927100674063,6.528737647773842e-05
one-system CV2 train-sim-0,78,0.24192488230764866,86.28207873566076,6.543450624662218e-05
one-system CV2 train-sim-0,79,0.23177431765943765,85.34569441701285,6.4732654080073e-05
one-system CV2 train-sim-0,80,0.24707307992503047,85.05103220299817,6.450347594749495e-05
one-system CV2 train-sim-0,81,0.2095837236382067,82.54393758875318,6.259727862099495e-05
one-system CV2 train-sim-0,82,0.23374151363968848,84.02802620133384,6.3736126269891e-05
one-system CV2 train-sim-0,83,0.22400994170457125,84.4446789666079,6.404341230275002e-05
one-system CV2 train-sim-0,84,0.21181334368884563,83.31811991213821,6.320187718102055e-05
one-system CV2 train-sim-0,85,0.27201382561179344,84.72022244748659,6.42437854781841e-05
one-system CV2 train-sim-0,86,0.21253310078755022,84.00139074294827,6.371152308275895e-05
one-system CV2 train-sim-0,87,0.24427314535714686,84.27245030836202,6.391429480860466e-05
one-system CV2 train-sim-0,88,0.2453984996303916,82.64481141910888,6.268713378257296e-05
one-system CV2 train-sim-0,89,0.2238095946609974,80.12872234554962,6.078234477105315e-05
one-system CV2 train-sim-0,90,0.20342785473912955,80.34821806466206,6.0946945427615694e-05
one-system CV2 train-sim-0,91,0.22315525785088539,82.59653649694286,6.265940455027597e-05
one-system CV2 train-sim-0,92,0.18842867261264473,83.80437603463419,6.355427411167902e-05
one-system CV2 train-sim-0,93,0.2709055910818279,83.16317368434743,6.308369559638649e-05
one-system CV2 train-sim-0,94,0.2081124812364578,83.3565668598283,6.321601673602739e-05
one-system CV2 train-sim-0,95,0.19897039821371437,83.53162604674696,6.336028771919633e-05
one-system CV2 train-sim-0,96,0.23891246914863587,81.46926677042619,6.180345565427458e-05
one-system CV2 train-sim-0,97,0.19418022413738073,83.26950812898576,6.316159169579727e-05
one-system CV2 train-sim-0,98,0.16971043087542056,82.76786743955687,6.278183341835497e-05
one-system CV2 train-sim-0,99,0.2361880173906684,79.72141854617745,6.0471548056266755e-05
one-system CV2 train-sim-0,100,0.20725975087843834,80.99647633831017,6.143710036406792e-05
one-system CV2 train-sim-0,101,0.18357058671535925,81.38180618613958,6.172953925414503e-05
one-system CV2 train-sim-0,102,0.19623789843171835,80.72535833536648,6.12393725017757e-05
one-system CV2 train-sim-0,103,0.1671678527723998,80.61154272019863,6.115336696751683e-05
one-system CV2 train-sim-0,104,0.21462835986167192,79.57831577107311,6.037492588957249e-05
one-system CV2 train-sim-0,105,0.17598404665477574,77.63676852155477,5.889319171343388e-05
one-system CV2 train-sim-0,106,0.196869813837111,79.38248744342476,6.0213442656382734e-05
one-system CV2 train-sim-0,107,0.18311492996290327,78.95860493633896,5.989933872335484e-05
one-system CV2 train-sim-0,108,0.20987099763005973,79.2985723868385,6.0159776138850595e-05
one-system CV2 train-sim-0,109,0.1748331611044705,82.08976029038429,6.22656464082194e-05
one-system CV2 train-sim-0,110,0.17228556601330638,83.83767453996465,6.35850369790969e-05
one-system CV2 train-sim-0,111,0.23329788679257035,85.04887963796034,6.45219428417665e-05
one-system CV2 train-sim-0,112,0.21483356258831918,82.33559991864487,6.24384488703722e-05
one-system CV2 train-sim-0,113,0.1845308911986649,84.84481743996963,6.43569509186026e-05
one-system CV2 train-sim-0,114,0.1983218771405518,84.47476039261556,6.407231779155253e-05
one-system CV2 train-sim-0,115,0.18678019307553767,81.99681262708269,6.219359096434562e-05
one-system CV2 train-sim-0,116,0.20979745262302457,82.60508715260774,6.265602236179113e-05
one-system CV2 train-sim-0,117,0.1799860827624798,81.80264929411001,6.206356291635462e-05
one-system CV2 train-sim-0,118,0.1809942565858364,80.82007418333552,6.128670563460226e-05
one-system CV2 train-sim-0,119,0.21055615022778512,82.71567719046027,6.272892755593951e-05
one-system CV2 train-sim-0,120,0.17403329142216534,82.98201531144791,6.293974411150316e-05
one-system CV2 train-sim-0,121,0.15153738316148518,84.0122850192152,6.371230426308383e-05
one-system CV2 train-sim-0,122,0.19975270228460432,83.10098548145034,6.303251694091739e-05
one-system CV2 train-sim-0,123,0.18698527868837117,81.95916866627522,6.216852355335867e-05
one-system CV2 train-sim-0,124,0.16271336590871216,82.35014574594796,6.246597846191194e-05
one-system CV2 train-sim-0,125,0.16728133717551827,82.85139855857007,6.285151904076081e-05
one-system CV2 train-sim-0,126,0.16615203991532326,81.3487183192838,6.17014549542283e-05
one-system CV2 train-sim-0,127,0.142584365606308,82.71410557545721,6.274294011920035e-05
one-system CV2 train-sim-0,128,0.208481512661092,80.71441354321315,6.123370423829488e-05
one-system CV2 train-sim-0,129,0.16395823368802667,81.52670332093723,6.18505629784849e-05
one-system CV2 train-sim-0,130,0.1694058001972735,80.33763867710717,6.094490146994147e-05
