dataset,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw
one-system CV2 train-sim-0,1,0.6986618276685477,115.06529683880508,8.72925940142366e-05
one-system CV2 train-sim-0,2,0.6075637409463525,116.06669392149895,8.81054506759682e-05
one-system CV2 train-sim-0,3,0.5238892922177911,115.50953149440699,8.769168081309343e-05
one-system CV2 train-sim-0,4,0.51198546634987,116.32367193631828,8.834627876953327e-05
one-system CV2 train-sim-0,5,2.516282584425062,117.21737733798102,8.896454555324063e-05
one-system CV2 train-sim-0,6,0.46075512245297434,117.41853996882215,8.908908044328533e-05
one-system CV2 train-sim-0,7,0.4508869115263224,116.92890634493902,8.87537365012836e-05
one-system CV2 train-sim-0,8,0.4871206555450044,118.5753132346319,9.001993538285013e-05
one-system CV2 train-sim-0,9,0.4340907733887434,117.62010141764767,8.924576134996975e-05
one-system CV2 train-sim-0,10,0.4380582640878856,117.49690487537534,8.913853823213192e-05
one-system CV2 train-sim-0,11,0.4197351915296167,116.15848272102885,8.812700667248485e-05
one-system CV2 train-sim-0,12,0.4273922060616314,114.84154406089336,8.713098309860002e-05
one-system CV2 train-sim-0,13,0.42465061619877814,114.67712040894665,8.703198629773645e-05
one-system CV2 train-sim-0,14,0.40401028813794254,110.55827896517701,8.388944610159931e-05
one-system CV2 train-sim-0,15,0.36149688775185496,109.98966009723023,8.343729091328633e-05
one-system CV2 train-sim-0,16,0.3930797534063458,107.1506878148485,8.128999196356012e-05
one-system CV2 train-sim-0,17,0.3892710047774017,106.23501776073128,8.061585503692292e-05
one-system CV2 train-sim-0,18,0.38341372171416876,108.43273151726461,8.225176971215386e-05
one-system CV2 train-sim-0,19,0.34681444577872755,102.59598490552045,7.786396667826879e-05
one-system CV2 train-sim-0,20,0.3953921032138169,103.38170124352445,7.837036312903223e-05
one-system CV2 train-sim-0,21,0.3611549286171794,104.0046706666099,7.889830869540316e-05
one-system CV2 train-sim-0,22,0.33388441721908746,104.15435992465355,7.89864412213781e-05
one-system CV2 train-sim-0,23,0.40045097122201695,101.63475926227868,7.704720975909574e-05
one-system CV2 train-sim-0,24,0.363778892531991,103.11909854857717,7.821368657636718e-05
one-system CV2 train-sim-0,25,0.3614963392727077,103.79011976549401,7.873661117113073e-05
one-system CV2 train-sim-0,26,0.3456681763753295,103.42868170049042,7.846682938314587e-05
one-system CV2 train-sim-0,27,0.3021453879773617,104.34827084437012,7.913277634378879e-05
one-system CV2 train-sim-0,28,0.3412517734715948,102.72145471530035,7.790405592627891e-05
one-system CV2 train-sim-0,29,0.33986217211931946,102.69562614916823,7.787058658685897e-05
one-system CV2 train-sim-0,30,0.49277262687683104,100.6174662300013,7.632281547389264e-05
one-system CV2 train-sim-0,31,0.3245133630931377,102.61526594941505,7.782192839895785e-05
