model,dataset,split,local_sim_idx,sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,z0,z1
one_system,one-system CV2 train-sim-0,train,0,0,0,0.0,,-0.4807224091848549,-0.005240217782557011,-0.0460810661315918
one_system,one-system CV2 train-sim-0,train,0,0,1,0.006535947712418301,0.14456521739130435,-0.4807224091848549,0.01033373735845089,-0.03155764937400818
one_system,one-system CV2 train-sim-0,train,0,0,2,0.013071895424836602,0.049198151671649905,-0.4807224091848549,0.022692052647471428,-0.020010268315672874
one_system,one-system CV2 train-sim-0,train,0,0,3,0.0196078431372549,-0.043256997455470736,-0.4807224091848549,0.034437146037817,-0.009022753685712814
one_system,one-system CV2 train-sim-0,train,0,0,4,0.026143790849673203,-0.10947109471094711,-0.4807224091848549,0.04512029141187668,0.00098470039665699
one_system,one-system CV2 train-sim-0,train,0,0,5,0.032679738562091505,-0.15971538040503558,-0.4807224091848549,0.05496745556592941,0.010215738788247108
one_system,one-system CV2 train-sim-0,train,0,0,6,0.0392156862745098,-0.19484790353521514,-0.4807224091848549,0.06450285017490387,0.019154788926243782
one_system,one-system CV2 train-sim-0,train,0,0,7,0.0457516339869281,-0.22321498550043106,-0.4807224091848549,0.07421408593654633,0.028259051963686943
one_system,one-system CV2 train-sim-0,train,0,0,8,0.05228758169934641,-0.24606934431857191,-0.4807224091848549,0.08347025513648987,0.036937206983566284
one_system,one-system CV2 train-sim-0,train,0,0,9,0.058823529411764705,-0.264,-0.4807224091848549,0.09267178177833557,0.045569755136966705
one_system,one-system CV2 train-sim-0,train,0,0,10,0.06535947712418301,-0.2799691918358365,-0.4807224091848549,0.10168860852718353,0.05402704328298569
one_system,one-system CV2 train-sim-0,train,0,0,11,0.0718954248366013,-0.29319921933643595,-0.4807224091848549,0.11047486960887909,0.06227005273103714
one_system,one-system CV2 train-sim-0,train,0,0,12,0.0784313725490196,-0.3051080820597549,-0.4807224091848549,0.11952607333660126,0.07075821608304977
one_system,one-system CV2 train-sim-0,train,0,0,13,0.08496732026143791,-0.3147119908447421,-0.4807224091848549,0.12805692851543427,0.07876365631818771
one_system,one-system CV2 train-sim-0,train,0,0,14,0.0915032679738562,-0.32453929752716965,-0.4807224091848549,0.13716454803943634,0.08730656653642654
one_system,one-system CV2 train-sim-0,train,0,0,15,0.09803921568627451,-0.33252462873106897,-0.4807224091848549,0.14566552639007568,0.09528636932373047
one_system,one-system CV2 train-sim-0,train,0,0,16,0.10457516339869281,-0.3401585660117201,-0.4807224091848549,0.15428224205970764,0.10337398201227188
one_system,one-system CV2 train-sim-0,train,0,0,17,0.1111111111111111,-0.3468990361211177,-0.4807224091848549,0.16263145208358765,0.11120747774839401
one_system,one-system CV2 train-sim-0,train,0,0,18,0.11764705882352941,-0.35302412556328744,-0.4807224091848549,0.17122972011566162,0.11927709728479385
one_system,one-system CV2 train-sim-0,train,0,0,19,0.12418300653594772,-0.35881942830583313,-0.4807224091848549,0.17967970669269562,0.1272072196006775
one_system,one-system CV2 train-sim-0,train,0,0,20,0.13071895424836602,-0.36364890974330666,-0.4807224091848549,0.18814964592456818,0.13515445590019226
one_system,one-system CV2 train-sim-0,train,0,0,21,0.13725490196078433,-0.36874901404006943,-0.4807224091848549,0.19669035077095032,0.14317119121551514
one_system,one-system CV2 train-sim-0,train,0,0,22,0.1437908496732026,-0.373111099954817,-0.4807224091848549,0.20479390025138855,0.15077924728393555
one_system,one-system CV2 train-sim-0,train,0,0,23,0.1503267973856209,-0.3774944168287587,-0.4807224091848549,0.21341460943222046,0.15886835753917694
one_system,one-system CV2 train-sim-0,train,0,0,24,0.1568627450980392,-0.3812197928653625,-0.4807224091848549,0.22150811553001404,0.1664646565914154
one_system,one-system CV2 train-sim-0,train,0,0,25,0.16339869281045752,-0.3848873177198409,-0.4807224091848549,0.23005327582359314,0.1744849681854248
one_system,one-system CV2 train-sim-0,train,0,0,26,0.16993464052287582,-0.38826679132227016,-0.4807224091848549,0.2379840910434723,0.18192994594573975
one_system,one-system CV2 train-sim-0,train,0,0,27,0.17647058823529413,-0.39141910139945985,-0.4807224091848549,0.24644526839256287,0.18986782431602478
one_system,one-system CV2 train-sim-0,train,0,0,28,0.1830065359477124,-0.39434174443151104,-0.4807224091848549,0.2548377215862274,0.19774553179740906
one_system,one-system CV2 train-sim-0,train,0,0,29,0.1895424836601307,-0.3971655523172753,-0.4807224091848549,0.2629716098308563,0.20538035035133362
one_system,one-system CV2 train-sim-0,train,0,0,30,0.19607843137254902,-0.4001104972375691,-0.4807224091848549,0.27125635743141174,0.21315768361091614
one_system,one-system CV2 train-sim-0,train,0,0,31,0.20261437908496732,-0.4023097075439753,-0.4807224091848549,0.2794436514377594,0.22084030508995056
one_system,one-system CV2 train-sim-0,train,0,0,32,0.20915032679738563,-0.4047890339064982,-0.4807224091848549,0.2876507341861725,0.22854427993297577
one_system,one-system CV2 train-sim-0,train,0,0,33,0.21568627450980393,-0.40685059934373535,-0.4807224091848549,0.29596441984176636,0.23634612560272217
one_system,one-system CV2 train-sim-0,train,0,0,34,0.2222222222222222,-0.4091743715571733,-0.4807224091848549,0.3045320510864258,0.24438586831092834
one_system,one-system CV2 train-sim-0,train,0,0,35,0.22875816993464052,-0.41113233460148074,-0.4807224091848549,0.31224140524864197,0.25162553787231445
one_system,one-system CV2 train-sim-0,train,0,0,36,0.23529411764705882,-0.4131008656148321,-0.4807224091848549,0.3205244541168213,0.2594011425971985
one_system,one-system CV2 train-sim-0,train,0,0,37,0.24183006535947713,-0.4149517636868672,-0.4807224091848549,0.32879871129989624,0.2671666741371155
one_system,one-system CV2 train-sim-0,train,0,0,38,0.24836601307189543,-0.4167345276872964,-0.4807224091848549,0.33678144216537476,0.2746581435203552
one_system,one-system CV2 train-sim-0,train,0,0,39,0.2549019607843137,-0.41854270858422,-0.4807224091848549,0.3451331853866577,0.2824963927268982
one_system,one-system CV2 train-sim-0,train,0,0,40,0.26143790849673204,-0.42006022764946405,-0.4807224091848549,0.3531660735607147,0.29003649950027466
one_system,one-system CV2 train-sim-0,train,0,0,41,0.2679738562091503,-0.42171223739000363,-0.4807224091848549,0.3613027334213257,0.2976725101470947
one_system,one-system CV2 train-sim-0,train,0,0,42,0.27450980392156865,-0.423010642356315,-0.4807224091848549,0.3692474365234375,0.30513155460357666
one_system,one-system CV2 train-sim-0,train,0,0,43,0.28104575163398693,-0.42460490813311064,-0.4807224091848549,0.37745270133018494,0.3128317594528198
one_system,one-system CV2 train-sim-0,train,0,0,44,0.2875816993464052,-0.4259059290324201,-0.4807224091848549,0.38537314534187317,0.32026439905166626
one_system,one-system CV2 train-sim-0,train,0,0,45,0.29411764705882354,-0.4273068801257182,-0.4807224091848549,0.39384421706199646,0.3282150626182556
one_system,one-system CV2 train-sim-0,train,0,0,46,0.3006535947712418,-0.42856971283763495,-0.4807224091848549,0.40171679854393005,0.3356042504310608
one_system,one-system CV2 train-sim-0,train,0,0,47,0.30718954248366015,-0.42980394000658234,-0.4807224091848549,0.40990322828292847,0.3432866334915161
one_system,one-system CV2 train-sim-0,train,0,0,48,0.3137254901960784,-0.43100154225076537,-0.4807224091848549,0.4179430305957794,0.35083258152008057
one_system,one-system CV2 train-sim-0,train,0,0,49,0.3202614379084967,-0.43212924755913323,-0.4807224091848549,0.42621004581451416,0.3585890531539917
one_system,one-system CV2 train-sim-0,train,0,0,50,0.32679738562091504,-0.4333727392250666,-0.4807224091848549,0.4342564344406128,0.366142600774765
one_system,one-system CV2 train-sim-0,train,0,0,51,0.3333333333333333,-0.4343074390191066,-0.4807224091848549,0.44205787777900696,0.373466432094574
one_system,one-system CV2 train-sim-0,train,0,0,52,0.33986928104575165,-0.43547770294673777,-0.4807224091848549,0.4503292143344879,0.3812257945537567
one_system,one-system CV2 train-sim-0,train,0,0,53,0.3464052287581699,-0.43644474090132157,-0.4807224091848549,0.45834705233573914,0.3887518048286438
one_system,one-system CV2 train-sim-0,train,0,0,54,0.35294117647058826,-0.43742520176344835,-0.4807224091848549,0.4664253294467926,0.3963310718536377
one_system,one-system CV2 train-sim-0,train,0,0,55,0.35947712418300654,-0.4384044508269982,-0.4807224091848549,0.4744374752044678,0.4038515090942383
one_system,one-system CV2 train-sim-0,train,0,0,56,0.3660130718954248,-0.43936046396938433,-0.4807224091848549,0.48261702060699463,0.4115273952484131
one_system,one-system CV2 train-sim-0,train,0,0,57,0.37254901960784315,-0.44035505940267844,-0.4807224091848549,0.4905431866645813,0.4189661145210266
one_system,one-system CV2 train-sim-0,train,0,0,58,0.3790849673202614,-0.4411168141087294,-0.4807224091848549,0.49831366539001465,0.4262577295303345
one_system,one-system CV2 train-sim-0,train,0,0,59,0.38562091503267976,-0.44212802606204715,-0.4807224091848549,0.5065138936042786,0.4339536428451538
one_system,one-system CV2 train-sim-0,train,0,0,60,0.39215686274509803,-0.4427619345692877,-0.4807224091848549,0.5146272778511047,0.44156622886657715
one_system,one-system CV2 train-sim-0,train,0,0,61,0.39869281045751637,-0.44362256907978126,-0.4807224091848549,0.5226242542266846,0.4490697383880615
one_system,one-system CV2 train-sim-0,train,0,0,62,0.40522875816993464,-0.4443306223888973,-0.4807224091848549,0.530554473400116,0.45651206374168396
one_system,one-system CV2 train-sim-0,train,0,0,63,0.4117647058823529,-0.4451798409790222,-0.4807224091848549,0.5387686491012573,0.4642183780670166
one_system,one-system CV2 train-sim-0,train,0,0,64,0.41830065359477125,-0.44583948156393727,-0.4807224091848549,0.5466510057449341,0.4716159999370575
one_system,one-system CV2 train-sim-0,train,0,0,65,0.42483660130718953,-0.4465326513619603,-0.4807224091848549,0.5548475980758667,0.4793044924736023
one_system,one-system CV2 train-sim-0,train,0,0,66,0.43137254901960786,-0.4473116120287163,-0.4807224091848549,0.5626493692398071,0.48662829399108887
one_system,one-system CV2 train-sim-0,train,0,0,67,0.43790849673202614,-0.44795384298372143,-0.4807224091848549,0.5705199837684631,0.49401378631591797
one_system,one-system CV2 train-sim-0,train,0,0,68,0.4444444444444444,-0.4487306511605243,-0.4807224091848549,0.5786967873573303,0.5016838908195496
one_system,one-system CV2 train-sim-0,train,0,0,69,0.45098039215686275,-0.44932013349232897,-0.4807224091848549,0.5863552093505859,0.5088733434677124
one_system,one-system CV2 train-sim-0,train,0,0,70,0.45751633986928103,-0.45013056066140217,-0.4807224091848549,0.5945220589637756,0.5165339708328247
one_system,one-system CV2 train-sim-0,train,0,0,71,0.46405228758169936,-0.45067782504880494,-0.4807224091848549,0.6024017333984375,0.5239283442497253
one_system,one-system CV2 train-sim-0,train,0,0,72,0.47058823529411764,-0.4513659861023761,-0.4807224091848549,0.6104366779327393,0.5314652323722839
one_system,one-system CV2 train-sim-0,train,0,0,73,0.477124183006536,-0.4519467158861396,-0.4807224091848549,0.6186781525611877,0.5391969084739685
one_system,one-system CV2 train-sim-0,train,0,0,74,0.48366013071895425,-0.45252663940542637,-0.4807224091848549,0.626356303691864,0.5464017391204834
one_system,one-system CV2 train-sim-0,train,0,0,75,0.49019607843137253,-0.45311315128803553,-0.4807224091848549,0.6345140337944031,0.5540574789047241
one_system,one-system CV2 train-sim-0,train,0,0,76,0.49673202614379086,-0.4536062250702936,-0.4807224091848549,0.6421711444854736,0.5612419843673706
