sim_idx,split,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,x_span0,y_span0,aspect_ratio0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max
0,train,200,580,0.02914572864321608,5.8,0.812403840463596,8.0,15.17732048034668,15.370189666748047,0.9874517367330462,2.6568674014046274,3.9345612041517315,0.29378700256347656,20.053022384643555,0.8431189633135138,0.39472780659633055,0.30868297815322876,3.4035451412200928
1,val,112,327,0.052606177606177605,5.839285714285714,0.7140624651118646,7.0,11.426410675048828,11.370939254760742,1.0048783498922362,2.3753728533009872,3.009682483428136,0.4531711935997009,14.686665534973145,0.854563570350682,0.3234460169311264,0.34719398617744446,2.2067248821258545
2,val,204,586,0.028300975562638848,5.745098039215686,0.8127208539632433,7.0,15.61182975769043,15.490180015563965,1.0078533459265313,2.576528964138275,4.094792925099117,0.4450458884239197,20.582326889038086,0.8665889059113968,0.2248929594576938,0.4742926359176636,2.2470033168792725
3,val,212,609,0.027228829473307698,5.745283018867925,0.7404909227619022,7.0,15.600379943847656,15.78615951538086,0.9882314902904539,2.8111232461894087,4.279876674570272,0.3266274034976959,21.32996368408203,0.8447209415568898,0.3630793301198909,0.33803075551986694,3.06135892868042
4,val,208,597,0.027731326644370124,5.740384615384615,0.8261960131052474,8.0,15.69120979309082,15.58350944519043,1.0069111741664603,2.4990297191007254,4.0097560577799,0.46868982911109924,21.283069610595703,0.8634449682343546,0.22654144991973607,0.4937545955181122,2.133493423461914
5,val,200,575,0.028894472361809045,5.75,0.7599342076785331,8.0,15.427849769592285,15.444160461425781,0.9989438926204999,2.665252505178037,4.167790105459815,0.2891528010368347,21.390098571777344,0.8738315748650095,0.29188861784043246,0.46761617064476013,3.458449363708496
6,val,152,435,0.037905193447194147,5.723684210526316,0.753914071093515,7.0,13.41472053527832,13.366789817810059,1.0035858061749725,2.412444027264913,3.5817679684521577,0.7695790529251099,17.841020584106445,0.8671900542303064,0.12395982029597309,0.6264809370040894,1.2994452714920044
7,val,188,539,0.030663329161451813,5.73404255319149,0.7878807004802351,7.0,14.893219947814941,14.5829496383667,1.0212762381508844,2.668990255231539,3.908929924551324,0.3034708797931671,19.399099349975586,0.8526453897218758,0.3748616000815794,0.34999433159828186,3.2952880859375
8,val,284,824,0.02050465336186732,5.802816901408451,0.7713116377517221,8.0,18.379959106445312,18.35546875,1.0013342266971696,2.7157717751863513,4.519330100361896,0.30797144770622253,23.959566116333008,0.8379958122968674,0.3594871044093896,0.3609865605831146,3.2468318939208984
9,val,108,309,0.05347871235721703,5.722222222222222,0.8370288429621868,8.0,11.346650123596191,11.116350173950195,1.0207172269712839,2.401567570117685,3.1199895471751473,0.3469509184360504,15.262079238891602,0.8732563301583324,0.27975472004141105,0.4638128876686096,2.8819265365600586
10,val,132,380,0.043950959981494335,5.757575757575758,0.8627055057870764,8.0,12.54779052734375,12.261890411376953,1.0233161532500348,2.651656465232372,3.4889895578365944,0.31503844261169434,16.800403594970703,0.8359885251051501,0.37731951895018867,0.29906636476516724,3.1742382049560547
11,val,108,309,0.05347871235721703,5.722222222222222,0.8146043499230656,7.0,11.101110458374023,11.36199951171875,0.9770384558566786,2.523595774733133,3.194844898751006,0.32172146439552307,14.564658164978027,0.8593242443302302,0.3129719130474269,0.3912413418292999,3.107959508895874
12,val,180,522,0.03240223463687151,5.8,0.8259674462242578,8.0,14.670900344848633,14.385479927062988,1.0198408686559488,2.474039796668451,3.8543385868444684,0.7527927756309509,19.67597007751465,0.8614825549253559,0.12182773034774542,0.6299436092376709,1.3284119367599487
13,val,244,696,0.023477028941509815,5.704918032786885,0.8266912579097029,7.0,16.94631004333496,16.9683895111084,0.9986987882521802,2.400787305258129,4.046179423978682,0.3153286278247833,23.02042007446289,0.8626949738325744,0.24693078234843152,0.4668240547180176,3.171339511871338
14,val,144,416,0.04040404040404041,5.777777777777778,0.8031573497111645,8.0,12.98169994354248,13.106369972229004,0.9904878292806715,2.5772385762001457,3.591964115520382,0.3479878306388855,17.694501876831055,0.8655906247261625,0.329208319583423,0.427739679813385,2.8794782161712646
15,val,180,522,0.03240223463687151,5.8,0.8259674462242578,8.0,14.64622974395752,14.562509536743164,1.0057490233399071,2.6304658378449437,3.9729853287511383,0.2725355327129364,19.712862014770508,0.8644931942681243,0.2970250648596757,0.41142112016677856,3.6691462993621826
16,val,200,576,0.028944723618090452,5.76,0.8077128202523468,7.0,15.426069259643555,15.22007942199707,1.013534084280058,2.665400063024006,4.022423999285221,0.24450330436229706,20.694242477416992,0.8459966351381607,0.3759885775270037,0.3738531470298767,4.089723587036133
17,val,212,611,0.027318250916569795,5.764150943396227,0.7715689332298996,7.0,15.887880325317383,15.951560020446777,0.9960079330769047,2.5007725935033025,4.04855662988048,0.3286144733428955,21.296592712402344,0.872839539316399,0.2396604180919523,0.5017462372779846,3.043032169342041
