split,frames,trajectories,corr_z0_final_p_ratio,corr_z1_final_p_ratio,corr_aligned_z0_final_p_ratio,corr_aligned_z1_progress,corr_aligned_z0_progress
train,154,1,,,,0.9998891253701855,0.99987849581061
val,2897,20,0.40722378917835184,0.4012197311115183,0.552123533443887,0.7237620443359579,0.7872702918178172
test,12080,79,0.45037498769187173,0.44334633067075097,0.6096998795898234,0.6431391662823732,0.7229086293923742
