model,dataset,split,local_sim_idx,sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,z0,z1,z0_aligned,z1_aligned
one_system,one-system CV2 train-sim-0,train,0,0,0,0.0,,-0.4807224091848549,-0.005240217782557011,-0.0460810661315918,0.02136820539531792,-2.186377773802837
one_system,one-system CV2 train-sim-0,train,0,0,1,0.006535947712418301,0.14456521739130435,-0.4807224091848549,0.01033373735845089,-0.03155764937400818,0.04881443933411189,-2.120018301461567
one_system,one-system CV2 train-sim-0,train,0,0,2,0.013071895424836602,0.049198151671649905,-0.4807224091848549,0.022692052647471428,-0.020010268315672874,0.06943421725178966,-2.0720067513396234
one_system,one-system CV2 train-sim-0,train,0,0,3,0.0196078431372549,-0.043256997455470736,-0.4807224091848549,0.034437146037817,-0.009022753685712814,0.08836066859067371,-2.0290630709411843
one_system,one-system CV2 train-sim-0,train,0,0,4,0.026143790849673203,-0.10947109471094711,-0.4807224091848549,0.04512029141187668,0.00098470039665699,0.10489173068900381,-1.9927436682697586
one_system,one-system CV2 train-sim-0,train,0,0,5,0.032679738562091505,-0.15971538040503558,-0.4807224091848549,0.05496745556592941,0.010215738788247108,0.11978733281447562,-1.960636280481264
one_system,one-system CV2 train-sim-0,train,0,0,6,0.0392156862745098,-0.19484790353521514,-0.4807224091848549,0.06450285017490387,0.019154788926243782,0.1341973165215311,-1.929601585376524
one_system,one-system CV2 train-sim-0,train,0,0,7,0.0457516339869281,-0.22321498550043106,-0.4807224091848549,0.07421408593654633,0.028259051963686943,0.1488541866698836,-1.898070105174039
one_system,one-system CV2 train-sim-0,train,0,0,8,0.05228758169934641,-0.24606934431857191,-0.4807224091848549,0.08347025513648987,0.036937206983566284,0.1627978789326514,-1.868121814139668
one_system,one-system CV2 train-sim-0,train,0,0,9,0.058823529411764705,-0.264,-0.4807224091848549,0.09267178177833557,0.045569755136966705,0.17637193924102856,-1.8395016671590092
one_system,one-system CV2 train-sim-0,train,0,0,10,0.06535947712418301,-0.2799691918358365,-0.4807224091848549,0.10168860852718353,0.05402704328298569,0.18977474911143144,-1.8110503997058043
one_system,one-system CV2 train-sim-0,train,0,0,11,0.0718954248366013,-0.29319921933643595,-0.4807224091848549,0.11047486960887909,0.06227005273103714,0.20273371703442722,-1.783731876333821
one_system,one-system CV2 train-sim-0,train,0,0,12,0.0784313725490196,-0.3051080820597549,-0.4807224091848549,0.11952607333660126,0.07075821608304977,0.21625754640541928,-1.7548919481465965
one_system,one-system CV2 train-sim-0,train,0,0,13,0.08496732026143791,-0.3147119908447421,-0.4807224091848549,0.12805692851543427,0.07876365631818771,0.2287353272042072,-1.7287862400256966
one_system,one-system CV2 train-sim-0,train,0,0,14,0.0915032679738562,-0.32453929752716965,-0.4807224091848549,0.13716454803943634,0.08730656653642654,0.2422494152661705,-1.7001433734783937
one_system,one-system CV2 train-sim-0,train,0,0,15,0.09803921568627451,-0.33252462873106897,-0.4807224091848549,0.14566552639007568,0.09528636932373047,0.2545609114727485,-1.6746203193960714
one_system,one-system CV2 train-sim-0,train,0,0,16,0.10457516339869281,-0.3401585660117201,-0.4807224091848549,0.15428224205970764,0.10337398201227188,0.26708252382894493,-1.6485794710604207
one_system,one-system CV2 train-sim-0,train,0,0,17,0.1111111111111111,-0.3468990361211177,-0.4807224091848549,0.16263145208358765,0.11120747774839401,0.2793705861980924,-1.6227252046978116
one_system,one-system CV2 train-sim-0,train,0,0,18,0.11764705882352941,-0.35302412556328744,-0.4807224091848549,0.17122972011566162,0.11927709728479385,0.2919000458495371,-1.5966012368359603
one_system,one-system CV2 train-sim-0,train,0,0,19,0.12418300653594772,-0.35881942830583313,-0.4807224091848549,0.17967970669269562,0.1272072196006775,0.3042304207650357,-1.5708596985771397
one_system,one-system CV2 train-sim-0,train,0,0,20,0.13071895424836602,-0.36364890974330666,-0.4807224091848549,0.18814964592456818,0.13515445590019226,0.3166722279684251,-1.5447275139446237
one_system,one-system CV2 train-sim-0,train,0,0,21,0.13725490196078433,-0.36874901404006943,-0.4807224091848549,0.19669035077095032,0.14317119121551514,0.32905957082273796,-1.519011801964064
one_system,one-system CV2 train-sim-0,train,0,0,22,0.1437908496732026,-0.373111099954817,-0.4807224091848549,0.20479390025138855,0.15077924728393555,0.34072821944176734,-1.4949515554024035
one_system,one-system CV2 train-sim-0,train,0,0,23,0.1503267973856209,-0.3774944168287587,-0.4807224091848549,0.21341460943222046,0.15886835753917694,0.3533706304874067,-1.468437824250815
one_system,one-system CV2 train-sim-0,train,0,0,24,0.1568627450980392,-0.3812197928653625,-0.4807224091848549,0.22150811553001404,0.1664646565914154,0.36514374739120603,-1.4439308160319513
one_system,one-system CV2 train-sim-0,train,0,0,25,0.16339869281045752,-0.3848873177198409,-0.4807224091848549,0.23005327582359314,0.1744849681854248,0.3775685057085383,-1.4180776515355689
one_system,one-system CV2 train-sim-0,train,0,0,26,0.16993464052287582,-0.38826679132227016,-0.4807224091848549,0.2379840910434723,0.18192994594573975,0.3890347128528724,-1.394344791238451
one_system,one-system CV2 train-sim-0,train,0,0,27,0.17647058823529413,-0.39141910139945985,-0.4807224091848549,0.24644526839256287,0.18986782431602478,0.40152172971890554,-1.3680068979096394
one_system,one-system CV2 train-sim-0,train,0,0,28,0.1830065359477124,-0.39434174443151104,-0.4807224091848549,0.2548377215862274,0.19774553179740906,0.4136874781494986,-1.3427639006714376
one_system,one-system CV2 train-sim-0,train,0,0,29,0.1895424836601307,-0.3971655523172753,-0.4807224091848549,0.2629716098308563,0.20538035035133362,0.42548775382257276,-1.3182611749763211
one_system,one-system CV2 train-sim-0,train,0,0,30,0.19607843137254902,-0.4001104972375691,-0.4807224091848549,0.27125635743141174,0.21315768361091614,0.4374603132268473,-1.2934906386044496
one_system,one-system CV2 train-sim-0,train,0,0,31,0.20261437908496732,-0.4023097075439753,-0.4807224091848549,0.2794436514377594,0.22084030508995056,0.44945691032998436,-1.2683508008696318
