split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,x_span0,y_span0,aspect_ratio0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max
train,0,-0.4807224091848549,-0.4223225353569208,154,0.6404483790461022,1.2407605648040771,1.2460007825866342,1.2460007825866342,0.5595389189585657,1.1225109100341797,1.1685919761657715,1.1685919761657715,0.9811568191976524,1.8779631031867114,1.8565948977913935,1.8565948977913935,-0.14891098497750568,1.763274219493157,3.949651993295994,3.949651993295994,200,580,0.02914572864321608,5.8,0.812403840463596,8.0,15.17732048034668,15.370189666748047,0.9874517367330462,2.6568674014046274,3.9345612041517315,0.29378700256347656,20.053022384643555,0.8431189633135138,0.39472780659633055,0.30868297815322876,3.4035451412200928
val,1,-0.20260149053372217,-0.16914424213075974,115,0.9744829725798058,1.9265327453613281,1.9415153618901968,1.9415153618901968,0.8631841165540011,1.7546149492263794,1.8176915496587753,1.8176915496587753,1.9712736115047678,3.465081098609534,3.0567240126392625,3.0567240126392625,2.883059919927999,6.202320846166291,6.8106529798420254,6.8106529798420254,112,327,0.052606177606177605,5.839285714285714,0.7140624651118646,7.0,11.426410675048828,11.370939254760742,1.0048783498922362,2.3753728533009872,3.009682483428136,0.4531711935997009,14.686665534973145,0.854563570350682,0.3234460169311264,0.34719398617744446,2.2067248821258545
val,2,0.12600592325434534,0.1304144776781264,155,1.4524505973102586,2.837231159210205,2.777526091784239,2.777526091784239,1.3041742791451754,2.5975592136383057,2.594199702143669,2.594199702143669,3.055590508138936,5.393085756255195,4.688917915891771,4.688917915891771,5.8893431612664,11.377341875827252,11.009497286912465,11.009497286912465,204,586,0.028300975562638848,5.745098039215686,0.8127208539632433,7.0,15.61182975769043,15.490180015563965,1.0078533459265313,2.576528964138275,4.094792925099117,0.4450458884239197,20.582326889038086,0.8665889059113968,0.2248929594576938,0.4742926359176636,2.2470033168792725
val,3,-0.45584325610126514,-0.3980884248650355,158,0.692255028488138,1.3160955905914307,1.2872417345643044,1.2872417345643044,0.601899838605542,1.182997226715088,1.199840934947133,1.199840934947133,1.3765147100916337,2.50974845496463,2.2976567564203303,2.2976567564203303,1.2902666452679898,4.08396761261203,5.601571770658241,5.601571770658241,212,609,0.027228829473307698,5.745283018867925,0.7404909227619022,7.0,15.600379943847656,15.78615951538086,0.9882314902904539,2.8111232461894087,4.279876674570272,0.3266274034976959,21.32996368408203,0.8447209415568898,0.3630793301198909,0.33803075551986694,3.06135892868042
val,4,0.1278935707687713,0.13542706531169862,157,1.4484225787269842,2.848801851272583,2.8104203529655933,2.8104203529655933,1.2999478913487712,2.607983112335205,2.6250619757920504,2.6250619757920504,3.0725093920282314,5.432191902449379,4.737339362521045,4.737339362521045,5.9684239991508,11.50163889633571,11.111393622318074,11.111393622318074,208,597,0.027731326644370124,5.740384615384615,0.8261960131052474,8.0,15.69120979309082,15.58350944519043,1.0069111741664603,2.4990297191007254,4.0097560577799,0.46868982911109924,21.283069610595703,0.8634449682343546,0.22654144991973607,0.4937545955181122,2.133493423461914
val,5,0.026206553415310255,0.04223553753516065,154,1.3052680262836156,2.5379178524017334,2.4799825586378574,2.4799825586378574,1.169267855161293,2.3209192752838135,2.317003194242716,2.317003194242716,2.6762442687541066,4.738725778226334,4.150436310917348,4.150436310917348,4.781484863071031,9.593570637655265,9.685120885453244,9.685120885453244,200,575,0.028894472361809045,5.75,0.7599342076785331,8.0,15.427849769592285,15.444160461425781,0.9989438926204999,2.665252505178037,4.167790105459815,0.2891528010368347,21.390098571777344,0.8738315748650095,0.29188861784043246,0.46761617064476013,3.458449363708496
val,6,0.3630376812533941,0.36090593480333716,133,1.4667792071525316,2.8501477241516113,2.7728656232357025,2.7728656232357025,1.3180837379558419,2.6100432872772217,2.5898122508078814,2.5898122508078814,3.0528748460743347,5.393429743528477,4.682817572584727,4.682817572584727,5.838325087431276,11.342539812279657,10.998106170469807,10.998106170469807,152,435,0.037905193447194147,5.723684210526316,0.753914071093515,7.0,13.41472053527832,13.366789817810059,1.0035858061749725,2.412444027264913,3.5817679684521577,0.7695790529251099,17.841020584106445,0.8671900542303064,0.12395982029597309,0.6264809370040894,1.2994452714920044
val,7,-0.3942740135525513,-0.34497316324831706,149,0.6390341331482233,1.2256929874420166,1.2207991061732173,1.2207991061732173,0.5561350853176125,1.1054699420928955,1.1434599980711937,1.1434599980711937,1.0851917717741215,2.0041644201658344,1.8954766083642065,1.8954766083642065,0.27194319107403664,2.3111985314465553,4.17605247816152,4.17605247816152,188,539,0.030663329161451813,5.73404255319149,0.7878807004802351,7.0,14.893219947814941,14.5829496383667,1.0212762381508844,2.668990255231539,3.908929924551324,0.3034708797931671,19.399099349975586,0.8526453897218758,0.3748616000815794,0.34999433159828186,3.2952880859375
val,8,-0.3943129812633864,-0.3474931732544245,184,0.6878419695422053,1.308569073677063,1.282015960663557,1.282015960663557,0.6020451342514919,1.1807583570480347,1.195979448966682,1.195979448966682,1.151048723920931,2.252264473119171,2.2367526142106287,2.2367526142106287,0.3991323271134052,3.0732506741518133,5.372152300562719,5.372152300562719,284,824,0.02050465336186732,5.802816901408451,0.7713116377517221,8.0,18.379959106445312,18.35546875,1.0013342266971696,2.7157717751863513,4.519330100361896,0.30797144770622253,23.959566116333008,0.8379958122968674,0.3594871044093896,0.3609865605831146,3.2468318939208984
val,9,0.1672963915372404,0.16953626122492566,113,1.5066754441477557,2.9771525859832764,2.9457143284380436,2.9457143284380436,1.3512143339236489,2.723569869995117,2.749106027185917,2.749106027185917,3.331358693250301,5.868177808967236,5.084275098742778,5.084275098742778,6.842522866657493,12.889215509371116,12.12267640775168,12.12267640775168,108,309,0.05347871235721703,5.722222222222222,0.8370288429621868,8.0,11.346650123596191,11.116350173950195,1.0207172269712839,2.401567570117685,3.1199895471751473,0.3469509184360504,15.262079238891602,0.8732563301583324,0.27975472004141105,0.4638128876686096,2.8819265365600586
