split,sim_idx,final_p_ratio,edge_count,stiffness_mean,stiffness_std,near_zero_stiffness_threshold,near_zero_stiffness_edge_count,near_zero_stiffness_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1
val,0,0.21035491246831667,541,0.4662176675254448,0.15404061755308432,0.001,0,0.0,0.43713874362409116,0.5911466531455517,0.3302601331726034,-0.10664564371109009,1,1,414963348,1,1,
val,1,-0.19806003763724905,286,0.6541148895810731,0.3818034869888291,0.001,1,0.0034965034965034965,0.6819391483497508,0.8269346670595213,0.37898768093316004,-0.14486642181873322,1,1,414963348,1,1,
val,2,0.12699982791696676,483,0.5395431320798076,0.23836956649983057,0.001,0,0.0,0.526340630700749,0.695248446194455,0.29577875097768497,-0.12026234716176987,1,1,414963348,1,1,
val,3,0.0729596003150843,480,0.5591510358344143,0.2720010240060662,0.001,0,0.0,0.5739857495593076,0.7423434635076452,0.3072583319535896,-0.12566353380680084,1,1,414963348,1,1,
val,4,-0.2124182814927736,482,0.6209111575758074,0.39374353742023444,0.001,22,0.04564315352697095,0.6798692365121984,0.7875438080918284,0.27638548798418894,-0.14070795476436615,1,1,414963348,1,1,
val,5,0.32208064264084163,371,0.43055136055959203,0.06352347925744091,0.001,0,0.0,0.43390132359095984,0.42762479339452353,0.4298041848759902,-0.10399046540260315,1,1,414963348,1,1,
val,6,-0.12315607316120104,401,0.5712371116104603,0.341998394353629,0.001,0,0.0,0.5627177769085392,0.7793810984618227,0.286455772412621,-0.12697654962539673,1,1,414963348,1,1,
val,7,0.03867895965791973,370,0.5722395051119699,0.2971542953445283,0.001,0,0.0,0.5630166772618026,0.7721010410441802,0.3299919617015357,-0.13375304639339447,1,1,414963348,1,1,
val,8,0.3812481697430855,542,0.43024137973565457,0.05558861782393685,0.001,0,0.0,0.4277421430537575,0.4309500841622425,0.4324042197196714,-0.09970664232969284,1,1,414963348,1,1,
val,9,-0.5936111989220015,283,0.6127528818085618,0.4018958258925118,0.001,50,0.17667844522968199,0.6690087205880935,0.7889961796748854,0.29691515926510637,-0.13699616491794586,1,1,414963348,1,1,
val,10,-0.08436423666781437,519,0.5659288058653187,0.32888930859077875,0.001,0,0.0,0.6141867466748525,0.7627949402964813,0.2245969549026888,-0.12556017935276031,1,1,414963348,1,1,
val,11,-0.21109366287007186,426,0.639748255551496,0.3864058568792369,0.001,25,0.05868544600938967,0.7018413901017347,0.7992944139337851,0.32306518170957427,-0.13305680453777313,1,1,414963348,1,1,
val,12,-0.25379435107376286,482,0.6241680031577831,0.3949402390555892,0.001,24,0.04979253112033195,0.6934959250569972,0.8097995809600013,0.27949277420158547,-0.13613730669021606,1,1,414963348,1,1,
val,13,-0.08105278791540436,341,0.6207112293264383,0.34242021840243136,0.001,0,0.0,0.6702767389487158,0.7808272075355053,0.3171658498160113,-0.13429659605026245,1,1,414963348,1,1,
val,14,0.0950451355151094,401,0.5507063421413786,0.25633939852571264,0.001,0,0.0,0.5555943187168786,0.7264863063891729,0.30243948607816606,-0.12370622903108597,1,1,414963348,1,1,
val,15,-0.06866933130407157,341,0.6723091291540911,0.37468218277589976,0.001,37,0.10850439882697947,0.6866209164809681,0.821085502047432,0.4071119714546512,-0.15140552818775177,1,1,414963348,1,1,
val,16,-0.15348441061065293,521,0.6568313331472608,0.3789025634973783,0.001,12,0.023032629558541268,0.6692222267803218,0.8385978446779822,0.3716972327408139,-0.14326514303684235,1,1,414963348,1,1,
val,17,-0.3247762104239115,308,0.6495018737498738,0.3847278533447648,0.001,1,0.003246753246753247,0.7058710879413411,0.7960543890377474,0.37679234632274267,-0.13339506089687347,1,1,414963348,1,1,
val,18,0.30795067109622015,534,0.46750041909432144,0.092203557818838,0.001,0,0.0,0.4298860405385494,0.5404920328349967,0.42261564627393977,-0.1121695265173912,1,1,414963348,1,1,
val,19,-0.0473741087700227,372,0.6377146094499196,0.3438293454088585,0.001,0,0.0,0.6673576338014201,0.8135177624576232,0.3520006689442588,-0.14004454016685486,1,1,414963348,1,1,
val,20,-0.12771201037928526,404,0.6123778805134376,0.36631022913037825,0.001,0,0.0,0.6455671450104055,0.793998375311749,0.3323580157178055,-0.13473810255527496,1,1,414963348,1,1,
val,21,-0.33399938936466717,289,0.6273865206722627,0.39883843369714667,0.001,22,0.07612456747404844,0.6209494221103867,0.8043039726661891,0.39023924851710334,-0.12964196503162384,1,1,414963348,1,1,
