latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,1,2,2,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,2,2,val,z1,horizontal_stiffness,,,0
1,1,2,2,val,z1,vertical_stiffness,,,0
1,1,2,2,val,z1,diagonal_stiffness,,,0
1,1,2,4,val,z0,final_p_ratio,0.94878275564801,0.9001887174150314,25
1,1,2,4,val,z0,stiffness_mean,-0.9948491180135005,0.9897247676122398,25
1,1,2,4,val,z0,stiffness_std,-0.9581670388111618,0.9180840742641505,25
1,1,2,4,val,z0,near_zero_stiffness_edge_count,-0.5926935481887384,0.3512856420645564,25
1,1,2,4,val,z0,near_zero_stiffness_edge_fraction,-0.5972429113892669,0.3566990952047277,25
1,1,2,4,val,z0,horizontal_stiffness,-0.953086704894377,0.9083742670464212,25
1,1,2,4,val,z0,vertical_stiffness,-0.9385489340296086,0.8808741015681146,25
1,1,2,4,val,z0,diagonal_stiffness,0.21902959605790182,0.047973963949287636,25
1,1,2,4,val,z1,final_p_ratio,,,0
1,1,2,4,val,z1,stiffness_mean,,,0
1,1,2,4,val,z1,stiffness_std,,,0
1,1,2,4,val,z1,near_zero_stiffness_edge_count,,,0
1,1,2,4,val,z1,near_zero_stiffness_edge_fraction,,,0
1,1,2,4,val,z1,horizontal_stiffness,,,0
1,1,2,4,val,z1,vertical_stiffness,,,0
1,1,2,4,val,z1,diagonal_stiffness,,,0
1,1,4,1,val,z0,final_p_ratio,-0.8473937707605579,0.7180762027237969,25
1,1,4,1,val,z0,stiffness_mean,0.8802655247261757,0.7748673940214494,25
1,1,4,1,val,z0,stiffness_std,0.8843827202467974,0.7821327958711252,25
1,1,4,1,val,z0,near_zero_stiffness_edge_count,0.19986815627511925,0.03994727989281549,25
1,1,4,1,val,z0,near_zero_stiffness_edge_fraction,0.21244722135500818,0.04513382186146384,25
1,1,4,1,val,z0,horizontal_stiffness,0.8337466166385004,0.6951334207561465,25
1,1,4,1,val,z0,vertical_stiffness,0.8367175802082304,0.7000963090295165,25
1,1,4,1,val,z0,diagonal_stiffness,-0.6311418646191006,0.3983400532748751,25
1,1,4,1,val,z1,final_p_ratio,,,0
1,1,4,1,val,z1,stiffness_mean,,,0
