latent_dim,train_networks,train_frames_per_network,signal,progress_corr_r_mean,progress_corr_r_std,progress_corr_r2_mean,progress_corr_r2_std,repeats,n
1,1,1,z0,-0.2361054727179919,1.0505190712465329,0.7914726736158385,0.24755808834410495,3,500.0
1,1,1,z1,,,,,3,0.0
1,1,2,z0,-0.7144822008502141,0.05844576269334703,0.5127620867829702,0.08230402041426908,3,500.0
1,1,2,z1,,,,,3,0.0
1,1,4,z0,-0.2328226443833409,0.9414520558011967,0.6450943659858515,0.11575532489489394,3,500.0
1,1,4,z1,,,,,3,0.0
1,2,1,z0,-0.36945008944104235,0.1767405447001981,0.15731818201527598,0.13710776890806073,3,500.0
1,2,1,z1,,,,,3,0.0
1,2,2,z0,0.11252495271502332,0.7027984498459035,0.3419456390540548,0.15139608897550028,3,500.0
1,2,2,z1,,,,,3,0.0
1,2,4,z0,0.30843909307022416,0.5765150383851957,0.31671440045683813,0.1639162122202113,3,500.0
1,2,4,z1,,,,,3,0.0
1,4,1,z0,-0.5197158386896256,0.43613418995477615,0.3969132407498666,0.4569653512273269,3,500.0
1,4,1,z1,,,,,3,0.0
1,4,2,z0,-0.05490543592156161,0.6896456398736326,0.3200886792915449,0.24422095851527242,3,500.0
1,4,2,z1,,,,,3,0.0
1,4,4,z0,-0.3410573828689361,0.03991999951259208,0.11738254265013165,0.02761054168424993,3,500.0
1,4,4,z1,,,,,3,0.0
2,1,1,z0,0.3957129463628856,0.6923497318188494,0.47615417001895116,0.30766865469412913,3,500.0
2,1,1,z1,0.5662880597610928,0.4341495022102137,0.44633936014090064,0.4327097347201615,3,500.0
2,1,2,z0,-0.25236993559342924,0.7193981559479754,0.4087130555789966,0.13351644115771727,3,500.0
2,1,2,z1,-0.2503269120810913,0.71758683420017,0.40595080599033584,0.12859948844310223,3,500.0
2,1,4,z0,-0.2722423364109058,0.7103905437886818,0.4105523728707215,0.13407084430759206,3,500.0
2,1,4,z1,-0.22610827355832305,0.7337577279707964,0.4100585536094356,0.1347302466676382,3,500.0
2,2,1,z0,0.3268699322959572,1.010038430219958,0.7869623729866285,0.07146812303543926,3,500.0
2,2,1,z1,0.38280745024519186,0.926227442227152,0.7184730604529932,0.2201746486737366,3,500.0
2,2,2,z0,0.23144351118747,0.827450079811039,0.5100151885903144,0.10152177170946385,3,500.0
2,2,2,z1,0.7128018812455825,0.07353460930386037,0.5116914144175558,0.10400213099225904,3,500.0
2,2,4,z0,0.15302122529044834,0.8803582122955479,0.5401025500268656,0.1781399183283519,3,500.0
2,2,4,z1,0.12942680825609154,0.8603252839659349,0.5101910281827368,0.20707365898177696,3,500.0
2,4,1,z0,0.23709169647095374,0.5988409994162052,0.2952861675900078,0.30388596306981147,3,500.0
2,4,1,z1,-0.3975990092758499,0.6428919805448362,0.43362503794304547,0.44474196943175276,3,500.0
2,4,2,z0,-0.3084129569762076,0.35966578747951555,0.1813582044863147,0.17306377614469082,3,500.0
2,4,2,z1,-0.35077510199725936,0.3077163556096365,0.18616940918763855,0.18439282778909696,3,500.0
2,4,4,z0,-0.46487025886497335,0.3311683154651313,0.2892193263558625,0.2553611427647126,3,500.0
2,4,4,z1,0.3849280857864214,0.2850252268912308,0.20232921787013028,0.2630451265218724,3,500.0
