sim_idx,frame,trajectory_progress,p_ratio,final_p_ratio,horizontal_strain,x_compression,vertical_strain,mean_abs_x_disp,mean_abs_y_disp,mean_x_disp,mean_y_disp,rms_disp,max_node_disp,z0,z1,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,lambda11,lambda12,soft_mode_gap_6_5
0,0,0.0,,-0.4807224091848549,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.228456497192383,-3.6058287620544434,-1.5133552541273085e-14,-1.6095756834404575e-15,8.197685605652208e-10,0.024540196491943347,0.026639547070277537,0.028744670039240732,0.05025834042266115,0.05974060455007163,0.06413452086919272,0.0722004186698503,0.08059700578128244,0.08807416930433239,0.0021051229689631953
0,1,0.006535947712418301,0.14456521739130435,-0.4807224091848549,-6.195578970571251e-05,6.195578970571251e-05,1.0423897728657503e-05,0.0002477061643730849,3.802338687819429e-05,-1.638738831388764e-05,-1.8300675037608016e-06,0.00028922699857503176,0.00050825608195737,3.136683464050293,-3.576936960220337,-2.9417061115597978e-05,-2.5985125951580952e-15,1.657632171584086e-15,0.024528830245840176,0.02663036260046576,0.028733011269778806,0.05025244533459193,0.05969570689539047,0.06409945106832998,0.07217514210530337,0.08057627008676559,0.08805886123597413,0.0021026486693130446
0,2,0.013071895424836602,0.049198151671649905,-0.4807224091848549,-0.00012259203419456909,0.00012259203419456909,9.182957522864943e-06,0.0004954665782861412,4.4519918446894735e-05,-3.270206070737913e-05,-1.465324316995975e-06,0.000574623525608331,0.0010211827466264367,3.064239978790283,-3.5541486740112305,-6.526022015986386e-05,-3.365644125965e-15,7.898200480048005e-17,0.024515814992626228,0.02662014311455264,0.028720265798309257,0.05023933677337067,0.059646210712064926,0.06406406387285538,0.07214635970412725,0.08055416858533869,0.08804211185009739,0.0021001226837566167
0,3,0.0196078431372549,-0.043256997455470736,-0.4807224091848549,-0.00018184589798005276,0.00018184589798005276,-3.8469146379569355e-06,0.0007420035544782877,7.279476267285645e-05,-4.909959534415975e-05,1.3417192121778498e-06,0.000862395332660526,0.0015574574936181307,2.9951329231262207,-3.532430410385132,-0.00010728791879936408,-5.176284736892694e-16,4.2881547155432325e-15,0.024500682580666823,0.026608106912263552,0.028704857235894318,0.05021444373808917,0.05959043664863415,0.06402714848601423,0.07211209006474521,0.08052812463720989,0.08802106436123208,0.002096750323630766
0,4,0.026143790849673203,-0.10947109471094711,-0.4807224091848549,-0.00024053424238688388,0.00024053424238688388,-2.1468265560211288e-05,0.000989518011920154,0.00013961827789898962,-6.533537089126185e-05,4.777889898832655e-06,0.0011573710944503546,0.002094946103170514,2.932359218597412,-3.5127556324005127,-0.00015226242861651306,-4.1883506999487684e-15,1.578185030346324e-15,0.024484465219793493,0.026595756752852442,0.028688636551539838,0.050186160808424446,0.05953259847296026,0.06398759767214789,0.07207595699247457,0.08050094960269094,0.08799766968206998,0.0020928797986873963
0,5,0.032679738562091505,-0.15971538040503558,-0.4807224091848549,-0.0002998509416588845,0.0002998509416588845,-4.23160610175263e-05,0.0012361586559563875,0.0002254930732306093,-8.143373997882009e-05,9.247194611816667e-06,0.0014574764063581824,0.0026462185196578503,2.8742876052856445,-3.494567632675171,-0.0001991204059643275,-1.2261239068933014e-14,2.163241351475841e-15,0.02446768268774441,0.026582730029530675,0.02867181395699429,0.050154388365078975,0.0594720842184601,0.06394805761949668,0.07203809139037581,0.08047257146809275,0.08797298070318096,0.002089083927463615
0,6,0.0392156862745098,-0.19484790353521514,-0.4807224091848549,-0.00035841361509268173,0.00035841361509268173,-6.440479668063386e-05,0.0014830507570877671,0.00031628974829800427,-9.760662942426279e-05,1.4032404578756541e-05,0.0017608309863135219,0.0031863742042332888,2.8182058334350586,-3.4770030975341797,-0.00024626813539744473,-1.3979534663451028e-15,7.542080824822344e-16,0.024450797498758035,0.02656990941989693,0.028655149697177258,0.050123317875355476,0.059412294015091835,0.06390892118806467,0.0720006036740324,0.08044427124153758,0.08794873393068087,0.0020852402772803293
0,7,0.0457516339869281,-0.22321498550043106,-0.4807224091848549,-0.00041710195949951285,0.00041710195949951285,-8.847903667300952e-05,0.001729747629724443,0.0004120904195588082,-0.000113936752313748,1.81315845111385e-05,0.0020671391393989325,0.00374124338850379,2.761016845703125,-3.459106206893921,-0.000294488846161751,-1.3548446006092224e-15,7.96255735102639e-15,0.024433582545245427,0.02655661171559351,0.02863806283774845,0.05008928884184885,0.059350912896901364,0.0638690258068426,0.07196198031850995,0.08041524953513035,0.08792297038982301,0.0020814511221549405
0,8,0.05228758169934641,-0.24606934431857191,-0.4807224091848549,-0.00047641865877151346,0.00047641865877151346,-0.00011385626388146738,0.0019767864141613245,0.0005110297934152186,-0.00013015097647439688,2.377442979195621e-05,0.0023755314759910107,0.004302246030420065,2.7067012786865234,-3.442101240158081,-0.0003431170757296351,-2.509666253514149e-15,3.268798895679119e-15,0.02441615098365797,0.026543509471884368,0.028620683370740495,0.05005508015550379,0.059289998618407974,0.06382850513241388,0.07192310982660056,0.08038625106582736,0.0878972204715399,0.0020771738988561265
0,9,0.058823529411764705,-0.264,-0.4807224091848549,-0.0005350441676918276,0.0005350441676918276,-0.00013923349108992524,0.002223812974989414,0.0006105894572101533,-0.00014613833627663553,2.828895958373323e-05,0.0026855694595724344,0.004873713944107294,2.652517080307007,-3.4251811504364014,-0.0003922311047296771,-1.301866963353871e-14,1.0436048809441493e-15,0.02439863155998486,0.02653033167404659,0.028603353832175167,0.050021967844682255,0.05922894193923095,0.06378796750033157,0.07188443712128478,0.08035770154570929,0.08787119449240545,0.002073022158128577
